ENSAOWP00000016945	ENSAOWG00000011577	Apteryx_owenii	ENSAOWT00000019243
ENSAHAP00000010827	ENSAHAG00000007831	Apteryx_haastii	ENSAHAT00000011985
ENSARWP00000009810	ENSARWG00000006837	Apteryx_rowi	ENSARWT00000011171
ENSDNVP00000007620	ENSDNVG00000005411	Dromaius_novaehollandiae	ENSDNVT00000009204
ENSNPEP00000018730	ENSNPEG00000013960	Nothoprocta_perdicaria
ENSABRP00000007900	ENSABRG00000007191	Anser_brachyrhynchus
ENSAPLP00000011345	ENSAPLG00000011605	Anas_platyrhynchos_platyrhynchos
ENSGALP00000011580	ENSGALG00000007157	Gallus_gallus
ENSCJPP00005020931	ENSCJPG00005016778	Coturnix_japonica
ENSMGAP00000016753	ENSMGAG00000015812	Meleagris_gallopavo
ENSNMEP00000024375	ENSNMEG00000020700	Numida_meleagris
ENSCPGP00000014543	ENSCPGG00000010291	Calidris_pygmaea
ENSCPUP00000026318	ENSCPUG00000017723	Calidris_pugnax
ENSLCOP00000006445	ENSLCOG00000004783	Lepidothrix_coronata
ENSMVIP00005016038	ENSMVIG00005011532	Manacus_vitellinus
ENSTGUP00000015448	ENSTGUG00000015102	Taeniopygia_guttata
ENSLSDP00000019993	ENSLSDG00000014190	Lonchura_striata_domestica
ENSSCAP00000002654	ENSSCAG00000002314	Serinus_canaria
ENSZALP00000018262	ENSZALG00000014649	Zonotrichia_albicollis
ENSJHYP00000003227	ENSJHYG00000002665	Junco_hyemalis
ENSFALP00000015487	ENSFALG00000014872	Ficedula_albicollis
ENSCCEP00000009622	ENSCCEG00000009744	Cyanistes_caeruleus
ENSPMJP00000009856	ENSPMJG00000007841	Parus_major
ENSMUNP00000010415	ENSMUNG00000008232	Melopsittacus_undulatus
ENSCPRP00005015548	ENSCPRG00005010897	Crocodylus_porosus
ENSCABP00000007422	ENSCABG00000005616	Chelonoidis_abingdonii
ENSGAGP00000008790	ENSGAGG00000006936	Gopherus_agassizii
ENSCPBP00000020128	ENSCPBG00000014492	Chrysemys_picta_bellii
ENSPSIP00000000100	ENSPSIG00000000100	Pelodiscus_sinensis
ENSACAP00000010990	ENSACAG00000011230	Anolis_carolinensis
ENSPVIP00000009177	ENSPVIG00000007320	Pogona_vitticeps
ENSNSUP00000029069	ENSNSUG00000020619	Notechis_scutatus
ENSSMRP00000011732	ENSSMRG00000009218	Salvator_merianae
ENSVURP00010014124	ENSVURG00010010847	Vombatus_ursinus
ENSPCIP00000009382	ENSPCIG00000007683	Phascolarctos_cinereus
ENSMODP00000018218	ENSMODG00000014584	Monodelphis_domestica
ENSMODP00000051887	ENSMODG00000040125	Monodelphis_domestica
ENSSHAP00000020141	ENSSHAG00000017085	Sarcophilus_harrisii
ENSTGEP00000033209	ENSTGEG00000026540	Theropithecus_gelada
ENSMMUP00000054223	ENSMMUG00000043822	Macaca_mulatta
ENSCSAP00000017913	ENSCSAG00000000078	Chlorocebus_sabaeus
ENSPTEP00000009048	ENSPTEG00000010275	Piliocolobus_tephrosceles
ENSP00000443410	ENSG00000174016	Homo_sapiens
ENSPTRP00000065044	ENSPTRG00000049359	Pan_troglodytes
