ENSFCAP00000017291	ENSFCAG00000026998	Felis_catus
ENSDORP00000017604	ENSDORG00000023591	Dipodomys_ordii
ENSETEP00000005015	ENSETEG00000006176	Echinops_telfairi
ENSNVIP00000022739	ENSNVIG00000017732	Neovison_vison
ENSOPRP00000009211	ENSOPRG00000010092	Ochotona_princeps
ENSNLEP00000015306	ENSNLEG00000012610	Nomascus_leucogenys
ENSPTEP00000037941	ENSPTEG00000035403	Piliocolobus_tephrosceles
ENSCAPP00000011937	ENSCAPG00000012906	Cavia_aperea
ENSMODP00000055891	ENSMODG00000048415	Monodelphis_domestica	ENSMODT00000066422
ENSCGRP00015029116	ENSCGRG00015022013	Cricetulus_griseus_CriGri-PICR
ENSEEUP00000013632	ENSEEUG00000014946	Erinaceus_europaeus
ENSCPOP00000018503	ENSCPOG00000025056	Cavia_porcellus
ENSMMUP00000072848	ENSMMUG00000049468	Macaca_mulatta
ENSPCOP00000017666	ENSPCOG00000020658	Propithecus_coquereli
ENSMAUP00000017287	ENSMAUG00000016209	Mesocricetus_auratus
ENSNGAP00000014947	ENSNGAG00000016122	Nannospalax_galili
ENSSDAP00000026295	ENSSDAG00000023845	Spermophilus_dauricus	ENSSDAT00000030059
ENSTTRP00000005458	ENSTTRG00000005780	Tursiops_truncatus
ENSBBBP00000028547	ENSBBBG00000025287	Bison_bison_bison
ENSCLAP00000016895	ENSCLAG00000011594	Chinchilla_lanigera
ENSCCNP00000021452	ENSCCNG00000021246	Castor_canadensis
ENSRROP00000002695	ENSRROG00000010776	Rhinopithecus_roxellana
ENSPANP00000014137	ENSPANG00000016744	Papio_anubis
ENSRBIP00000005958	ENSRBIG00000025591	Rhinopithecus_bieti
ENSCAFP00000025219	ENSCAFG00000017121	Canis_lupus_familiaris
ENSPVAP00000015411	ENSPVAG00000016333	Pteropus_vampyrus
ENSAMEP00000002909	ENSAMEG00000002772	Ailuropoda_melanoleuca
ENSCGRP00000012316	ENSCGRG00000008974	Cricetulus_griseus_CriGri_1.0
ENSPCIP00000032498	ENSPCIG00000024118	Phascolarctos_cinereus	ENSPCIT00000039967
ENSBIXP00000021049	ENSBIXG00000024224	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPPRP00000001417	ENSPPRG00000024145	Panthera_pardus
ENSCSAP00000008889	ENSCSAG00000012708	Chlorocebus_sabaeus
ENSTGEP00000028682	ENSTGEG00000023098	Theropithecus_gelada
ENSUPAP00010000753	ENSUPAG00010000624	Urocitellus_parryii	ENSUPAT00010000841
ENSOARP00000019038	ENSOARG00000017743	Ovis_aries
ENSMFAP00000033226	ENSMFAG00000003137	Macaca_fascicularis
ENSCANP00000016244	ENSCANG00000031561	Colobus_angolensis_palliatus
MGP_PahariEiJ_P0023999	MGP_PahariEiJ_G0015226	Mus_pahari_strain_PAHARI_EIJ
ENSMLEP00000006146	ENSMLEG00000026018	Mandrillus_leucophaeus
ENSBTAP00000004864	ENSBTAG00000003737	Bos_taurus
ENSMUGP00000031367	ENSMUGG00000026076	Meriones_unguiculatus
ENSMLUP00000014975	ENSMLUG00000016432	Myotis_lucifugus
ENSPTRP00000012256	ENSPTRG00000007172	Pan_troglodytes
ENSCJAP00000012697	ENSCJAG00000006852	Callithrix_jacchus
ENSOGAP00000009299	ENSOGAG00000010390	Otolemur_garnettii
ENSSBOP00000013444	ENSSBOG00000023480	Saimiri_boliviensis_boliviensis
MGP_CAROLIEiJ_P0088357	MGP_CAROLIEiJ_G0032361	Mus_caroli_strain_CAROLI_EIJ
ENSPSMP00000000998	ENSPSMG00000000726	Prolemur_simus
ENSMUSP00000064494	ENSMUSG00000053862	Mus_musculus_strain_reference_(CL57BL6)
