ENSTSYP00000032369	ENSTSYG00000008172	Carlito_syrichta
ENSCCAP00000021027	ENSCCAG00000028348	Cebus_capucinus_imitator
ENSORLP00020007954	ENSORLG00020008877	Oryzias_latipes_ASM223471v1
ENSECAP00000030714	ENSECAG00000008743	Equus_caballus
MGP_CAROLIEiJ_P0073193	MGP_CAROLIEiJ_G0028211	Mus_caroli_strain_CAROLI_EIJ
ENSUAMP00000036775	ENSUAMG00000027860	Ursus_americanus
ENSNVIP00000029389	ENSNVIG00000022664	Neovison_vison
ENSPKIP00000015371	ENSPKIG00000002112	Paramormyrops_kingsleyae
MGP_PahariEiJ_P0049312	MGP_PahariEiJ_G0021968	Mus_pahari_strain_PAHARI_EIJ
ENSLACP00000000663	ENSLACG00000000592	Latimeria_chalumnae
ENSPCAP00000003229	ENSPCAG00000003434	Procavia_capensis
ENSPPYP00000020221	ENSPPYG00000018021	Pongo_abelii
ENSMPUP00000004231	ENSMPUG00000004266	Mustela_putorius_furo
ENSAMEP00000012808	ENSAMEG00000012164	Ailuropoda_melanoleuca
ENSPVAP00000006001	ENSPVAG00000006351	Pteropus_vampyrus
ENSCLAP00000001376	ENSCLAG00000001045	Chinchilla_lanigera
ENSPVIP00000011159	ENSPVIG00000008764	Pogona_vitticeps
ENSEEEP00000008617	ENSEEEG00000004470	Electrophorus_electricus
ENSFDAP00000022060	ENSFDAG00000007253	Fukomys_damarensis
ENSVURP00010029460	ENSVURG00010022533	Vombatus_ursinus
ENSANAP00000029667	ENSANAG00000032622	Aotus_nancymaae
ENSVURP00010029462	ENSVURG00010022535	Vombatus_ursinus
ENSSHAP00000013981	ENSSHAG00000011958	Sarcophilus_harrisii
ENSCPBP00000007418	ENSCPBG00000005853	Chrysemys_picta_bellii
ENSCSAVP00000000013	ENSCSAVG00000000011	Ciona_savignyi
ENSMUGP00000011196	ENSMUGG00000009809	Meriones_unguiculatus
ENSMFAP00000013600	ENSMFAG00000029365	Macaca_fascicularis
ENSMAUP00000009429	ENSMAUG00000010596	Mesocricetus_auratus
ENSSPUP00000006253	ENSSPUG00000004795	Sphenodon_punctatus
ENSCPGP00000003381	ENSCPGG00000002486	Calidris_pygmaea
ENSAPLP00000002862	ENSAPLG00000003396	Anas_platyrhynchos_platyrhynchos
ENSETEP00000004873	ENSETEG00000006003	Echinops_telfairi
ENSFCAP00000018061	ENSFCAG00000022109	Felis_catus
ENSAOWP00000026333	ENSAOWG00000017757	Apteryx_owenii
ENSDNVP00000008447	ENSDNVG00000006001	Dromaius_novaehollandiae
ENSPVIP00000011163	ENSPVIG00000008765	Pogona_vitticeps
ENSPEMP00000034628	ENSPEMG00000027578	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0076033	MGP_SPRETEiJ_G0029210	Mus_spretus_strain_SPRET/EiJ
ENSMOCP00000005991	ENSMOCG00000005552	Microtus_ochrogaster
ENSODEP00000018662	ENSODEG00000013754	Octodon_degus
ENSCPUP00000001878	ENSCPUG00000001446	Calidris_pugnax
ENSNGAP00000009402	ENSNGAG00000012095	Nannospalax_galili
ENSCGRP00000024354	ENSCGRG00000017655	Cricetulus_griseus_CriGri_1.0
ENSOCUP00000017817	ENSOCUG00000014749	Oryctolagus_cuniculus
ENSMMUP00000008599	ENSMMUG00000006530	Macaca_mulatta
ENSHHUP00000057776	ENSHHUG00000034408	Hucho_hucho
ENSSBOP00000000829	ENSSBOG00000003499	Saimiri_boliviensis_boliviensis
ENSSDAP00000025079	ENSSDAG00000022800	Spermophilus_dauricus
ENSLOCP00000020390	ENSLOCG00000016507	Lepisosteus_oculatus
ENSCMIP00000004298	ENSCMIG00000002570	Callorhinchus_milii
ENSRBIP00000039813	ENSRBIG00000043358	Rhinopithecus_bieti
ENSBBBP00000007040	ENSBBBG00000003794	Bison_bison_bison
ENSPSIP00000017657	ENSPSIG00000015627	Pelodiscus_sinensis
ENSTBEP00000005097	ENSTBEG00000005922	Tupaia_belangeri
ENSPANP00000030007	ENSPANG00000010207	Papio_anubis
ENSMGAP00000012377	ENSMGAG00000011798	Meleagris_gallopavo
ENSCATP00000040567	ENSCATG00000042873	Cercocebus_atys
ENSMNEP00000041645	ENSMNEG00000043627	Macaca_nemestrina
ENSPSMP00000031783	ENSPSMG00000022060	Prolemur_simus
ENSABRP00000018412	ENSABRG00000015825	Anser_brachyrhynchus
ENSCABP00000001596	ENSCABG00000001294	Chelonoidis_abingdonii
ENSOMEP00000021413	ENSOMEG00000023291	Oryzias_melastigma
ENSNPEP00000011044	ENSNPEG00000008305	Nothoprocta_perdicaria
ENSCGRP00015036483	ENSCGRG00015027329	Cricetulus_griseus_CriGri-PICR
ENSP00000388275	ENSG00000146856	Homo_sapiens
ENSSMRP00000018085	ENSSMRG00000014075	Salvator_merianae
ENSVPAP00000003803	ENSVPAG00000004094	Vicugna_pacos
ENSXETP00000046861	ENSXETG00000019130	Xenopus_tropicalis	ENSXETT00000048217
ENSPTIP00000012074	ENSPTIG00000012266	Panthera_tigris_altaica
ENSCJAP00000022733	ENSCJAG00000012370	Callithrix_jacchus
ENSCMIP00000004042	ENSCMIG00000002422	Callorhinchus_milii
ENSCHOP00000010867	ENSCHOG00000012275	Choloepus_hoffmanni
ENSARWP00000024135	ENSARWG00000016455	Apteryx_rowi
ENSUPAP00010011218	ENSUPAG00010009051	Urocitellus_parryii
ENSBMUP00000006166	ENSBMUG00000004815	Bos_mutus
ENSMAUP00000002656	ENSMAUG00000002354	Mesocricetus_auratus
ENSMICP00000013278	ENSMICG00000014568	Microcebus_murinus
ENSMSIP00000035079	ENSMSIG00000029214	Mus_spicilegus
ENSNLEP00000016009	ENSNLEG00000013163	Nomascus_leucogenys
ENSEASP00005021420	ENSEASG00005014671	Equus_asinus_asinus
ENSUMAP00000020518	ENSUMAG00000015035	Ursus_maritimus
ENSCPOP00000022015	ENSCPOG00000037702	Cavia_porcellus
ENSMOCP00000012736	ENSMOCG00000012743	Microtus_ochrogaster
ENSNSUP00000004201	ENSNSUG00000003340	Notechis_scutatus
ENSGGOP00000023314	ENSGGOG00000024585	Gorilla_gorilla
ENSORLP00000020649	ENSORLG00000016495	Oryzias_latipes_ASM223467v1
ENSCAPP00000011291	ENSCAPG00000012401	Cavia_aperea
ENSCJPP00005009559	ENSCJPG00005008385	Coturnix_japonica
ENSAHAP00000003367	ENSAHAG00000002655	Apteryx_haastii
ENSBIXP00005024191	ENSBIXG00005026807	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSARP00000007598	ENSSARG00000008384	Sorex_araneus
ENSPTRP00000033787	ENSPTRG00000019722	Pan_troglodytes
ENSPPAP00000039331	ENSPPAG00000042375	Pan_paniscus
ENSRROP00000008291	ENSRROG00000028613	Rhinopithecus_roxellana
ENSTTRP00000002914	ENSTTRG00000003110	Tursiops_truncatus
ENSGALP00000019136	ENSGALG00000011727	Gallus_gallus
ENSJJAP00000014525	ENSJJAG00000016972	Jaculus_jaculus
ENSORLP00015021258	ENSORLG00015022466	Oryzias_latipes_ASM223469v1
ENSMMMP00000001578	ENSMMMG00000001455	Marmota_marmota_marmota
ENSGAGP00000026518	ENSGAGG00000019330	Gopherus_agassizii
ENSCHIP00000014457	ENSCHIG00000015475	Capra_hircus
ENSELUP00000007984	ENSELUG00000000332	Esox_lucius
ENSCSAP00000005406	ENSCSAG00000009168	Chlorocebus_sabaeus
ENSOGAP00000018426	ENSOGAG00000030615	Otolemur_garnettii
ENSMUSP00000110668	ENSMUSG00000038836	Mus_musculus_strain_reference_(CL57BL6)
ENSCAFP00000004740	ENSCAFG00000003177	Canis_lupus_familiaris
ENSNMEP00000011771	ENSNMEG00000011055	Numida_meleagris
ENSOARP00000008634	ENSOARG00000008035	Ovis_aries
ENSCGRP00001001311	ENSCGRG00001001010	Cricetulus_griseus_CHOK1GS_HDv1
ENSMUGP00000029380	ENSMUGG00000024379	Meriones_unguiculatus
ENSTGEP00000030886	ENSTGEG00000024765	Theropithecus_gelada
ENSLAFP00000023251	ENSLAFG00000009753	Loxodonta_africana
ENSACAP00000010667	ENSACAG00000010849	Anolis_carolinensis
ENSPPRP00000002074	ENSPPRG00000023662	Panthera_pardus
ENSMLEP00000014554	ENSMLEG00000031423	Mandrillus_leucophaeus
ENSCHAP00000055646	ENSCHAG00000025190	Clupea_harengus
ENSMEUP00000013124	ENSMEUG00000014376	Notamacropus_eugenii
ENSCCNP00000011319	ENSCCNG00000011746	Castor_canadensis
ENSEBUP00000002413	ENSEBUG00000001880	Eptatretus_burgeri
ENSCCNP00000011313	ENSCCNG00000011743	Castor_canadensis
ENSBIXP00000037643	ENSBIXG00000021239	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSRNOP00000034021	ENSRNOG00000010397	Rattus_norvegicus
ENSPNAP00000022528	ENSPNAG00000029921	Pygocentrus_nattereri
ENSSTOP00000026814	ENSSTOG00000030672	Ictidomys_tridecemlineatus
ENSMODP00000053259	ENSMODG00000037793	Monodelphis_domestica
ENSOPRP00000011672	ENSOPRG00000012780	Ochotona_princeps
ENSOANP00000007930	ENSOANG00000005002	Ornithorhynchus_anatinus
ENSBTAP00000055543	ENSBTAG00000013976	Bos_taurus
ENSPTEP00000036056	ENSPTEG00000033947	Piliocolobus_tephrosceles
ENSCANP00000018771	ENSCANG00000032818	Colobus_angolensis_palliatus
ENSDORP00000023414	ENSDORG00000027778	Dipodomys_ordii
ENSVVUP00000007695	ENSVVUG00000005826	Vulpes_vulpes
