FBpp0087806	FBgn0033317	Drosophila_melanogaster
F27D4.4a.1	WBGene00009189	Caenorhabditis_elegans_strain_N2
ENSCPGP00000020532	ENSCPGG00000014373	Calidris_pygmaea
ENSCPUP00000021688	ENSCPUG00000014759	Calidris_pugnax
ENSMUNP00000020157	ENSMUNG00000015364	Melopsittacus_undulatus
ENSSCAP00000005039	ENSSCAG00000004061	Serinus_canaria
ENSSCAP00000005049	ENSSCAG00000004067	Serinus_canaria
ENSLSDP00000014424	ENSLSDG00000010414	Lonchura_striata_domestica
ENSTGUP00000011482	ENSTGUG00000011131	Taeniopygia_guttata
ENSJHYP00000005850	ENSJHYG00000004753	Junco_hyemalis
ENSZALP00000016111	ENSZALG00000013104	Zonotrichia_albicollis
ENSCCEP00000005220	ENSCCEG00000005618	Cyanistes_caeruleus
ENSPMJP00000010253	ENSPMJG00000008101	Parus_major
ENSFALP00000004761	ENSFALG00000004566	Ficedula_albicollis
ENSMVIP00005020645	ENSMVIG00005014573	Manacus_vitellinus
ENSMVIP00005008930	ENSMVIG00005006603	Manacus_vitellinus
ENSLCOP00000020351	ENSLCOG00000014424	Lepidothrix_coronata
ENSABRP00000024009	ENSABRG00000020121	Anser_brachyrhynchus
ENSAPLP00000005617	ENSAPLG00000005971	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000004246	ENSMGAG00000004447	Meleagris_gallopavo
ENSCJPP00005016873	ENSCJPG00005013826	Coturnix_japonica
ENSGALP00000054065	ENSGALG00000041857	Gallus_gallus
ENSNMEP00000021518	ENSNMEG00000018422	Numida_meleagris
ENSAHAP00000003551	ENSAHAG00000002778	Apteryx_haastii
ENSARWP00000017693	ENSARWG00000012173	Apteryx_rowi
ENSAOWP00000006804	ENSAOWG00000004681	Apteryx_owenii
ENSDNVP00000014474	ENSDNVG00000010187	Dromaius_novaehollandiae
ENSNPEP00000020147	ENSNPEG00000014986	Nothoprocta_perdicaria
ENSCPRP00005017712	ENSCPRG00005012336	Crocodylus_porosus
ENSGAGP00000033227	ENSGAGG00000023689	Gopherus_agassizii
ENSCABP00000030281	ENSCABG00000022174	Chelonoidis_abingdonii
ENSCPBP00000001468	ENSCPBG00000001108	Chrysemys_picta_bellii
ENSPSIP00000016215	ENSPSIG00000014470	Pelodiscus_sinensis
ENSPVIP00000031894	ENSPVIG00000023437	Pogona_vitticeps
ENSACAP00000001849	ENSACAG00000001916	Anolis_carolinensis
ENSNSUP00000019554	ENSNSUG00000014286	Notechis_scutatus
ENSSMRP00000025083	ENSSMRG00000019405	Salvator_merianae
ENSSPUP00000015566	ENSSPUG00000012016	Sphenodon_punctatus
ENSVURP00010023575	ENSVURG00010018067	Vombatus_ursinus
ENSPCIP00000025408	ENSPCIG00000019112	Phascolarctos_cinereus
ENSSHAP00000009397	ENSSHAG00000008130	Sarcophilus_harrisii
ENSMODP00000000871	ENSMODG00000000726	Monodelphis_domestica
ENSMODP00000055025	ENSMODG00000030044	Monodelphis_domestica
ENSMODP00000013310	ENSMODG00000027565	Monodelphis_domestica
ENSVPAP00000006489	ENSVPAG00000006980	Vicugna_pacos
ENSCHIP00000032001	ENSCHIG00000026136	Capra_hircus
ENSVVUP00000023085	ENSVVUG00000016921	Vulpes_vulpes
ENSCAFP00000054654	ENSCAFG00000014494	Canis_lupus_familiaris
ENSUAMP00000030520	ENSUAMG00000023433	Ursus_americanus
ENSSARP00000010902	ENSSARG00000012071	Sorex_araneus
ENSEASP00005032382	ENSEASG00005022074	Equus_asinus_asinus
ENSECAP00000015012	ENSECAG00000017149	Equus_caballus
ENSPANP00000038703	ENSPANG00000007787	Papio_anubis
ENSMNEP00000014690	ENSMNEG00000031479	Macaca_nemestrina
ENSCATP00000012450	ENSCATG00000030359	Cercocebus_atys
ENSRBIP00000003657	ENSRBIG00000016836	Rhinopithecus_bieti
ENSMMUP00000078371	ENSMMUG00000017248	Macaca_mulatta
ENSANAP00000016690	ENSANAG00000026203	Aotus_nancymaae
ENSSBOP00000007225	ENSSBOG00000020564	Saimiri_boliviensis_boliviensis
ENSPCOP00000018134	ENSPCOG00000020940	Propithecus_coquereli
ENSMICP00000020693	ENSMICG00000031065	Microcebus_murinus
ENSOPRP00000014424	ENSOPRG00000015790	Ochotona_princeps
ENSOPRP00000008001	ENSOPRG00000008756	Ochotona_princeps
ENSTBEP00000013478	ENSTBEG00000015530	Tupaia_belangeri
ENSCHOP00000010573	ENSCHOG00000011958	Choloepus_hoffmanni
ENSDNOP00000018480	ENSDNOG00000035570	Dasypus_novemcinctus
ENSBIXP00000021012	ENSBIXG00000024204	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005002621	ENSBIXG00005000340	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000029007	ENSBTAG00000021762	Bos_taurus
ENSBMUP00000030796	ENSBMUG00000023011	Bos_mutus
ENSBBBP00000024044	ENSBBBG00000004776	Bison_bison_bison
ENSOARP00000017852	ENSOARG00000016623	Ovis_aries
ENSSSCP00000016981	ENSSSCG00000016026	Sus_scrofa_strain_reference
ENSPVAP00000004571	ENSPVAG00000004828	Pteropus_vampyrus
ENSMLUP00000007070	ENSMLUG00000007741	Myotis_lucifugus
ENSTTRP00000011788	ENSTTRG00000012425	Tursiops_truncatus
ENSUMAP00000023586	ENSUMAG00000017161	Ursus_maritimus
ENSMPUP00000003491	ENSMPUG00000003521	Mustela_putorius_furo
ENSCAFP00020010413	ENSCAFG00020008457	Canis_lupus_dingo
ENSPPRP00000000404	ENSPPRG00000024845	Panthera_pardus
ENSFCAP00000007612	ENSFCAG00000008213	Felis_catus
ENSAMEP00000008771	ENSAMEG00000008314	Ailuropoda_melanoleuca
ENSNVIP00000005630	ENSNVIG00000004514	Neovison_vison
ENSPTIP00000012444	ENSPTIG00000012514	Panthera_tigris_altaica
ENSCHIP00000030665	ENSCHIG00000025340	Capra_hircus
ENSOARP00000006304	ENSOARG00000005887	Ovis_aries
ENSOCUP00000043137	ENSOCUG00000011909	Oryctolagus_cuniculus
ENSDNOP00000021529	ENSDNOG00000046919	Dasypus_novemcinctus
ENSETEP00000010278	ENSETEG00000012676	Echinops_telfairi
ENSBIXP00000033740	ENSBIXG00000016578	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000017061	ENSBBBG00000001450	Bison_bison_bison
ENSEEUP00000001962	ENSEEUG00000002156	Erinaceus_europaeus
ENSNGAP00000004371	ENSNGAG00000005723	Nannospalax_galili
ENSNGAP00000021058	ENSNGAG00000020356	Nannospalax_galili
ENSPEMP00000012895	ENSPEMG00000013093	Peromyscus_maniculatus_bairdii
ENSMOCP00000021876	ENSMOCG00000019087	Microtus_ochrogaster
ENSCGRP00015024843	ENSCGRG00015018850	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001020730	ENSCGRG00001019781	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015000724	ENSCGRG00015000698	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000001211	ENSCGRG00000000943	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000018050	ENSMAUG00000016743	Mesocricetus_auratus
ENSMSIP00000025495	ENSMSIG00000021540	Mus_spicilegus
ENSMSIP00000024452	ENSMSIG00000020685	Mus_spicilegus
MGP_SPRETEiJ_P0054646	MGP_SPRETEiJ_G0024633	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0052559	MGP_CAROLIEiJ_G0023713	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000080301	ENSMUSG00000027091	Mus_musculus_strain_reference_(CL57BL6)
ENSRNOP00000071553	ENSRNOG00000060002	Rattus_norvegicus
ENSRNOP00000007276	ENSRNOG00000005256	Rattus_norvegicus
ENSMUGP00000008620	ENSMUGG00000007777	Meriones_unguiculatus
ENSJJAP00000020401	ENSJJAG00000021088	Jaculus_jaculus
ENSJJAP00000009269	ENSJJAG00000013191	Jaculus_jaculus
ENSSTOP00000006134	ENSSTOG00000006873	Ictidomys_tridecemlineatus
ENSUPAP00010008565	ENSUPAG00010006913	Urocitellus_parryii
ENSSDAP00000009041	ENSSDAG00000008238	Spermophilus_dauricus
ENSMMMP00000009744	ENSMMMG00000008693	Marmota_marmota_marmota
ENSDORP00000010963	ENSDORG00000011664	Dipodomys_ordii
ENSDORP00000027511	ENSDORG00000029591	Dipodomys_ordii
ENSCCNP00000025587	ENSCCNG00000024936	Castor_canadensis
ENSOCUP00000010230	ENSOCUG00000011903	Oryctolagus_cuniculus
ENSHGLP00100000606	ENSHGLG00100000509	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000026890	ENSHGLG00000019121	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000000370	ENSHGLG00000000344	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000016	ENSHGLG00100000040	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100014985	ENSHGLG00100011099	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000013252	ENSFDAG00000020578	Fukomys_damarensis
ENSCPOP00000011672	ENSCPOG00000012965	Cavia_porcellus
ENSCAPP00000008215	ENSCAPG00000009954	Cavia_aperea
ENSCLAP00000023953	ENSCLAG00000016439	Chinchilla_lanigera
ENSODEP00000014242	ENSODEG00000010533	Octodon_degus
ENSODEP00000014751	ENSODEG00000010902	Octodon_degus
ENSPEMP00000005961	ENSPEMG00000008317	Peromyscus_maniculatus_bairdii
ENSMOCP00000003942	ENSMOCG00000003148	Microtus_ochrogaster
ENSHGLP00000008152	ENSHGLG00000005898	Heterocephalus_glaber_HetGla_female_1.0
ENSMSIP00000033519	ENSMSIG00000028033	Mus_spicilegus
ENSPCOP00000001820	ENSPCOG00000005647	Propithecus_coquereli
ENSTSYP00000010107	ENSTSYG00000011019	Carlito_syrichta
ENSPSMP00000006777	ENSPSMG00000005059	Prolemur_simus
ENSMICP00000012986	ENSMICG00000014245	Microcebus_murinus
ENSCCAP00000035548	ENSCCAG00000035677	Cebus_capucinus_imitator
ENSCCAP00000005023	ENSCCAG00000020167	Cebus_capucinus_imitator
ENSCJAP00000041477	ENSCJAG00000005931	Callithrix_jacchus
ENSPTEP00000018956	ENSPTEG00000020349	Piliocolobus_tephrosceles
ENSCANP00000017011	ENSCANG00000031974	Colobus_angolensis_palliatus
ENSRROP00000007913	ENSRROG00000028243	Rhinopithecus_roxellana
ENSMLEP00000018656	ENSMLEG00000033522	Mandrillus_leucophaeus
ENSTGEP00000034053	ENSTGEG00000027185	Theropithecus_gelada
ENSCSAP00000008738	ENSCSAG00000012554	Chlorocebus_sabaeus
ENSMFAP00000003822	ENSMFAG00000001625	Macaca_fascicularis
ENSPPAP00000040247	ENSPPAG00000042759	Pan_paniscus
ENSPPAP00000000979	ENSPPAG00000004038	Pan_paniscus
ENSPTRP00000021742	ENSPTRG00000012717	Pan_troglodytes
ENSGGOP00000000072	ENSGGOG00000000073	Gorilla_gorilla
ENSP00000338788	ENSG00000065548	Homo_sapiens
ENSPPYP00000014528	ENSPPYG00000013004	Pongo_abelii
ENSNLEP00000007858	ENSNLEG00000006446	Nomascus_leucogenys
ENSOGAP00000001951	ENSOGAG00000002182	Otolemur_garnettii
ENSETEP00000010110	ENSETEG00000012467	Echinops_telfairi
ENSLAFP00000001302	ENSLAFG00000001563	Loxodonta_africana
