ENSCINP00000008403	ENSCING00000004079	Ciona_intestinalis	ENSCINT00000008403
ENSCSAVP00000011766	ENSCSAVG00000006906	Ciona_savignyi	ENSCSAVT00000011903
ENSPVAP00000002227	ENSPVAG00000002354	Pteropus_vampyrus
ENSMLUP00000005480	ENSMLUG00000005995	Myotis_lucifugus
ENSOARP00000013387	ENSOARG00000012491	Ovis_aries
ENSCHIP00000017435	ENSCHIG00000017286	Capra_hircus
ENSBIXP00005022413	ENSBIXG00005005564	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000025715	ENSBIXG00000027812	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000059114	ENSBTAG00000003162	Bos_taurus
ENSBMUP00000021002	ENSBMUG00000015794	Bos_mutus
ENSBBBP00000004582	ENSBBBG00000013504	Bison_bison_bison
ENSTTRP00000009925	ENSTTRG00000010471	Tursiops_truncatus
ENSSSCP00000040428	ENSSSCG00000003780	Sus_scrofa_strain_reference
ENSVPAP00000006412	ENSVPAG00000006899	Vicugna_pacos
ENSCHOP00000004576	ENSCHOG00000005167	Choloepus_hoffmanni
ENSUAMP00000013439	ENSUAMG00000010805	Ursus_americanus
ENSUMAP00000008475	ENSUMAG00000006464	Ursus_maritimus
ENSAMEP00000003634	ENSAMEG00000003442	Ailuropoda_melanoleuca
ENSNVIP00000013392	ENSNVIG00000010500	Neovison_vison
ENSNVIP00000012425	ENSNVIG00000009873	Neovison_vison
ENSMPUP00000010880	ENSMPUG00000010969	Mustela_putorius_furo
ENSMPUP00000019147	ENSMPUG00000019272	Mustela_putorius_furo
ENSCAFP00000032109	ENSCAFG00000020404	Canis_lupus_familiaris
ENSCAFP00000061033	ENSCAFG00000004629	Canis_lupus_familiaris
ENSCAFP00020021626	ENSCAFG00020017097	Canis_lupus_dingo
ENSVVUP00000009275	ENSVVUG00000006915	Vulpes_vulpes
ENSVVUP00000018852	ENSVVUG00000013883	Vulpes_vulpes
ENSPPRP00000025450	ENSPPRG00000015723	Panthera_pardus
ENSPPRP00000007194	ENSPPRG00000002401	Panthera_pardus
ENSPTIP00000020619	ENSPTIG00000018039	Panthera_tigris_altaica
ENSPPRP00000001856	ENSPPRG00000023826	Panthera_pardus
ENSFCAP00000025616	ENSFCAG00000030626	Felis_catus
ENSEEUP00000011031	ENSEEUG00000012104	Erinaceus_europaeus
ENSSARP00000000097	ENSSARG00000000104	Sorex_araneus
