ENSEASP00005023499	ENSEASG00005015999	Equus_asinus_asinus
ENSECAP00000032528	ENSECAG00000038042	Equus_caballus
ENSVVUP00000014581	ENSVVUG00000010668	Vulpes_vulpes
ENSCAFP00000038627	ENSCAFG00000032658	Canis_lupus_familiaris
ENSMPUP00000016647	ENSMPUG00000016752	Mustela_putorius_furo
ENSBIXP00000009367	ENSBIXG00000001928	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005009124	ENSBIXG00005014074	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000061672	ENSBTAG00000053242	Bos_taurus
ENSBMUP00000019694	ENSBMUG00000014869	Bos_mutus
ENSBBBP00000007382	ENSBBBG00000003850	Bison_bison_bison
ENSOARP00000003211	ENSOARG00000003020	Ovis_aries
ENSSSCP00000048898	ENSSSCG00000036407	Sus_scrofa_strain_reference
ENSUMAP00000003812	ENSUMAG00000003138	Ursus_maritimus	ENSUMAT00000004667
ENSNVIP00000031945	ENSNVIG00000024601	Neovison_vison	ENSNVIT00000037030
ENSPTIP00000013597	ENSPTIG00000013283	Panthera_tigris_altaica
ENSPPRP00000023070	ENSPPRG00000013375	Panthera_pardus
ENSFCAP00000033674	ENSFCAG00000038766	Felis_catus
MGP_SPRETEiJ_P0079137	MGP_SPRETEiJ_G0029879	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000029445	ENSMSIG00000024743	Mus_spicilegus
MGP_CAROLIEiJ_P0075939	MGP_CAROLIEiJ_G0028840	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0052246	MGP_PahariEiJ_G0022598	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000060617	ENSRNOG00000042494	Rattus_norvegicus
ENSMUGP00000015246	ENSMUGG00000013138	Meriones_unguiculatus
ENSPEMP00000012829	ENSPEMG00000013047	Peromyscus_maniculatus_bairdii
ENSMOCP00000003345	ENSMOCG00000002666	Microtus_ochrogaster
ENSCGRP00015001580	ENSCGRG00015001316	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000022034	ENSCGRG00000015972	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001018311	ENSCGRG00001018106	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000019774	ENSMAUG00000017972	Mesocricetus_auratus
ENSNGAP00000025165	ENSNGAG00000023205	Nannospalax_galili
ENSCCNP00000008064	ENSCCNG00000008582	Castor_canadensis
ENSSDAP00000027561	ENSSDAG00000024954	Spermophilus_dauricus
ENSUPAP00010019474	ENSUPAG00010015429	Urocitellus_parryii
ENSMMMP00000011916	ENSMMMG00000010670	Marmota_marmota_marmota
ENSSTOP00000022951	ENSSTOG00000023434	Ictidomys_tridecemlineatus
ENSPSMP00000035574	ENSPSMG00000024495	Prolemur_simus
