ENSEBUP00000027776	ENSEBUG00000016991	Eptatretus_burgeri	ENSEBUT00000028352
ENSEBUP00000015853	ENSEBUG00000009973	Eptatretus_burgeri	ENSEBUT00000016429
ENSPMAP00000007750	ENSPMAG00000007018	Petromyzon_marinus	ENSPMAT00000007785
ENSPMAP00000006429	ENSPMAG00000005790	Petromyzon_marinus	ENSPMAT00000006458
ENSCHOP00000004064	ENSCHOG00000004598	Choloepus_hoffmanni	ENSCHOT00000004612
ENSDNOP00000025039	ENSDNOG00000045835	Dasypus_novemcinctus	ENSDNOT00000036530
ENSETEP00000001329	ENSETEG00000001647	Echinops_telfairi
ENSLAFP00000010077	ENSLAFG00000012053	Loxodonta_africana
ENSPTRP00000034180	ENSPTRG00000019947	Pan_troglodytes
ENSPPAP00000017451	ENSPPAG00000031813	Pan_paniscus
ENSGGOP00000009795	ENSGGOG00000010038	Gorilla_gorilla
ENSP00000314897	ENSG00000091879	Homo_sapiens
ENSPPYP00000020527	ENSPPYG00000018319	Pongo_abelii
ENSNLEP00000018153	ENSNLEG00000014909	Nomascus_leucogenys
ENSPTEP00000015675	ENSPTEG00000017292	Piliocolobus_tephrosceles
ENSCANP00000033005	ENSCANG00000040158	Colobus_angolensis_palliatus
ENSRBIP00000040338	ENSRBIG00000043592	Rhinopithecus_bieti
ENSRROP00000042342	ENSRROG00000044321	Rhinopithecus_roxellana
ENSPANP00000017804	ENSPANG00000006769	Papio_anubis
ENSTGEP00000020651	ENSTGEG00000016608	Theropithecus_gelada
ENSMLEP00000011946	ENSMLEG00000030146	Mandrillus_leucophaeus
ENSCATP00000022601	ENSCATG00000034913	Cercocebus_atys
ENSMMUP00000013262	ENSMMUG00000010139	Macaca_mulatta
ENSMFAP00000026436	ENSMFAG00000044644	Macaca_fascicularis
ENSMNEP00000018194	ENSMNEG00000033040	Macaca_nemestrina
ENSCSAP00000013045	ENSCSAG00000017001	Chlorocebus_sabaeus
ENSCCAP00000015069	ENSCCAG00000025319	Cebus_capucinus_imitator
ENSSBOP00000026053	ENSSBOG00000029473	Saimiri_boliviensis_boliviensis
ENSCJAP00000000387	ENSCJAG00000000227	Callithrix_jacchus
ENSANAP00000030457	ENSANAG00000032961	Aotus_nancymaae
ENSTSYP00000010768	ENSTSYG00000011742	Carlito_syrichta
ENSPSMP00000024967	ENSPSMG00000017538	Prolemur_simus
ENSPCOP00000017642	ENSPCOG00000020648	Propithecus_coquereli
ENSMICP00000048286	ENSMICG00000011303	Microcebus_murinus
ENSOGAP00000013469	ENSOGAG00000015047	Otolemur_garnettii
ENSTBEP00000011283	ENSTBEG00000013024	Tupaia_belangeri
ENSUMAP00000034618	ENSUMAG00000024921	Ursus_maritimus	ENSUMAT00000040950
ENSUAMP00000022952	ENSUAMG00000017991	Ursus_americanus	ENSUAMT00000025640
ENSAMEP00000005606	ENSAMEG00000005292	Ailuropoda_melanoleuca	ENSAMET00000005838
ENSNVIP00000010562	ENSNVIG00000008353	Neovison_vison
ENSMPUP00000002532	ENSMPUG00000002561	Mustela_putorius_furo
ENSCAFP00000012670	ENSCAFG00000008597	Canis_lupus_familiaris
ENSCAFP00020015535	ENSCAFG00020012480	Canis_lupus_dingo
ENSVVUP00000041652	ENSVVUG00000029637	Vulpes_vulpes
ENSPTIP00000010015	ENSPTIG00000010865	Panthera_tigris_altaica
ENSPPRP00000008658	ENSPPRG00000003408	Panthera_pardus
ENSFCAP00000013334	ENSFCAG00000014372	Felis_catus
ENSEEUP00000009859	ENSEEUG00000010815	Erinaceus_europaeus
ENSBIXP00000030121	ENSBIXG00000011951	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005013786	ENSBIXG00005006586	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000014656	ENSBTAG00000011034	Bos_taurus
ENSBMUP00000033533	ENSBMUG00000025037	Bos_mutus
ENSBBBP00000010246	ENSBBBG00000018414	Bison_bison_bison
ENSOARP00000006701	ENSOARG00000006253	Ovis_aries
ENSCHIP00000020580	ENSCHIG00000019161	Capra_hircus
ENSTTRP00000016189	ENSTTRG00000017076	Tursiops_truncatus
ENSSSCP00000067734	ENSSSCG00000015753	Sus_scrofa_strain_reference
ENSVPAP00000007246	ENSVPAG00000007789	Vicugna_pacos
ENSECAP00000013806	ENSECAG00000015894	Equus_caballus
ENSEASP00005013699	ENSEASG00005009567	Equus_asinus_asinus
ENSOCUP00000013214	ENSOCUG00000015377	Oryctolagus_cuniculus
ENSOPRP00000011234	ENSOPRG00000012315	Ochotona_princeps
MGP_SPRETEiJ_P0087345	MGP_SPRETEiJ_G0031974	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000035608	ENSMSIG00000029639	Mus_spicilegus
ENSMUSP00000033846	ENSMUSG00000031465	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0083895	MGP_CAROLIEiJ_G0030863	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0046778	MGP_PahariEiJ_G0021327	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000022774	ENSRNOG00000016696	Rattus_norvegicus
ENSMUGP00000026877	ENSMUGG00000022377	Meriones_unguiculatus
ENSCGRP00001025604	ENSCGRG00001023150	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000012809	ENSCGRG00000009323	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015028559	ENSCGRG00015021599	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000015156	ENSMAUG00000014702	Mesocricetus_auratus
ENSPEMP00000011329	ENSPEMG00000012005	Peromyscus_maniculatus_bairdii
ENSMOCP00000001424	ENSMOCG00000001083	Microtus_ochrogaster
ENSNGAP00000006770	ENSNGAG00000010084	Nannospalax_galili
ENSJJAP00000023866	ENSJJAG00000023501	Jaculus_jaculus
ENSDORP00000004739	ENSDORG00000005066	Dipodomys_ordii
ENSHGLP00000003364	ENSHGLG00000002482	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011065	ENSHGLG00100008230	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000015112	ENSFDAG00000002789	Fukomys_damarensis
ENSCLAP00000019817	ENSCLAG00000013588	Chinchilla_lanigera
ENSODEP00000000818	ENSODEG00000000665	Octodon_degus
ENSCAPP00000008114	ENSCAPG00000009867	Cavia_aperea
ENSCPOP00000023680	ENSCPOG00000030082	Cavia_porcellus
ENSSTOP00000002777	ENSSTOG00000003106	Ictidomys_tridecemlineatus
ENSSDAP00000009143	ENSSDAG00000008330	Spermophilus_dauricus
ENSUPAP00010005725	ENSUPAG00010004610	Urocitellus_parryii
ENSMMMP00000026899	ENSMMMG00000023533	Marmota_marmota_marmota
ENSCCNP00000009343	ENSCCNG00000009847	Castor_canadensis
ENSPVAP00000011596	ENSPVAG00000012304	Pteropus_vampyrus
ENSPCAP00000014585	ENSPCAG00000015625	Procavia_capensis
ENSPCIP00000014102	ENSPCIG00000011026	Phascolarctos_cinereus
ENSVURP00010010694	ENSVURG00010008258	Vombatus_ursinus
ENSMEUP00000003546	ENSMEUG00000003883	Notamacropus_eugenii
ENSSHAP00000001999	ENSSHAG00000001779	Sarcophilus_harrisii
ENSMODP00000015140	ENSMODG00000012086	Monodelphis_domestica
ENSOANP00000008575	ENSOANG00000005391	Ornithorhynchus_anatinus
ENSAHAP00000024830	ENSAHAG00000017313	Apteryx_haastii
ENSAOWP00000016226	ENSAOWG00000011065	Apteryx_owenii
ENSARWP00000022141	ENSARWG00000015087	Apteryx_rowi
ENSDNVP00000008145	ENSDNVG00000005791	Dromaius_novaehollandiae
