ENSUAMP00000030339	ENSUAMG00000023285	Ursus_americanus	ENSUAMT00000033848
ENSUMAP00000014340	ENSUMAG00000010565	Ursus_maritimus	ENSUMAT00000017012
ENSNVIP00000031497	ENSNVIG00000024211	Neovison_vison	ENSNVIT00000036477
ENSMPUP00000020029	ENSMPUG00000020164	Mustela_putorius_furo
ENSCAFP00020012415	ENSCAFG00020010000	Canis_lupus_dingo
ENSCAFP00000028795	ENSCAFG00000019471	Canis_lupus_familiaris
ENSVVUP00000038025	ENSVVUG00000027150	Vulpes_vulpes
ENSPTIP00000002186	ENSPTIG00000005278	Panthera_tigris_altaica
ENSPPRP00000027534	ENSPPRG00000019061	Panthera_pardus
ENSFCAP00000012501	ENSFCAG00000013479	Felis_catus
ENSEASP00005032050	ENSEASG00005021876	Equus_asinus_asinus
ENSECAP00000000844	ENSECAG00000001137	Equus_caballus
ENSPVAP00000002291	ENSPVAG00000002425	Pteropus_vampyrus
ENSBIXP00000014295	ENSBIXG00000019016	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005034638	ENSBIXG00005007144	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000023844	ENSBTAG00000017929	Bos_taurus
ENSBMUP00000030956	ENSBMUG00000023118	Bos_mutus
ENSBBBP00000009842	ENSBBBG00000017985	Bison_bison_bison
ENSOARP00000005564	ENSOARG00000005190	Ovis_aries
ENSTTRP00000012288	ENSTTRG00000012955	Tursiops_truncatus
ENSSSCP00000003640	ENSSSCG00000003357	Sus_scrofa_strain_reference
ENSPSMP00000000632	ENSPSMG00000000500	Prolemur_simus
ENSOGAP00000009942	ENSOGAG00000011109	Otolemur_garnettii
ENSANAP00000026941	ENSANAG00000031255	Aotus_nancymaae
ENSCJAP00000058657	ENSCJAG00000022478	Callithrix_jacchus
ENSPTRP00000000103	ENSPTRG00000000057	Pan_troglodytes
ENSPPAP00000001515	ENSPPAG00000006845	Pan_paniscus
ENSP00000367658	ENSG00000169717	Homo_sapiens
ENSGGOP00000013812	ENSGGOG00000014163	Gorilla_gorilla
ENSPPYP00000002284	ENSPPYG00000001970	Pongo_abelii
ENSNLEP00000045053	ENSNLEG00000000275	Nomascus_leucogenys
ENSMFAP00000010635	ENSMFAG00000008800	Macaca_fascicularis
ENSMMUP00000016190	ENSMMUG00000012334	Macaca_mulatta
ENSMNEP00000029653	ENSMNEG00000038311	Macaca_nemestrina
ENSMLEP00000002510	ENSMLEG00000010211	Mandrillus_leucophaeus
ENSTGEP00000015966	ENSTGEG00000012901	Theropithecus_gelada
ENSPANP00000009322	ENSPANG00000024738	Papio_anubis
ENSCSAP00000017372	ENSCSAG00000000634	Chlorocebus_sabaeus
ENSPTEP00000018407	ENSPTEG00000019849	Piliocolobus_tephrosceles
ENSCCNP00000003636	ENSCCNG00000003881	Castor_canadensis
ENSDORP00000003586	ENSDORG00000003841	Dipodomys_ordii
ENSPEMP00000014413	ENSPEMG00000014225	Peromyscus_maniculatus_bairdii
ENSMOCP00000002969	ENSMOCG00000002363	Microtus_ochrogaster
ENSCGRP00000026522	ENSCGRG00000019600	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001006925	ENSCGRG00001009403	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015017097	ENSCGRG00015013174	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008662	ENSMAUG00000010034	Mesocricetus_auratus
ENSMSIP00000018693	ENSMSIG00000015935	Mus_spicilegus
ENSMUSP00000050377	ENSMUSG00000051276	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0068781	MGP_SPRETEiJ_G0027867	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0066195	MGP_CAROLIEiJ_G0026874	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0081303	MGP_PahariEiJ_G0029222	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000016781	ENSRNOG00000012586	Rattus_norvegicus
ENSMUGP00000001673	ENSMUGG00000001576	Meriones_unguiculatus
ENSNGAP00000008306	ENSNGAG00000011337	Nannospalax_galili
ENSJJAP00000003091	ENSJJAG00000005857	Jaculus_jaculus
ENSCLAP00000025549	ENSCLAG00000017641	Chinchilla_lanigera
ENSODEP00000026497	ENSODEG00000019932	Octodon_degus
ENSHGLP00000028983	ENSHGLG00000021430	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100027376	ENSHGLG00100020450	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000014904	ENSFDAG00000002435	Fukomys_damarensis
ENSCPOP00000014962	ENSCPOG00000026644	Cavia_porcellus
ENSSTOP00000016433	ENSSTOG00000026986	Ictidomys_tridecemlineatus
ENSUPAP00010016388	ENSUPAG00010013082	Urocitellus_parryii
ENSMMMP00000021221	ENSMMMG00000018703	Marmota_marmota_marmota
ENSLAFP00000001097	ENSLAFG00000001300	Loxodonta_africana
ENSPCAP00000009454	ENSPCAG00000010209	Procavia_capensis
ENSDNOP00000010636	ENSDNOG00000013734	Dasypus_novemcinctus
ENSPCIP00000049085	ENSPCIG00000036687	Phascolarctos_cinereus
ENSVURP00010031268	ENSVURG00010023924	Vombatus_ursinus
ENSMODP00000031219	ENSMODG00000019054	Monodelphis_domestica
ENSSHAP00000007505	ENSSHAG00000006523	Sarcophilus_harrisii
ENSOANP00000010682	ENSOANG00000006693	Ornithorhynchus_anatinus
ENSGAGP00000011978	ENSGAGG00000009229	Gopherus_agassizii
ENSCABP00000024833	ENSCABG00000018288	Chelonoidis_abingdonii
ENSCPBP00000030508	ENSCPBG00000021482	Chrysemys_picta_bellii
ENSPSIP00000000593	ENSPSIG00000000593	Pelodiscus_sinensis
