ENSPLAP00000003233	ENSPLAG00000004663	Poecilia_latipinna	ENSPLAT00000011717
ENSHCOP00000006474	ENSHCOG00000008279	Hippocampus_comes
ENSFCAP00000013500	ENSFCAG00000014552	Felis_catus
ENSOANP00000011118	ENSOANG00000006980	Ornithorhynchus_anatinus
ENSPSMP00000009234	ENSPSMG00000006697	Prolemur_simus
ENSAPOP00000025409	ENSAPOG00000008500	Acanthochromis_polyacanthus
ENSUAMP00000026195	ENSUAMG00000020322	Ursus_americanus
ENSSDUP00000000510	ENSSDUG00000000427	Seriola_dumerili
ENSEEUP00000001409	ENSEEUG00000001557	Erinaceus_europaeus
ENSSMRP00000007965	ENSSMRG00000006387	Salvator_merianae
ENSMUGP00000023957	ENSMUGG00000020023	Meriones_unguiculatus
ENSSFOP00015020385	ENSSFOG00015013112	Scleropages_formosus	ENSSFOT00015020617
ENSPCIP00000043172	ENSPCIG00000032615	Phascolarctos_cinereus
ENSAPLP00000017669	ENSAPLG00000021178	Anas_platyrhynchos_platyrhynchos
ENSBBBP00000019200	ENSBBBG00000012473	Bison_bison_bison
ENSMMOP00000021896	ENSMMOG00000016651	Mola_mola
ENSEASP00005017128	ENSEASG00005011858	Equus_asinus_asinus
ENSNSUP00000023621	ENSNSUG00000017097	Notechis_scutatus
ENSACLP00000035100	ENSACLG00000023761	Astatotilapia_calliptera
ENSPFOP00000029518	ENSPFOG00000023659	Poecilia_formosa	ENSPFOT00000025882
ENSAPEP00000024055	ENSAPEG00000017113	Amphiprion_percula
ENSRBIP00000018235	ENSRBIG00000033110	Rhinopithecus_bieti
ENSATEP00000002935	ENSATEG00000002108	Anabas_testudineus
ENSCPOP00000030209	ENSCPOG00000040544	Cavia_porcellus
ENSNMEP00000001627	ENSNMEG00000002078	Numida_meleagris
ENSGWIP00000012661	ENSGWIG00000007327	Gouania_willdenowi
ENSACAP00000004195	ENSACAG00000004331	Anolis_carolinensis
ENSEBUP00000005631	ENSEBUG00000003818	Eptatretus_burgeri
ENSPPAP00000041902	ENSPPAG00000043547	Pan_paniscus
ENSLBEP00000033775	ENSLBEG00000025427	Labrus_bergylta
ENSORLP00020022710	ENSORLG00020003132	Oryzias_latipes_ASM223471v1
ENSBTAP00000022819	ENSBTAG00000017160	Bos_taurus
ENSCGOP00000012760	ENSCGOG00000006253	Cottoperca_gobio
ENSPTEP00000029862	ENSPTEG00000029186	Piliocolobus_tephrosceles
ENSCATP00000003924	ENSCATG00000014486	Cercocebus_atys
ENSGGOP00000033233	ENSGGOG00000003826	Gorilla_gorilla
ENSCSAP00000003789	ENSCSAG00000007526	Chlorocebus_sabaeus
ENSMZEP00005022882	ENSMZEG00005017131	Maylandia_zebra
MGP_CAROLIEiJ_P0034197	MGP_CAROLIEiJ_G0018466	Mus_caroli_strain_CAROLI_EIJ
ENSPEMP00000023175	ENSPEMG00000020296	Peromyscus_maniculatus_bairdii
ENSNGAP00000023775	ENSNGAG00000022232	Nannospalax_galili
ENSBMUP00000033995	ENSBMUG00000025338	Bos_mutus
ENSDCDP00000016775	ENSDCDG00000013730	Denticeps_clupeoides
ENSGAFP00000021867	ENSGAFG00000014754	Gambusia_affinis	ENSGAFT00000022076
ENSORLP00000029164	ENSORLG00000012814	Oryzias_latipes_ASM223467v1
ENSUPAP00010020856	ENSUPAG00010016540	Urocitellus_parryii
ENSAOCP00000028400	ENSAOCG00000017986	Amphiprion_ocellaris
ENSCMIP00000016539	ENSCMIG00000007966	Callorhinchus_milii
ENSOGAP00000010003	ENSOGAG00000011174	Otolemur_garnettii
ENSTGUP00000017510	ENSTGUG00000017233	Taeniopygia_guttata
ENSXCOP00000004755	ENSXCOG00000003746	Xiphophorus_couchianus	ENSXCOT00000004812
ENSSDAP00000006703	ENSSDAG00000006189	Spermophilus_dauricus
ENSODEP00000008097	ENSODEG00000006038	Octodon_degus
ENSDCDP00000017017	ENSDCDG00000013823	Denticeps_clupeoides
ENSGMOP00000018092	ENSGMOG00000016845	Gadus_morhua
ENSMUNP00000011752	ENSMUNG00000009255	Melopsittacus_undulatus
ENSCANP00000020060	ENSCANG00000033452	Colobus_angolensis_palliatus
ENSVURP00010003830	ENSVURG00010003062	Vombatus_ursinus
ENSPPYP00000018162	ENSPPYG00000016240	Pongo_abelii
ENSDNVP00000021609	ENSDNVG00000015101	Dromaius_novaehollandiae
ENSP00000475727	ENSG00000145979	Homo_sapiens
ENSZALP00000001033	ENSZALG00000001268	Zonotrichia_albicollis
ENSORLP00015022282	ENSORLG00015001569	Oryzias_latipes_ASM223469v1
ENSAOWP00000011150	ENSAOWG00000007676	Apteryx_owenii
ENSHGLP00000006037	ENSHGLG00000004413	Heterocephalus_glaber_HetGla_female_1.0
ENSECRP00000026638	ENSECRG00000017995	Erpetoichthys_calabaricus
ENSMVIP00005019904	ENSMVIG00005014083	Manacus_vitellinus
ENSJJAP00000002958	ENSJJAG00000005504	Jaculus_jaculus
ENSCPGP00000019499	ENSCPGG00000013651	Calidris_pygmaea
ENSECAP00000014779	ENSECAG00000017004	Equus_caballus
ENSJHYP00000020539	ENSJHYG00000015581	Junco_hyemalis
ENSSHAP00000010597	ENSSHAG00000009146	Sarcophilus_harrisii
ENSMLUP00000001479	ENSMLUG00000001609	Myotis_lucifugus
ENSSPAP00000021763	ENSSPAG00000016428	Stegastes_partitus
ENSVPAP00000010148	ENSVPAG00000010900	Vicugna_pacos
ENSMMMP00000017839	ENSMMMG00000015817	Marmota_marmota_marmota
ENSCHAP00000053849	ENSCHAG00000024454	Clupea_harengus
ENSPTIP00000024759	ENSPTIG00000020754	Panthera_tigris_altaica
ENSCGRP00001022047	ENSCGRG00001020708	Cricetulus_griseus_CHOK1GS_HDv1
ENSPMJP00000024863	ENSPMJG00000018253	Parus_major
ENSPVAP00000012355	ENSPVAG00000013102	Pteropus_vampyrus
ENSAHAP00000025847	ENSAHAG00000018027	Apteryx_haastii
ENSMFAP00000006738	ENSMFAG00000040608	Macaca_fascicularis
ENSPNAP00000001001	ENSPNAG00000007869	Pygocentrus_nattereri
ENSCCAP00000016833	ENSCCAG00000026211	Cebus_capucinus_imitator
ENSPRNP00000037580	ENSPRNG00000018723	Parambassis_ranga
ENSCSEP00000003480	ENSCSEG00000002278	Cynoglossus_semilaevis
ENSMNEP00000012145	ENSMNEG00000030373	Macaca_nemestrina
ENSMICP00000027648	ENSMICG00000000168	Microcebus_murinus
ENSCCEP00000001306	ENSCCEG00000001561	Cyanistes_caeruleus
ENSSARP00000009194	ENSSARG00000010164	Sorex_araneus
ENSTNIP00000015284	ENSTNIG00000012316	Tetraodon_nigroviridis
ENSPSMP00000014192	ENSPSMG00000010186	Prolemur_simus
ENSCSAVP00000007513	ENSCSAVG00000004491	Ciona_savignyi
ENSAMXP00005004105	ENSAMXG00005002528	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
