ENSJHYP00000004871	ENSJHYG00000003978	Junco_hyemalis
ENSZALP00000015270	ENSZALG00000012387	Zonotrichia_albicollis
ENSSCAP00000005554	ENSSCAG00000004414	Serinus_canaria
ENSTGUP00000011827	ENSTGUG00000011444	Taeniopygia_guttata
ENSLSDP00000001898	ENSLSDG00000001498	Lonchura_striata_domestica
ENSFALP00000013645	ENSFALG00000013028	Ficedula_albicollis
ENSCCEP00000008852	ENSCCEG00000008687	Cyanistes_caeruleus
ENSPMJP00000009735	ENSPMJG00000007044	Parus_major
ENSMVIP00005022807	ENSMVIG00005016010	Manacus_vitellinus
ENSLCOP00000022938	ENSLCOG00000016115	Lepidothrix_coronata
ENSMUNP00000012076	ENSMUNG00000009516	Melopsittacus_undulatus
ENSCPGP00000004515	ENSCPGG00000003276	Calidris_pygmaea
ENSCPUP00000014743	ENSCPUG00000010322	Calidris_pugnax
ENSGALP00000004647	ENSGALG00000002944	Gallus_gallus
ENSCJPP00005017106	ENSCJPG00005013844	Coturnix_japonica
ENSMGAP00000003745	ENSMGAG00000003847	Meleagris_gallopavo
ENSNMEP00000021432	ENSNMEG00000018272	Numida_meleagris
ENSABRP00000024747	ENSABRG00000020606	Anser_brachyrhynchus
ENSAPLP00000002003	ENSAPLG00000002474	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000019688	ENSAHAG00000013892	Apteryx_haastii
ENSAOWP00000013001	ENSAOWG00000008870	Apteryx_owenii
ENSARWP00000004389	ENSARWG00000003211	Apteryx_rowi
ENSDNVP00000024398	ENSDNVG00000016945	Dromaius_novaehollandiae
ENSNPEP00000012363	ENSNPEG00000009246	Nothoprocta_perdicaria
ENSCPRP00005004274	ENSCPRG00005002612	Crocodylus_porosus
ENSCABP00000028603	ENSCABG00000020978	Chelonoidis_abingdonii
ENSGAGP00000029333	ENSGAGG00000021129	Gopherus_agassizii
ENSCPBP00000036636	ENSCPBG00000025379	Chrysemys_picta_bellii
ENSPSIP00000015094	ENSPSIG00000013508	Pelodiscus_sinensis
ENSPVIP00000003021	ENSPVIG00000002564	Pogona_vitticeps
ENSACAP00000010356	ENSACAG00000010170	Anolis_carolinensis
ENSNSUP00000005819	ENSNSUG00000004536	Notechis_scutatus
ENSSMRP00000026968	ENSSMRG00000020820	Salvator_merianae
ENSSPUP00000018235	ENSSPUG00000014058	Sphenodon_punctatus
ENSVURP00010004729	ENSVURG00010003725	Vombatus_ursinus	ENSVURT00010005368
ENSPCIP00000017615	ENSPCIG00000013468	Phascolarctos_cinereus	ENSPCIT00000021720
ENSMEUP00000008463	ENSMEUG00000009240	Notamacropus_eugenii	ENSMEUT00000009294
ENSSHAP00000020601	ENSSHAG00000017472	Sarcophilus_harrisii	ENSSHAT00000020766
ENSMODP00000045413	ENSMODG00000015793	Monodelphis_domestica	ENSMODT00000088109
ENSCHIP00000030166	ENSCHIG00000025029	Capra_hircus
ENSOARP00000020635	ENSOARG00000019210	Ovis_aries
ENSBIXP00000013555	ENSBIXG00000003205	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005024545	ENSBIXG00005027520	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000003552	ENSBMUG00000002799	Bos_mutus
ENSBTAP00000022158	ENSBTAG00000016662	Bos_taurus
ENSBBBP00000017780	ENSBBBG00000010353	Bison_bison_bison
ENSTTRP00000003412	ENSTTRG00000003637	Tursiops_truncatus
ENSSSCP00000051055	ENSSSCG00000016159	Sus_scrofa_strain_reference
ENSVPAP00000010644	ENSVPAG00000011424	Vicugna_pacos
ENSUMAP00000032327	ENSUMAG00000023263	Ursus_maritimus
ENSUAMP00000032792	ENSUAMG00000023860	Ursus_americanus
ENSAMEP00000005446	ENSAMEG00000005080	Ailuropoda_melanoleuca
ENSNVIP00000012021	ENSNVIG00000009449	Neovison_vison
ENSMPUP00000007851	ENSMPUG00000007909	Mustela_putorius_furo
ENSCAFP00000049536	ENSCAFG00000013966	Canis_lupus_familiaris
ENSCAFP00020035303	ENSCAFG00020027329	Canis_lupus_dingo
ENSVVUP00000012609	ENSVVUG00000009235	Vulpes_vulpes
ENSPPRP00000026575	ENSPPRG00000017782	Panthera_pardus
ENSPTIP00000014085	ENSPTIG00000013483	Panthera_tigris_altaica
ENSFCAP00000040255	ENSFCAG00000027460	Felis_catus
ENSECAP00000050225	ENSECAG00000028289	Equus_caballus
ENSEASP00005019517	ENSEASG00005013395	Equus_asinus_asinus
ENSPVAP00000008873	ENSPVAG00000009413	Pteropus_vampyrus
ENSMLUP00000013760	ENSMLUG00000015090	Myotis_lucifugus
ENSSARP00000005070	ENSSARG00000005521	Sorex_araneus
ENSEEUP00000007105	ENSEEUG00000007686	Erinaceus_europaeus
ENSPPAP00000028988	ENSPPAG00000037514	Pan_paniscus
ENSPTRP00000087073	ENSPTRG00000012881	Pan_troglodytes
ENSP00000402608	ENSG00000021826	Homo_sapiens
ENSGGOP00000017113	ENSGGOG00000028226	Gorilla_gorilla
ENSPPYP00000014680	ENSPPYG00000013137	Pongo_abelii
ENSNLEP00000027977	ENSNLEG00000007187	Nomascus_leucogenys
ENSCATP00000019026	ENSCATG00000033305	Cercocebus_atys
ENSMLEP00000029516	ENSMLEG00000038945	Mandrillus_leucophaeus
ENSPANP00000006651	ENSPANG00000008478	Papio_anubis
ENSTGEP00000007218	ENSTGEG00000005897	Theropithecus_gelada
ENSMFAP00000025124	ENSMFAG00000044079	Macaca_fascicularis
ENSMNEP00000023976	ENSMNEG00000035547	Macaca_nemestrina
ENSMMUP00000013775	ENSMMUG00000010508	Macaca_mulatta
ENSCSAP00000005753	ENSCSAG00000009759	Chlorocebus_sabaeus
ENSPTEP00000039023	ENSPTEG00000036161	Piliocolobus_tephrosceles
ENSCANP00000005757	ENSCANG00000017808	Colobus_angolensis_palliatus
ENSRROP00000016898	ENSRROG00000032509	Rhinopithecus_roxellana
