ENSLOCP00000015552	ENSLOCG00000012632	Lepisosteus_oculatus
ENSECRP00000013082	ENSECRG00000008744	Erpetoichthys_calabaricus
ENSCHAP00000060186	ENSCHAG00000026933	Clupea_harengus
ENSDCDP00000043171	ENSDCDG00000027596	Denticeps_clupeoides
ENSAMXP00000020873	ENSAMXG00000020262	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005023772	ENSAMXG00005012121	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000007444	ENSPNAG00000013267	Pygocentrus_nattereri
ENSEEEP00000045249	ENSEEEG00000021357	Electrophorus_electricus
ENSIPUP00000034838	ENSIPUG00000023409	Ictalurus_punctatus
ENSDARP00000089467	ENSDARG00000077818	Danio_rerio
ENSHHUP00000040146	ENSHHUG00000024801	Hucho_hucho
ENSHHUP00000059504	ENSHHUG00000035359	Hucho_hucho
ENSELUP00000023812	ENSELUG00000022713	Esox_lucius
ENSKMAP00000030024	ENSKMAG00000022193	Kryptolebias_marmoratus
ENSGWIP00000036059	ENSGWIG00000018622	Gouania_willdenowi
ENSBSLP00000057289	ENSBSLG00000026652	Betta_splendens
ENSTNIP00000012899	ENSTNIG00000010004	Tetraodon_nigroviridis
ENSTRUP00000043577	ENSTRUG00000017016	Takifugu_rubripes
ENSHCOP00000015867	ENSHCOG00000019891	Hippocampus_comes
ENSFHEP00000030644	ENSFHEG00000016058	Fundulus_heteroclitus
ENSCVAP00000011329	ENSCVAG00000013810	Cyprinodon_variegatus
ENSXMAP00000022067	ENSXMAG00000027575	Xiphophorus_maculatus
ENSXCOP00000022997	ENSXCOG00000017149	Xiphophorus_couchianus
ENSGAFP00000002518	ENSGAFG00000001738	Gambusia_affinis
ENSPLAP00000006384	ENSPLAG00000008521	Poecilia_latipinna
ENSPFOP00000019075	ENSPFOG00000018958	Poecilia_formosa
ENSPMEP00000001031	ENSPMEG00000001888	Poecilia_mexicana
ENSPREP00000028296	ENSPREG00000019119	Poecilia_reticulata
ENSORLP00000038210	ENSORLG00000006095	Oryzias_latipes_ASM223467v1
ENSORLP00015029853	ENSORLG00015013263	Oryzias_latipes_ASM223469v1
ENSORLP00020006780	ENSORLG00020007685	Oryzias_latipes_ASM223471v1
ENSOMEP00000018482	ENSOMEG00000020207	Oryzias_melastigma
ENSCSEP00000014648	ENSCSEG00000009409	Cynoglossus_semilaevis
ENSSLDP00000023470	ENSSLDG00000018318	Seriola_lalandi_dorsalis
ENSSDUP00000007104	ENSSDUG00000005225	Seriola_dumerili
ENSSMAP00000018888	ENSSMAG00000011327	Scophthalmus_maximus
ENSMALP00000020468	ENSMALG00000014273	Monopterus_albus
