ENSOCUP00000044210	ENSOCUG00000036265	Oryctolagus_cuniculus	ENSOCUT00000055333
ENSOARP00000000348	ENSOARG00000000361	Ovis_aries	ENSOART00000000376
ENSMODP00000045760	ENSMODG00000049159	Monodelphis_domestica	ENSMODT00000053393
ENSPTRP00000090350	ENSPTRG00000045972	Pan_troglodytes	ENSPTRT00000095090
ENSTBEP00000012744	ENSTBEG00000014682	Tupaia_belangeri	ENSTBET00000014687
ENSOPRP00000010584	ENSOPRG00000011595	Ochotona_princeps	ENSOPRT00000011601
ENSPVAP00000001561	ENSPVAG00000001656	Pteropus_vampyrus	ENSPVAT00000001655
ENSTTRP00000006466	ENSTTRG00000006838	Tursiops_truncatus	ENSTTRT00000006839
ENSAMEP00000011825	ENSAMEG00000011246	Ailuropoda_melanoleuca	ENSAMET00000012325
ENSEEUP00000001928	ENSEEUG00000002109	Erinaceus_europaeus	ENSEEUT00000002116
ENSPCAP00000009567	ENSPCAG00000010218	Procavia_capensis	ENSPCAT00000010250
ENSETEP00000015021	ENSETEG00000018480	Echinops_telfairi	ENSETET00000018479
ENSMEUP00000007244	ENSMEUG00000007919	Notamacropus_eugenii	ENSMEUT00000007953
