ENSETEP00000015734	ENSETEG00000019367	Echinops_telfairi
ENSJHYP00000011005	ENSJHYG00000008610	Junco_hyemalis
ENSXETP00000028802	ENSXETG00000008121	Xenopus_tropicalis
ENSPCOP00000027224	ENSPCOG00000026076	Propithecus_coquereli
ENSMICP00000008704	ENSMICG00000009563	Microcebus_murinus
ENSPSMP00000026650	ENSPSMG00000018702	Prolemur_simus
ENSOGAP00000011276	ENSOGAG00000012589	Otolemur_garnettii
ENSPPAP00000032131	ENSPPAG00000038958	Pan_paniscus
ENSPTRP00000017850	ENSPTRG00000010473	Pan_troglodytes
ENSGGOP00000001903	ENSGGOG00000001935	Gorilla_gorilla
ENSP00000377245	ENSG00000079999	Homo_sapiens
ENSPPYP00000010716	ENSPPYG00000009553	Pongo_abelii
ENSNLEP00000014865	ENSNLEG00000012241	Nomascus_leucogenys
ENSCANP00000037276	ENSCANG00000042310	Colobus_angolensis_palliatus
ENSPTEP00000035780	ENSPTEG00000033716	Piliocolobus_tephrosceles
ENSRROP00000034981	ENSRROG00000041020	Rhinopithecus_roxellana
ENSRBIP00000018462	ENSRBIG00000033212	Rhinopithecus_bieti
ENSCATP00000013134	ENSCATG00000030706	Cercocebus_atys
ENSMLEP00000025129	ENSMLEG00000036747	Mandrillus_leucophaeus
ENSMMUP00000066736	ENSMMUG00000005218	Macaca_mulatta
ENSMFAP00000025803	ENSMFAG00000044381	Macaca_fascicularis
ENSMNEP00000036269	ENSMNEG00000041263	Macaca_nemestrina
ENSTGEP00000031173	ENSTGEG00000024979	Theropithecus_gelada
ENSPANP00000009089	ENSPANG00000003566	Papio_anubis
ENSCSAP00000003384	ENSCSAG00000007107	Chlorocebus_sabaeus
ENSCJAP00000012371	ENSCJAG00000006677	Callithrix_jacchus
ENSCCAP00000020594	ENSCCAG00000028133	Cebus_capucinus_imitator
ENSSBOP00000019902	ENSSBOG00000026559	Saimiri_boliviensis_boliviensis
ENSANAP00000010260	ENSANAG00000023114	Aotus_nancymaae
ENSMLUP00000013790	ENSMLUG00000015137	Myotis_lucifugus
ENSPVAP00000003493	ENSPVAG00000003694	Pteropus_vampyrus
ENSSSCP00000056325	ENSSSCG00000023667	Sus_scrofa_strain_reference
ENSVPAP00000003770	ENSVPAG00000004060	Vicugna_pacos
ENSBIXP00000026009	ENSBIXG00000028096	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005043288	ENSBIXG00005026956	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000004604	ENSBTAG00000003543	Bos_taurus
ENSBMUP00000018222	ENSBMUG00000013793	Bos_mutus
ENSBBBP00000021970	ENSBBBG00000003432	Bison_bison_bison
ENSOARP00000017538	ENSOARG00000016335	Ovis_aries
ENSCHIP00000009131	ENSCHIG00000012093	Capra_hircus
ENSTTRP00000007580	ENSTTRG00000008011	Tursiops_truncatus
ENSUAMP00000023800	ENSUAMG00000018620	Ursus_americanus
ENSUMAP00000034870	ENSUMAG00000025092	Ursus_maritimus
ENSAMEP00000012040	ENSAMEG00000011445	Ailuropoda_melanoleuca
ENSNVIP00000031308	ENSNVIG00000024081	Neovison_vison
ENSMPUP00000006611	ENSMPUG00000006665	Mustela_putorius_furo
ENSCAFP00020031363	ENSCAFG00020024476	Canis_lupus_dingo
ENSCAFP00000026217	ENSCAFG00000017784	Canis_lupus_familiaris
ENSVVUP00000023670	ENSVVUG00000017341	Vulpes_vulpes
ENSPPRP00000002921	ENSPPRG00000023110	Panthera_pardus
ENSPTIP00000005983	ENSPTIG00000008038	Panthera_tigris_altaica
ENSFCAP00000011613	ENSFCAG00000012518	Felis_catus
ENSLAFP00000015010	ENSLAFG00000017907	Loxodonta_africana
ENSPCAP00000013186	ENSPCAG00000014140	Procavia_capensis
ENSCHOP00000008138	ENSCHOG00000009196	Choloepus_hoffmanni
ENSSTOP00000009067	ENSSTOG00000010114	Ictidomys_tridecemlineatus
ENSUPAP00010002353	ENSUPAG00010001991	Urocitellus_parryii
ENSSDAP00000006251	ENSSDAG00000005751	Spermophilus_dauricus
ENSMMMP00000021549	ENSMMMG00000018969	Marmota_marmota_marmota
ENSTBEP00000008638	ENSTBEG00000009989	Tupaia_belangeri
ENSTSYP00000025072	ENSTSYG00000034829	Carlito_syrichta
ENSEEUP00000012512	ENSEEUG00000013742	Erinaceus_europaeus
ENSEASP00005015036	ENSEASG00005010513	Equus_asinus_asinus
ENSECAP00000018058	ENSECAG00000020533	Equus_caballus
ENSSARP00000001941	ENSSARG00000002161	Sorex_araneus
ENSOPRP00000006910	ENSOPRG00000007559	Ochotona_princeps
ENSOCUP00000044015	ENSOCUG00000001435	Oryctolagus_cuniculus
ENSHGLP00000021299	ENSHGLG00000015222	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100023324	ENSHGLG00100017139	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001160	ENSFDAG00000011225	Fukomys_damarensis
