ENSCGOP00000043602	ENSCGOG00000019647	Cottoperca_gobio
ENSGACP00000001258	ENSGACG00000000975	Gasterosteus_aculeatus
ENSPRNP00000040952	ENSPRNG00000020103	Parambassis_ranga
ENSMALP00000012965	ENSMALG00000009183	Monopterus_albus
ENSBSLP00000000909	ENSBSLG00000000708	Betta_splendens
ENSCSEP00000012041	ENSCSEG00000007764	Cynoglossus_semilaevis
ENSHCOP00000010795	ENSHCOG00000013471	Hippocampus_comes
ENSCVAP00000008663	ENSCVAG00000010519	Cyprinodon_variegatus
ENSFHEP00000016116	ENSFHEG00000017785	Fundulus_heteroclitus
ENSXMAP00000038212	ENSXMAG00000027893	Xiphophorus_maculatus
ENSXCOP00000011191	ENSXCOG00000008464	Xiphophorus_couchianus
ENSPFOP00000000356	ENSPFOG00000000412	Poecilia_formosa
ENSPLAP00000002798	ENSPLAG00000004166	Poecilia_latipinna
ENSGAFP00000000658	ENSGAFG00000000505	Gambusia_affinis
ENSKMAP00000017357	ENSKMAG00000012941	Kryptolebias_marmoratus
ENSOMEP00000027207	ENSOMEG00000009522	Oryzias_melastigma
ENSGWIP00000045727	ENSGWIG00000022630	Gouania_willdenowi
ENSMMOP00000007458	ENSMMOG00000005814	Mola_mola
ENSACLP00000010497	ENSACLG00000007172	Astatotilapia_calliptera
ENSMZEP00005020900	ENSMZEG00005015689	Maylandia_zebra
ENSHBUP00000026103	ENSHBUG00000008543	Haplochromis_burtoni
ENSNBRP00000021738	ENSNBRG00000016678	Neolamprologus_brichardi
ENSPNYP00000007710	ENSPNYG00000005905	Pundamilia_nyererei
ENSONIP00000019037	ENSONIG00000015127	Oreochromis_niloticus
ENSACIP00000029691	ENSACIG00000022990	Amphilophus_citrinellus
ENSAOCP00000025940	ENSAOCG00000013892	Amphiprion_ocellaris
ENSAPEP00000013925	ENSAPEG00000009936	Amphiprion_percula
ENSAPOP00000018445	ENSAPOG00000021803	Acanthochromis_polyacanthus
ENSLCAP00010004075	ENSLCAG00010002076	Lates_calcarifer
ENSLCAP00010040643	ENSLCAG00010018994	Lates_calcarifer
ENSLCAP00010049640	ENSLCAG00010023110	Lates_calcarifer
ENSLCAP00010038506	ENSLCAG00010018028	Lates_calcarifer
ENSSDUP00000002738	ENSSDUG00000002119	Seriola_dumerili
ENSSLDP00000028147	ENSSLDG00000021801	Seriola_lalandi_dorsalis
ENSSMAP00000007023	ENSSMAG00000004329	Scophthalmus_maximus
ENSMAMP00000032345	ENSMAMG00000021749	Mastacembelus_armatus
ENSATEP00000025986	ENSATEG00000017996	Anabas_testudineus
ENSLCRP00005023689	ENSLCRG00005009532	Larimichthys_crocea
ENSLBEP00000014641	ENSLBEG00000011420	Labrus_bergylta
ENSTNIP00000022141	ENSTNIG00000018953	Tetraodon_nigroviridis
ENSTRUP00000010400	ENSTRUG00000004376	Takifugu_rubripes
ENSPMGP00000017534	ENSPMGG00000014353	Periophthalmus_magnuspinnatus
ENSGMOP00000017527	ENSGMOG00000016354	Gadus_morhua
ENSHHUP00000057194	ENSHHUG00000034119	Hucho_hucho
ENSHHUP00000033925	ENSHHUG00000021395	Hucho_hucho
ENSELUP00000024750	ENSELUG00000023505	Esox_lucius
ENSAMXP00000037228	ENSAMXG00000042250	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005045281	ENSAMXG00005020966	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001681	ENSPNAG00000000880	Pygocentrus_nattereri
ENSEEEP00000015384	ENSEEEG00000007639	Electrophorus_electricus
ENSIPUP00000037260	ENSIPUG00000024937	Ictalurus_punctatus
ENSDARP00000102467	ENSDARG00000076373	Danio_rerio
ENSDCDP00000057788	ENSDCDG00000033678	Denticeps_clupeoides
