ENSMUSP00000127452	ENSMUSG00000090625	Mus_musculus_strain_reference_(CL57BL6)
ENSSDAP00000019848	ENSSDAG00000018091	Spermophilus_dauricus
MGP_PahariEiJ_P0067507	MGP_PahariEiJ_G0026199	Mus_pahari_strain_PAHARI_EIJ
ENSPTIP00000017415	ENSPTIG00000015863	Panthera_tigris_altaica
ENSPEMP00000013236	ENSPEMG00000013336	Peromyscus_maniculatus_bairdii
ENSCABP00000022167	ENSCABG00000016328	Chelonoidis_abingdonii
ENSMSIP00000032559	ENSMSIG00000027279	Mus_spicilegus
ENSHGLP00000008269	ENSHGLG00000005981	Heterocephalus_glaber_HetGla_female_1.0
ENSCPOP00000023438	ENSCPOG00000030649	Cavia_porcellus
ENSMOCP00000000354	ENSMOCG00000000293	Microtus_ochrogaster
ENSDORP00000019474	ENSDORG00000028088	Dipodomys_ordii
ENSPSMP00000034966	ENSPSMG00000024100	Prolemur_simus
ENSNVIP00000028450	ENSNVIG00000021954	Neovison_vison
ENSCCAP00000020507	ENSCCAG00000028098	Cebus_capucinus_imitator	ENSCCAT00000037996
ENSMAUP00000015025	ENSMAUG00000014610	Mesocricetus_auratus
ENSBBBP00000027808	ENSBBBG00000008650	Bison_bison_bison
ENSCAPP00000005764	ENSCAPG00000008018	Cavia_aperea
ENSSFOP00015027358	ENSSFOG00015017564	Scleropages_formosus
ENSOCUP00000044902	ENSOCUG00000032342	Oryctolagus_cuniculus
ENSBIXP00005039752	ENSBIXG00005022205	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSECAP00000044497	ENSECAG00000040282	Equus_caballus
ENSJJAP00000016351	ENSJJAG00000018225	Jaculus_jaculus
ENSSSCP00000029873	ENSSSCG00000032457	Sus_scrofa_strain_reference
ENSEBUP00000009972	ENSEBUG00000006401	Eptatretus_burgeri
ENSVVUP00000023014	ENSVVUG00000016833	Vulpes_vulpes
ENSMUGP00000019180	ENSMUGG00000016245	Meriones_unguiculatus
ENSEASP00005033999	ENSEASG00005023240	Equus_asinus_asinus
ENSUPAP00010015558	ENSUPAG00010012443	Urocitellus_parryii
ENSUMAP00000002584	ENSUMAG00000002284	Ursus_maritimus
ENSCHAP00000059592	ENSCHAG00000026723	Clupea_harengus	ENSCHAT00000064170
ENSFDAP00000001311	ENSFDAG00000011320	Fukomys_damarensis
ENSCGRP00015019340	ENSCGRG00015014846	Cricetulus_griseus_CriGri-PICR
ENSPPRP00000008793	ENSPPRG00000003473	Panthera_pardus
ENSBTAP00000023234	ENSBTAG00000017475	Bos_taurus
ENSODEP00000000361	ENSODEG00000000317	Octodon_degus
ENSMMMP00000015066	ENSMMMG00000013417	Marmota_marmota_marmota
ENSCAFP00020028099	ENSCAFG00020022047	Canis_lupus_dingo
ENSPKIP00000023535	ENSPKIG00000007119	Paramormyrops_kingsleyae	ENSPKIT00000004222
ENSSTOP00000016923	ENSSTOG00000026582	Ictidomys_tridecemlineatus
ENSCCNP00000019472	ENSCCNG00000019559	Castor_canadensis
ENSCJAP00000066259	ENSCJAG00000059175	Callithrix_jacchus
ENSCLAP00000010084	ENSCLAG00000006989	Chinchilla_lanigera
ENSMICP00000018006	ENSMICG00000029253	Microcebus_murinus
MGP_CAROLIEiJ_P0056520	MGP_CAROLIEiJ_G0024757	Mus_caroli_strain_CAROLI_EIJ
ENSBIXP00000037026	ENSBIXG00000020543	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCHIP00000011764	ENSCHIG00000013806	Capra_hircus
ENSFCAP00000025981	ENSFCAG00000037901	Felis_catus
MGP_SPRETEiJ_P0058704	MGP_SPRETEiJ_G0025678	Mus_spretus_strain_SPRET/EiJ
