ENSAHAP00000025784	ENSAHAG00000017990	Apteryx_haastii
ENSPPYP00000008028	ENSPPYG00000007099	Pongo_abelii
ENSJJAP00000001629	ENSJJAG00000002198	Jaculus_jaculus
ENSGACP00000018945	ENSGACG00000014361	Gasterosteus_aculeatus	ENSGACT00000018983
ENSPMGP00000015001	ENSPMGG00000012297	Periophthalmus_magnuspinnatus
ENSPVIP00000018309	ENSPVIG00000013994	Pogona_vitticeps
ENSHHUP00000015011	ENSHHUG00000009309	Hucho_hucho
ENSSFOP00015022101	ENSSFOG00015014200	Scleropages_formosus
ENSCATP00000002377	ENSCATG00000010419	Cercocebus_atys
ENSAMXP00000026477	ENSAMXG00000025772	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000026498
ENSSBOP00000005568	ENSSBOG00000019660	Saimiri_boliviensis_boliviensis
ENSBTAP00000005753	ENSBTAG00000004386	Bos_taurus
ENSSLDP00000021843	ENSSLDG00000017058	Seriola_lalandi_dorsalis
ENSSPUP00000004306	ENSSPUG00000003338	Sphenodon_punctatus
ENSMPUP00000019917	ENSMPUG00000020049	Mustela_putorius_furo
ENSLACP00000009341	ENSLACG00000008241	Latimeria_chalumnae
ENSLSDP00000001516	ENSLSDG00000001195	Lonchura_striata_domestica
ENSBIXP00005007188	ENSBIXG00005012476	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSDCDP00000006521	ENSDCDG00000003410	Denticeps_clupeoides
ENSDARP00000055536	ENSDARG00000038095	Danio_rerio	ENSDART00000055537
ENSORLP00015020928	ENSORLG00015022114	Oryzias_latipes_ASM223469v1
ENSNBRP00000008849	ENSNBRG00000006919	Neolamprologus_brichardi
ENSMICP00000050065	ENSMICG00000047224	Microcebus_murinus
ENSPKIP00000032653	ENSPKIG00000012662	Paramormyrops_kingsleyae
ENSXETP00000053531	ENSXETG00000020494	Xenopus_tropicalis
ENSORLP00020027834	ENSORLG00020010979	Oryzias_latipes_ASM223471v1
ENSRROP00000001713	ENSRROG00000006896	Rhinopithecus_roxellana
ENSPCOP00000004052	ENSPCOG00000012062	Propithecus_coquereli
ENSCCAP00000004801	ENSCCAG00000020012	Cebus_capucinus_imitator
ENSABRP00000009828	ENSABRG00000008805	Anser_brachyrhynchus
ENSPRNP00000011787	ENSPRNG00000006641	Parambassis_ranga
ENSHGLP00000024029	ENSHGLG00000017126	Heterocephalus_glaber_HetGla_female_1.0
ENSMSIP00000009527	ENSMSIG00000008393	Mus_spicilegus
ENSVPAP00000003288	ENSVPAG00000003550	Vicugna_pacos
ENSPSIP00000019315	ENSPSIG00000017159	Pelodiscus_sinensis
MGP_PahariEiJ_P0027753	MGP_PahariEiJ_G0016154	Mus_pahari_strain_PAHARI_EIJ
ENSPEMP00000011845	ENSPEMG00000012362	Peromyscus_maniculatus_bairdii
ENSODEP00000016489	ENSODEG00000012143	Octodon_degus
ENSECRP00000016322	ENSECRG00000010883	Erpetoichthys_calabaricus
ENSCPOP00000019221	ENSCPOG00000009175	Cavia_porcellus
ENSKMAP00000024148	ENSKMAG00000017919	Kryptolebias_marmoratus	ENSKMAT00000024453
ENSNSUP00000000187	ENSNSUG00000000214	Notechis_scutatus
ENSATEP00000005215	ENSATEG00000003694	Anabas_testudineus
ENSLCRP00005029044	ENSLCRG00005011506	Larimichthys_crocea
ENSMVIP00005007109	ENSMVIG00005005349	Manacus_vitellinus
ENSAPEP00000018939	ENSAPEG00000013533	Amphiprion_percula
ENSAOWP00000004102	ENSAOWG00000002866	Apteryx_owenii
ENSCMIP00000019986	ENSCMIG00000009266	Callorhinchus_milii
ENSUAMP00000026985	ENSUAMG00000020850	Ursus_americanus
ENSCGRP00015011437	ENSCGRG00015008806	Cricetulus_griseus_CriGri-PICR
ENSGALP00000011581	ENSGALG00000007158	Gallus_gallus
ENSLAFP00000026943	ENSLAFG00000027540	Loxodonta_africana
ENSPTEP00000022729	ENSPTEG00000023610	Piliocolobus_tephrosceles
ENSNVIP00000028236	ENSNVIG00000021815	Neovison_vison
ENSMZEP00005010458	ENSMZEG00005007882	Maylandia_zebra
ENSLCAP00010005783	ENSLCAG00010002864	Lates_calcarifer
ENSCAFP00000027899	ENSCAFG00000018916	Canis_lupus_familiaris
ENSMMUP00000014368	ENSMMUG00000010956	Macaca_mulatta
ENSACIP00000022238	ENSACIG00000017291	Amphilophus_citrinellus
