ENSHHUP00000000017	ENSHHUG00000000019	Hucho_hucho
ENSELUP00000014135	ENSELUG00000014178	Esox_lucius
ENSSDUP00000030981	ENSSDUG00000022301	Seriola_dumerili
ENSLCAP00010036674	ENSLCAG00010017180	Lates_calcarifer
ENSCSEP00000029697	ENSCSEG00000019025	Cynoglossus_semilaevis
ENSBSLP00000026402	ENSBSLG00000013154	Betta_splendens
ENSHBUP00000010789	ENSHBUG00000012345	Haplochromis_burtoni
ENSACLP00000030885	ENSACLG00000020841	Astatotilapia_calliptera
ENSAOCP00000028318	ENSAOCG00000017847	Amphiprion_ocellaris
ENSLCRP00005060571	ENSLCRG00005022378	Larimichthys_crocea
ENSTRUP00000054332	ENSTRUG00000019865	Takifugu_rubripes
ENSPREP00000010006	ENSPREG00000006808	Poecilia_reticulata
ENSGAFP00000024842	ENSGAFG00000016764	Gambusia_affinis
ENSFHEP00000022821	ENSFHEG00000003453	Fundulus_heteroclitus
ENSORLP00000033921	ENSORLG00000030010	Oryzias_latipes_ASM223467v1
ENSPKIP00000009777	ENSPKIG00000024746	Paramormyrops_kingsleyae
ENSGALP00000051021	ENSGALG00000035136	Gallus_gallus
ENSCJPP00005001594	ENSCJPG00005001625	Coturnix_japonica
ENSAPLP00000019653	ENSAPLG00000017936	Anas_platyrhynchos_platyrhynchos
ENSCCEP00000015354	ENSCCEG00000014560	Cyanistes_caeruleus
ENSPMJP00000006229	ENSPMJG00000005283	Parus_major
ENSMVIP00005028334	ENSMVIG00005019736	Manacus_vitellinus
ENSCPGP00000017332	ENSCPGG00000012167	Calidris_pygmaea
ENSCPRP00005021675	ENSCPRG00005015075	Crocodylus_porosus
ENSCPBP00000011592	ENSCPBG00000008820	Chrysemys_picta_bellii
ENSACAP00000012391	ENSACAG00000012617	Anolis_carolinensis
ENSNSUP00000010429	ENSNSUG00000007913	Notechis_scutatus
ENSSMRP00000026860	ENSSMRG00000020733	Salvator_merianae
ENSLAFP00000000693	ENSLAFG00000000828	Loxodonta_africana
ENSPCAP00000002633	ENSPCAG00000002733	Procavia_capensis
ENSETEP00000005705	ENSETEG00000007024	Echinops_telfairi
ENSCHOP00000004476	ENSCHOG00000005040	Choloepus_hoffmanni
ENSDNOP00000007361	ENSDNOG00000009465	Dasypus_novemcinctus
ENSPTRP00000036314	ENSPTRG00000021260	Pan_troglodytes
ENSPPAP00000027503	ENSPPAG00000036816	Pan_paniscus
ENSP00000363405	ENSG00000165181	Homo_sapiens
ENSGGOP00000000900	ENSGGOG00000000911	Gorilla_gorilla
ENSPPYP00000021848	ENSPPYG00000019501	Pongo_abelii
ENSNLEP00000019945	ENSNLEG00000016401	Nomascus_leucogenys
ENSPTEP00000033520	ENSPTEG00000031979	Piliocolobus_tephrosceles
ENSCANP00000036249	ENSCANG00000041819	Colobus_angolensis_palliatus
ENSRROP00000035842	ENSRROG00000041391	Rhinopithecus_roxellana
ENSRBIP00000018986	ENSRBIG00000033439	Rhinopithecus_bieti
ENSTGEP00000036083	ENSTGEG00000028707	Theropithecus_gelada
ENSPANP00000018985	ENSPANG00000025760	Papio_anubis
ENSCATP00000002931	ENSCATG00000011915	Cercocebus_atys
ENSMLEP00000010792	ENSMLEG00000029546	Mandrillus_leucophaeus
ENSMFAP00000041960	ENSMFAG00000039780	Macaca_fascicularis
ENSMMUP00000030682	ENSMMUG00000023307	Macaca_mulatta
ENSMNEP00000025564	ENSMNEG00000036257	Macaca_nemestrina
ENSCSAP00000008401	ENSCSAG00000012286	Chlorocebus_sabaeus
ENSCCAP00000030209	ENSCCAG00000033144	Cebus_capucinus_imitator
ENSCJAP00000032512	ENSCJAG00000017593	Callithrix_jacchus
ENSSBOP00000019319	ENSSBOG00000026220	Saimiri_boliviensis_boliviensis
ENSTSYP00000008757	ENSTSYG00000009538	Carlito_syrichta
ENSMICP00000035698	ENSMICG00000030600	Microcebus_murinus
ENSPCOP00000030812	ENSPCOG00000028148	Propithecus_coquereli
ENSPSMP00000012701	ENSPSMG00000009159	Prolemur_simus
ENSOGAP00000009979	ENSOGAG00000011149	Otolemur_garnettii
ENSTBEP00000012678	ENSTBEG00000014567	Tupaia_belangeri
ENSCLAP00000021015	ENSCLAG00000014399	Chinchilla_lanigera
ENSODEP00000000122	ENSODEG00000000113	Octodon_degus
ENSCPOP00000008340	ENSCPOG00000009291	Cavia_porcellus
ENSHGLP00100013104	ENSHGLG00100009704	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000021319	ENSHGLG00000015236	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000006355	ENSFDAG00000015135	Fukomys_damarensis
ENSUPAP00010011761	ENSUPAG00010009483	Urocitellus_parryii
