ENSMVIP00005004214	ENSMVIG00005003252	Manacus_vitellinus	ENSMVIT00005004833
ENSLCOP00000003192	ENSLCOG00000002420	Lepidothrix_coronata	ENSLCOT00000003396
ENSTGUP00000014420	ENSTGUG00000014028	Taeniopygia_guttata
ENSJHYP00000006833	ENSJHYG00000005488	Junco_hyemalis	ENSJHYT00000008336
ENSCCEP00000002112	ENSCCEG00000002424	Cyanistes_caeruleus
ENSCCEP00000005243	ENSCCEG00000005783	Cyanistes_caeruleus
ENSPMJP00000001636	ENSPMJG00000001342	Parus_major
ENSJHYP00000006825	ENSJHYG00000005478	Junco_hyemalis
ENSLSDP00000011504	ENSLSDG00000008456	Lonchura_striata_domestica
ENSAPLP00000021527	ENSAPLG00000023211	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000005469	ENSAOWG00000003768	Apteryx_owenii
ENSAHAP00000015516	ENSAHAG00000011112	Apteryx_haastii
ENSARWP00000022958	ENSARWG00000015648	Apteryx_rowi
ENSDNVP00000001293	ENSDNVG00000000933	Dromaius_novaehollandiae
ENSNPEP00000002942	ENSNPEG00000002265	Nothoprocta_perdicaria
ENSCPGP00000011753	ENSCPGG00000008383	Calidris_pygmaea
ENSCPUP00000022721	ENSCPUG00000015432	Calidris_pugnax
ENSMUNP00000012775	ENSMUNG00000009995	Melopsittacus_undulatus
ENSABRP00000003476	ENSABRG00000003275	Anser_brachyrhynchus
ENSAPLP00000016325	ENSAPLG00000016423	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000004252	ENSMGAG00000004446	Meleagris_gallopavo
ENSCJPP00005013220	ENSCJPG00005011171	Coturnix_japonica
ENSGALP00000057773	ENSGALG00000037261	Gallus_gallus
ENSNMEP00000002909	ENSNMEG00000003499	Numida_meleagris
ENSCPRP00005022500	ENSCPRG00005015684	Crocodylus_porosus
ENSGAGP00000001505	ENSGAGG00000001205	Gopherus_agassizii
ENSCABP00000006473	ENSCABG00000004891	Chelonoidis_abingdonii
ENSCPBP00000016971	ENSCPBG00000012464	Chrysemys_picta_bellii
ENSPSIP00000019961	ENSPSIG00000017645	Pelodiscus_sinensis
ENSSPUP00000010333	ENSSPUG00000007991	Sphenodon_punctatus
ENSMUSP00000148739	ENSMUSG00000036120	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0088193	MGP_SPRETEiJ_G0032248	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000038453	ENSMSIG00000032044	Mus_spicilegus
MGP_CAROLIEiJ_P0084693	MGP_CAROLIEiJ_G0031130	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0047572	MGP_PahariEiJ_G0021595	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000041190	ENSRNOG00000033318	Rattus_norvegicus
ENSMUGP00000015348	ENSMUGG00000013227	Meriones_unguiculatus
ENSCGRP00001001017	ENSCGRG00001000782	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015034380	ENSCGRG00015025879	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000015362	ENSCGRG00000011145	Cricetulus_griseus_CriGri_1.0
