ENSOPRP00000011171	ENSOPRG00000012247	Ochotona_princeps
ENSRNOP00000071863	ENSRNOG00000057716	Rattus_norvegicus
ENSRBIP00000025646	ENSRBIG00000036701	Rhinopithecus_bieti
ENSRROP00000041536	ENSRROG00000043957	Rhinopithecus_roxellana
ENSPPAP00000013985	ENSPPAG00000030146	Pan_paniscus
ENSTSYP00000005092	ENSTSYG00000005583	Carlito_syrichta
ENSMLEP00000012970	ENSMLEG00000030660	Mandrillus_leucophaeus
ENSOGAP00000011230	ENSOGAG00000012538	Otolemur_garnettii
ENSODEP00000006661	ENSODEG00000004979	Octodon_degus
ENSVVUP00000026650	ENSVVUG00000019575	Vulpes_vulpes
ENSCAFP00020000699	ENSCAFG00020000702	Canis_lupus_dingo
ENSMPUP00000011445	ENSMPUG00000011536	Mustela_putorius_furo
ENSAMEP00000007602	ENSAMEG00000007230	Ailuropoda_melanoleuca
ENSUMAP00000028317	ENSUMAG00000020569	Ursus_maritimus
ENSPTIP00000005528	ENSPTIG00000007722	Panthera_tigris_altaica
ENSCHIP00000007682	ENSCHIG00000011097	Capra_hircus
ENSMLUP00000008130	ENSMLUG00000008926	Myotis_lucifugus
ENSDORP00000015676	ENSDORG00000016664	Dipodomys_ordii
ENSETEP00000014427	ENSETEG00000017757	Echinops_telfairi
ENSPCAP00000014485	ENSPCAG00000015521	Procavia_capensis
ENSEEUP00000001062	ENSEEUG00000001186	Erinaceus_europaeus
ENSSARP00000001583	ENSSARG00000001750	Sorex_araneus
ENSECAP00000000075	ENSECAG00000000120	Equus_caballus
ENSBIXP00000029457	ENSBIXG00000011096	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005031887	ENSBIXG00005012336	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000014343	ENSBMUG00000010921	Bos_mutus
ENSBBBP00000013072	ENSBBBG00000020719	Bison_bison_bison
ENSTBEP00000007304	ENSTBEG00000008431	Tupaia_belangeri
ENSJJAP00000015563	ENSJJAG00000017689	Jaculus_jaculus
ENSLAFP00000011422	ENSLAFG00000013651	Loxodonta_africana
ENSPCOP00000009549	ENSPCOG00000016153	Propithecus_coquereli
ENSPSMP00000008904	ENSPSMG00000006521	Prolemur_simus
ENSMICP00000035490	ENSMICG00000001439	Microcebus_murinus
ENSPTRP00000034255	ENSPTRG00000020011	Pan_troglodytes
ENSP00000371512	ENSG00000185053	Homo_sapiens
ENSGGOP00000000135	ENSGGOG00000000135	Gorilla_gorilla
ENSPPYP00000020589	ENSPPYG00000018378	Pongo_abelii
ENSNLEP00000002574	ENSNLEG00000002145	Nomascus_leucogenys
ENSCANP00000012220	ENSCANG00000029487	Colobus_angolensis_palliatus
ENSPTEP00000018803	ENSPTEG00000020206	Piliocolobus_tephrosceles
ENSPANP00000018396	ENSPANG00000019102	Papio_anubis
ENSCATP00000003882	ENSCATG00000014505	Cercocebus_atys
ENSMFAP00000039252	ENSMFAG00000035466	Macaca_fascicularis
ENSMMUP00000008828	ENSMMUG00000006710	Macaca_mulatta
ENSMNEP00000043046	ENSMNEG00000044231	Macaca_nemestrina
ENSTGEP00000023873	ENSTGEG00000019298	Theropithecus_gelada
ENSCCAP00000020135	ENSCCAG00000027911	Cebus_capucinus_imitator
ENSSBOP00000022336	ENSSBOG00000027696	Saimiri_boliviensis_boliviensis
ENSCJAP00000022026	ENSCJAG00000011991	Callithrix_jacchus
ENSANAP00000013705	ENSANAG00000024764	Aotus_nancymaae
ENSMMMP00000010046	ENSMMMG00000008952	Marmota_marmota_marmota
ENSSTOP00000010613	ENSSTOG00000011832	Ictidomys_tridecemlineatus
ENSOARP00000010385	ENSOARG00000009684	Ovis_aries
ENSOARP00000004452	ENSOARG00000004169	Ovis_aries
ENSSSCP00000034881	ENSSSCG00000038257	Sus_scrofa_strain_reference
ENSTTRP00000012732	ENSTTRG00000013418	Tursiops_truncatus
ENSMOCP00000009399	ENSMOCG00000009551	Microtus_ochrogaster
ENSNGAP00000003198	ENSNGAG00000003486	Nannospalax_galili
ENSMUSP00000113912	ENSMUSG00000039539	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0084214	MGP_CAROLIEiJ_G0030988	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000013110	ENSMSIG00000011354	Mus_spicilegus
MGP_SPRETEiJ_P0087691	MGP_SPRETEiJ_G0032104	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0047111	MGP_PahariEiJ_G0021456	Mus_pahari_strain_PAHARI_EIJ
ENSCPOP00000002424	ENSCPOG00000002669	Cavia_porcellus
ENSCAPP00000012578	ENSCAPG00000013406	Cavia_aperea
ENSCLAP00000002288	ENSCLAG00000001655	Chinchilla_lanigera
ENSHGLP00000005243	ENSHGLG00000003835	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001435	ENSHGLG00100001133	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016743	ENSFDAG00000005379	Fukomys_damarensis
ENSCGRP00001010448	ENSCGRG00001012345	Cricetulus_griseus_CHOK1GS_HDv1
