ENSUAMP00000021566	ENSUAMG00000016935	Ursus_americanus
ENSAMEP00000018474	ENSAMEG00000017476	Ailuropoda_melanoleuca
ENSNVIP00000020895	ENSNVIG00000016345	Neovison_vison
ENSCAFP00020012167	ENSCAFG00020009784	Canis_lupus_dingo
ENSCAFP00000066753	ENSCAFG00000005859	Canis_lupus_familiaris
ENSPPRP00000017985	ENSPPRG00000009805	Panthera_pardus
ENSFCAP00000024392	ENSFCAG00000029560	Felis_catus
ENSECAP00000007958	ENSECAG00000009583	Equus_caballus
ENSEASP00005008005	ENSEASG00005005814	Equus_asinus_asinus
ENSMLUP00000017209	ENSMLUG00000029371	Myotis_lucifugus
ENSPVAP00000016853	ENSPVAG00000017864	Pteropus_vampyrus
ENSSSCP00000068719	ENSSSCG00000039148	Sus_scrofa_strain_reference
ENSCHIP00000032640	ENSCHIG00000026541	Capra_hircus
ENSOARP00000019364	ENSOARG00000018038	Ovis_aries
ENSBIXP00000008847	ENSBIXG00000014584	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000007943	ENSBTAG00000006045	Bos_taurus
ENSBIXP00005010458	ENSBIXG00005002214	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000035512	ENSBMUG00000026384	Bos_mutus
ENSBBBP00000007671	ENSBBBG00000015684	Bison_bison_bison
ENSTTRP00000011641	ENSTTRG00000012273	Tursiops_truncatus
ENSPTIP00000001884	ENSPTIG00000004821	Panthera_tigris_altaica
ENSPCOP00000014115	ENSPCOG00000018728	Propithecus_coquereli
ENSPSMP00000019105	ENSPSMG00000013354	Prolemur_simus
ENSMICP00000001042	ENSMICG00000001144	Microcebus_murinus
ENSTSYP00000018394	ENSTSYG00000008025	Carlito_syrichta
ENSOGAP00000002121	ENSOGAG00000002373	Otolemur_garnettii
ENSTBEP00000001793	ENSTBEG00000002061	Tupaia_belangeri
ENSPTRP00000016636	ENSPTRG00000009772	Pan_troglodytes	ENSPTRT00000017954
ENSPPAP00000024772	ENSPPAG00000035479	Pan_paniscus	ENSPPAT00000047597
ENSP00000327801	ENSG00000185624	Homo_sapiens	ENST00000331483
ENSGGOP00000025425	ENSGGOG00000023842	Gorilla_gorilla
ENSPPYP00000009818	ENSPPYG00000008747	Pongo_abelii
ENSNLEP00000036034	ENSNLEG00000010292	Nomascus_leucogenys
ENSMFAP00000038843	ENSMFAG00000038741	Macaca_fascicularis
ENSMMUP00000060778	ENSMMUG00000009242	Macaca_mulatta
ENSMNEP00000037689	ENSMNEG00000041915	Macaca_nemestrina
ENSCATP00000031466	ENSCATG00000038858	Cercocebus_atys
