ENSEBUP00000012486	ENSEBUG00000007941	Eptatretus_burgeri
ENSPMAP00000009561	ENSPMAG00000008680	Petromyzon_marinus
ENSPVIP00000007454	ENSPVIG00000006083	Pogona_vitticeps
ENSACAP00000002413	ENSACAG00000002495	Anolis_carolinensis
ENSNSUP00000021247	ENSNSUG00000015433	Notechis_scutatus
ENSSMRP00000028508	ENSSMRG00000021902	Salvator_merianae
ENSSPUP00000014014	ENSSPUG00000010800	Sphenodon_punctatus
ENSCPGP00000010415	ENSCPGG00000007417	Calidris_pygmaea
ENSCPUP00000020461	ENSCPUG00000013996	Calidris_pugnax
ENSMUNP00000011431	ENSMUNG00000008992	Melopsittacus_undulatus
ENSGALP00000043993	ENSGALG00000006806	Gallus_gallus
ENSCJPP00005011387	ENSCJPG00005009711	Coturnix_japonica
ENSNMEP00000013574	ENSNMEG00000012355	Numida_meleagris
ENSMGAP00000002310	ENSMGAG00000002682	Meleagris_gallopavo
ENSAOWP00000000359	ENSAOWG00000000294	Apteryx_owenii	ENSAOWT00000000423
ENSARWP00000005005	ENSARWG00000003595	Apteryx_rowi	ENSARWT00000005747
ENSAHAP00000019989	ENSAHAG00000014055	Apteryx_haastii	ENSAHAT00000022068
ENSDNVP00000015637	ENSDNVG00000011007	Dromaius_novaehollandiae	ENSDNVT00000018805
ENSAPLP00000014128	ENSAPLG00000014291	Anas_platyrhynchos_platyrhynchos
ENSABRP00000004585	ENSABRG00000004241	Anser_brachyrhynchus
ENSNPEP00000004009	ENSNPEG00000003072	Nothoprocta_perdicaria
ENSCCEP00000005157	ENSCCEG00000005673	Cyanistes_caeruleus
ENSPMJP00000011045	ENSPMJG00000008609	Parus_major
ENSFALP00000006379	ENSFALG00000006114	Ficedula_albicollis
ENSTGUP00000000366	ENSTGUG00000000357	Taeniopygia_guttata
ENSSCAP00000010367	ENSSCAG00000007850	Serinus_canaria
ENSJHYP00000008002	ENSJHYG00000006365	Junco_hyemalis
ENSMVIP00005024405	ENSMVIG00005017137	Manacus_vitellinus
ENSLCOP00000005823	ENSLCOG00000004319	Lepidothrix_coronata
ENSLSDP00000014749	ENSLSDG00000010644	Lonchura_striata_domestica
ENSZALP00000012013	ENSZALG00000010124	Zonotrichia_albicollis
ENSCPRP00005005767	ENSCPRG00005004135	Crocodylus_porosus
ENSGAGP00000031296	ENSGAGG00000022490	Gopherus_agassizii
ENSCABP00000013228	ENSCABG00000009911	Chelonoidis_abingdonii
ENSCPBP00000010171	ENSCPBG00000007829	Chrysemys_picta_bellii
