ENSCPOP00000014362	ENSCPOG00000023046	Cavia_porcellus
ENSOARP00000018493	ENSOARG00000017230	Ovis_aries
ENSCCAP00000014238	ENSCCAG00000024935	Cebus_capucinus_imitator
ENSCATP00000031976	ENSCATG00000039088	Cercocebus_atys
ENSOMEP00000028512	ENSOMEG00000011624	Oryzias_melastigma
ENSBMUP00000007750	ENSBMUG00000006082	Bos_mutus
ENSBIXP00000020413	ENSBIXG00000023733	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSVPAP00000004153	ENSVPAG00000004473	Vicugna_pacos
ENSCGRP00015027514	ENSCGRG00015020870	Cricetulus_griseus_CriGri-PICR
ENSP00000304229	ENSG00000169567	Homo_sapiens
ENSETEP00000008224	ENSETEG00000010127	Echinops_telfairi
ENSRNOP00000000772	ENSRNOG00000000622	Rattus_norvegicus
ENSSBOP00000012832	ENSSBOG00000023204	Saimiri_boliviensis_boliviensis
ENSMMUP00000013065	ENSMMUG00000009985	Macaca_mulatta
ENSMPUP00000018621	ENSMPUG00000018741	Mustela_putorius_furo
ENSPTEP00000036517	ENSPTEG00000034308	Piliocolobus_tephrosceles
ENSPCIP00000032537	ENSPCIG00000024152	Phascolarctos_cinereus
ENSMVIP00005028671	ENSMVIG00005019949	Manacus_vitellinus
ENSORLP00015016835	ENSORLG00015000493	Oryzias_latipes_ASM223469v1
ENSBIXP00005021120	ENSBIXG00005024121	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTGUP00000000404	ENSTGUG00000000395	Taeniopygia_guttata
ENSDORP00000018546	ENSDORG00000024485	Dipodomys_ordii
ENSEASP00005022826	ENSEASG00005015562	Equus_asinus_asinus
ENSPMGP00000016101	ENSPMGG00000013207	Periophthalmus_magnuspinnatus
ENSPPAP00000004730	ENSPPAG00000019786	Pan_paniscus
ENSODEP00000026625	ENSODEG00000020080	Octodon_degus
ENSCCNP00000028318	ENSCCNG00000027289	Castor_canadensis
ENSBIXP00000032207	ENSBIXG00000014643	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPCIP00000017387	ENSPCIG00000013313	Phascolarctos_cinereus
ENSMLUP00000020797	ENSMLUG00000025247	Myotis_lucifugus
ENSBBBP00000023894	ENSBBBG00000018697	Bison_bison_bison
ENSPNYP00000001520	ENSPNYG00000001225	Pundamilia_nyererei
ENSCAFP00000035572	ENSCAFG00000011182	Canis_lupus_familiaris
ENSPTRP00000029435	ENSPTRG00000017206	Pan_troglodytes
ENSANAP00000001192	ENSANAG00000010013	Aotus_nancymaae
ENSOCUP00000007257	ENSOCUG00000008405	Oryctolagus_cuniculus
ENSPTIP00000001584	ENSPTIG00000004092	Panthera_tigris_altaica
ENSPANP00000000903	ENSPANG00000012466	Papio_anubis
ENSFALP00000005051	ENSFALG00000004845	Ficedula_albicollis
ENSORLP00020011426	ENSORLG00020012355	Oryzias_latipes_ASM223471v1
ENSVURP00010001346	ENSVURG00010001141	Vombatus_ursinus
ENSCJPP00005011123	ENSCJPG00005009584	Coturnix_japonica
ENSBTAP00000068901	ENSBTAG00000048002	Bos_taurus
ENSRBIP00000004786	ENSRBIG00000021800	Rhinopithecus_bieti
ENSVVUP00000029570	ENSVVUG00000021634	Vulpes_vulpes
ENSAOWP00000022008	ENSAOWG00000014869	Apteryx_owenii
ENSTNIP00000010284	ENSTNIG00000007475	Tetraodon_nigroviridis	ENSTNIT00000010465
ENSTGEP00000020412	ENSTGEG00000016399	Theropithecus_gelada
MGP_CAROLIEiJ_P0026734	MGP_CAROLIEiJ_G0016362	Mus_caroli_strain_CAROLI_EIJ
ENSPPYP00000017608	ENSPPYG00000015747	Pongo_abelii
ENSETEP00000012266	ENSETEG00000015133	Echinops_telfairi
ENSGACP00000014058	ENSGACG00000010631	Gasterosteus_aculeatus	ENSGACT00000014083
MGP_SPRETEiJ_P0028106	MGP_SPRETEiJ_G0017204	Mus_spretus_strain_SPRET/EiJ
ENSPTEP00000005547	ENSPTEG00000006437	Piliocolobus_tephrosceles
ENSCPGP00000008453	ENSCPGG00000005997	Calidris_pygmaea
ENSXETP00000014627	ENSXETG00000000568	Xenopus_tropicalis
ENSATEP00000014981	ENSATEG00000010438	Anabas_testudineus	ENSATET00000015217
ENSAOCP00000002568	ENSAOCG00000005696	Amphiprion_ocellaris
ENSMOCP00000016265	ENSMOCG00000015219	Microtus_ochrogaster
ENSMGAP00000006678	ENSMGAG00000006655	Meleagris_gallopavo
ENSNPEP00000001867	ENSNPEG00000001436	Nothoprocta_perdicaria
ENSBTAP00000014552	ENSBTAG00000010959	Bos_taurus
ENSCPGP00000018628	ENSCPGG00000013014	Calidris_pygmaea
ENSCAFP00020006234	ENSCAFG00020005075	Canis_lupus_dingo
ENSZALP00000000483	ENSZALG00000000570	Zonotrichia_albicollis
ENSMODP00000030486	ENSMODG00000023571	Monodelphis_domestica
ENSCAFP00000061085	ENSCAFG00000046564	Canis_lupus_familiaris
ENSUPAP00010014054	ENSUPAG00010011301	Urocitellus_parryii
ENSBMUP00000032409	ENSBMUG00000024171	Bos_mutus
ENSKMAP00000004163	ENSKMAG00000003173	Kryptolebias_marmoratus
ENSARWP00000012326	ENSARWG00000008525	Apteryx_rowi
ENSPCIP00000018539	ENSPCIG00000014188	Phascolarctos_cinereus
ENSSBOP00000033101	ENSSBOG00000032726	Saimiri_boliviensis_boliviensis
ENSPMJP00000003288	ENSPMJG00000002896	Parus_major
ENSCHIP00000019780	ENSCHIG00000018678	Capra_hircus
ENSFCAP00000017171	ENSFCAG00000041137	Felis_catus
ENSONIP00000001139	ENSONIG00000000901	Oreochromis_niloticus
ENSCPGP00000014248	ENSCPGG00000010093	Calidris_pygmaea
ENSODEP00000011372	ENSODEG00000008456	Octodon_degus
ENSSCAP00000009688	ENSSCAG00000007373	Serinus_canaria
ENSMUNP00000015461	ENSMUNG00000011930	Melopsittacus_undulatus
ENSPANP00000046549	ENSPANG00000030144	Papio_anubis
ENSPVAP00000010529	ENSPVAG00000011171	Pteropus_vampyrus
ENSVURP00010019763	ENSVURG00010015084	Vombatus_ursinus
ENSPTRP00000078729	ENSPTRG00000044233	Pan_troglodytes
ENSSBOP00000004996	ENSSBOG00000019209	Saimiri_boliviensis_boliviensis
ENSCLAP00000018506	ENSCLAG00000012693	Chinchilla_lanigera
ENSMAUP00000003495	ENSMAUG00000003917	Mesocricetus_auratus
ENSPPRP00000006638	ENSPPRG00000002010	Panthera_pardus
ENSCAFP00020024417	ENSCAFG00020019228	Canis_lupus_dingo
ENSCAFP00020024416	ENSCAFG00020019227	Canis_lupus_dingo
ENSLOCP00000010053	ENSLOCG00000008277	Lepisosteus_oculatus
ENSVVUP00000017908	ENSVVUG00000013171	Vulpes_vulpes
ENSGAGP00000004755	ENSGAGG00000003907	Gopherus_agassizii
ENSSPAP00000018549	ENSSPAG00000014003	Stegastes_partitus
ENSPPAP00000033397	ENSPPAG00000039560	Pan_paniscus
ENSMICP00000045933	ENSMICG00000035584	Microcebus_murinus
ENSACIP00000012018	ENSACIG00000009379	Amphilophus_citrinellus
ENSUMAP00000005347	ENSUMAG00000004250	Ursus_maritimus
ENSCJAP00000054343	ENSCJAG00000009599	Callithrix_jacchus
ENSHGLP00000015384	ENSHGLG00000010996	Heterocephalus_glaber_HetGla_female_1.0
ENSCJAP00000041129	ENSCJAG00000043993	Callithrix_jacchus
ENSLBEP00000010171	ENSLBEG00000007882	Labrus_bergylta	ENSLBET00000010733
ENSPCIP00000040845	ENSPCIG00000029889	Phascolarctos_cinereus
ENSBBBP00000009731	ENSBBBG00000017878	Bison_bison_bison
ENSCHIP00000005067	ENSCHIG00000009185	Capra_hircus
ENSPNAP00000032216	ENSPNAG00000020038	Pygocentrus_nattereri
ENSBIXP00005019431	ENSBIXG00005022626	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSGGOP00000023650	ENSGGOG00000026448	Gorilla_gorilla
ENSDNOP00000021985	ENSDNOG00000030844	Dasypus_novemcinctus
ENSCAFP00000042423	ENSCAFG00000005166	Canis_lupus_familiaris
ENSAMXP00000041425	ENSAMXG00000039321	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSSCP00000015173	ENSSSCG00000014264	Sus_scrofa_strain_reference
ENSAOWP00000010681	ENSAOWG00000007354	Apteryx_owenii
ENSTSYP00000015974	ENSTSYG00000029784	Carlito_syrichta
ENSBTAP00000074299	ENSBTAG00000052700	Bos_taurus
ENSMNEP00000001516	ENSMNEG00000006813	Macaca_nemestrina
ENSSFOP00015012039	ENSSFOG00015007779	Scleropages_formosus
ENSCAFP00020022075	ENSCAFG00020017446	Canis_lupus_dingo
ENSMUSP00000020504	ENSMUSG00000020267	Mus_musculus_strain_reference_(CL57BL6)
ENSECRP00000019212	ENSECRG00000012852	Erpetoichthys_calabaricus
ENSPTRP00000077699	ENSPTRG00000044680	Pan_troglodytes
ENSCANP00000005821	ENSCANG00000019645	Colobus_angolensis_palliatus
ENSSCAP00000018837	ENSSCAG00000013629	Serinus_canaria
ENSHHUP00000038971	ENSHHUG00000024267	Hucho_hucho
ENSNGAP00000014870	ENSNGAG00000016071	Nannospalax_galili
ENSORLP00000005902	ENSORLG00000004689	Oryzias_latipes_ASM223467v1
ENSOGAP00000007934	ENSOGAG00000008850	Otolemur_garnettii
ENSFCAP00000039364	ENSFCAG00000025373	Felis_catus
ENSCABP00000031640	ENSCABG00000023105	Chelonoidis_abingdonii
ENSLACP00000014264	ENSLACG00000012554	Latimeria_chalumnae
ENSMFAP00000001060	ENSMFAG00000036310	Macaca_fascicularis
ENSCJAP00000040721	ENSCJAG00000039510	Callithrix_jacchus
ENSCJAP00000055979	ENSCJAG00000046852	Callithrix_jacchus
ENSACLP00000034815	ENSACLG00000023571	Astatotilapia_calliptera
ENSDORP00000011226	ENSDORG00000011944	Dipodomys_ordii
ENSACAP00000001340	ENSACAG00000001424	Anolis_carolinensis
ENSECRP00000022512	ENSECRG00000015230	Erpetoichthys_calabaricus
ENSLCOP00000012204	ENSLCOG00000008855	Lepidothrix_coronata
ENSCAFP00020016961	ENSCAFG00020013588	Canis_lupus_dingo
ENSPSIP00000018999	ENSPSIG00000016850	Pelodiscus_sinensis
ENSSLDP00000029686	ENSSLDG00000022907	Seriola_lalandi_dorsalis
ENSSBOP00000040184	ENSSBOG00000036086	Saimiri_boliviensis_boliviensis
ENSTSYP00000014957	ENSTSYG00000034218	Carlito_syrichta
ENSCPRP00005014895	ENSCPRG00005010458	Crocodylus_porosus
ENSSTOP00000026714	ENSSTOG00000034368	Ictidomys_tridecemlineatus
ENSOCUP00000040693	ENSOCUG00000027503	Oryctolagus_cuniculus
ENSCGRP00001026778	ENSCGRG00001023991	Cricetulus_griseus_CHOK1GS_HDv1
ENSBSLP00000051868	ENSBSLG00000024550	Betta_splendens	ENSBSLT00000056846
ENSRBIP00000023595	ENSRBIG00000035719	Rhinopithecus_bieti
ENSTSYP00000023346	ENSTSYG00000009158	Carlito_syrichta
ENSNVIP00000024642	ENSNVIG00000019105	Neovison_vison
ENSAPEP00000004767	ENSAPEG00000003438	Amphiprion_percula
ENSPTIP00000015286	ENSPTIG00000014418	Panthera_tigris_altaica
ENSCPUP00000008366	ENSCPUG00000006030	Calidris_pugnax
ENSMLEP00000030831	ENSMLEG00000039600	Mandrillus_leucophaeus
ENSMPUP00000011547	ENSMPUG00000011639	Mustela_putorius_furo
ENSBBBP00000027470	ENSBBBG00000023723	Bison_bison_bison
ENSBIXP00005037529	ENSBIXG00005007666	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSGGOP00000011667	ENSGGOG00000011967	Gorilla_gorilla
ENSCSAP00000010145	ENSCSAG00000014000	Chlorocebus_sabaeus
ENSMMMP00000016129	ENSMMMG00000014343	Marmota_marmota_marmota
ENSOCUP00000005709	ENSOCUG00000006607	Oryctolagus_cuniculus
ENSAHAP00000027834	ENSAHAG00000019352	Apteryx_haastii
ENSMLEP00000014424	ENSMLEG00000031369	Mandrillus_leucophaeus
ENSVURP00010015537	ENSVURG00010011898	Vombatus_ursinus
ENSNSUP00000018927	ENSNSUG00000013808	Notechis_scutatus
ENSANAP00000003366	ENSANAG00000019623	Aotus_nancymaae
ENSCGRP00000019605	ENSCGRG00000014274	Cricetulus_griseus_CriGri_1.0
ENSMFAP00000019681	ENSMFAG00000032836	Macaca_fascicularis
ENSMMMP00000007342	ENSMMMG00000006598	Marmota_marmota_marmota
ENSPCIP00000044112	ENSPCIG00000032294	Phascolarctos_cinereus
ENSVVUP00000040994	ENSVVUG00000029183	Vulpes_vulpes
ENSCATP00000028662	ENSCATG00000037620	Cercocebus_atys
ENSMZEP00005036727	ENSMZEG00005027384	Maylandia_zebra
ENSSBOP00000003204	ENSSBOG00000015921	Saimiri_boliviensis_boliviensis
ENSCANP00000034594	ENSCANG00000040976	Colobus_angolensis_palliatus
ENSDORP00000018037	ENSDORG00000024559	Dipodomys_ordii
ENSTBEP00000001429	ENSTBEG00000001666	Tupaia_belangeri
ENSUAMP00000034772	ENSUAMG00000026418	Ursus_americanus
ENSHBUP00000029215	ENSHBUG00000013488	Haplochromis_burtoni
ENSVURP00010007063	ENSVURG00010005481	Vombatus_ursinus
ENSRROP00000006211	ENSRROG00000024779	Rhinopithecus_roxellana
ENSMEUP00000004904	ENSMEUG00000005368	Notamacropus_eugenii
ENSLSDP00000012297	ENSLSDG00000008986	Lonchura_striata_domestica
ENSFDAP00000022323	ENSFDAG00000007061	Fukomys_damarensis
ENSSTOP00000015435	ENSSTOG00000028618	Ictidomys_tridecemlineatus
ENSLBEP00000030273	ENSLBEG00000022872	Labrus_bergylta	ENSLBET00000031682
ENSMAMP00000032431	ENSMAMG00000021815	Mastacembelus_armatus	ENSMAMT00000033278
ENSEEUP00000007421	ENSEEUG00000008175	Erinaceus_europaeus
ENSSBOP00000031353	ENSSBOG00000031899	Saimiri_boliviensis_boliviensis
ENSNLEP00000028015	ENSNLEG00000012431	Nomascus_leucogenys
ENSCJAP00000068396	ENSCJAG00000060748	Callithrix_jacchus
ENSVURP00010007865	ENSVURG00010006047	Vombatus_ursinus
ENSECAP00000020620	ENSECAG00000023180	Equus_caballus
ENSHCOP00000017960	ENSHCOG00000002161	Hippocampus_comes
ENSLACP00000017848	ENSLACG00000015723	Latimeria_chalumnae
ENSPVIP00000029875	ENSPVIG00000022004	Pogona_vitticeps
ENSSHAP00000006703	ENSSHAG00000005834	Sarcophilus_harrisii
ENSCCAP00000000929	ENSCCAG00000005518	Cebus_capucinus_imitator
ENSTSYP00000033559	ENSTSYG00000031487	Carlito_syrichta
ENSAPOP00000013997	ENSAPOG00000016821	Acanthochromis_polyacanthus
ENSOARP00000017908	ENSOARG00000016673	Ovis_aries
ENSCAFP00000045858	ENSCAFG00000014078	Canis_lupus_familiaris
ENSPEMP00000029662	ENSPEMG00000026673	Peromyscus_maniculatus_bairdii
ENSRROP00000016300	ENSRROG00000032299	Rhinopithecus_roxellana
ENSLAFP00000024515	ENSLAFG00000027903	Loxodonta_africana
ENSECRP00000010680	ENSECRG00000007110	Erpetoichthys_calabaricus
