ENSACAP00000019501	ENSACAG00000000685	Anolis_carolinensis	ENSACAT00000024203
ENSACAP00000009812	ENSACAG00000010016	Anolis_carolinensis	ENSACAT00000010012
ENSPVIP00000020398	ENSPVIG00000015542	Pogona_vitticeps	ENSPVIT00000025340
ENSSPUP00000022549	ENSSPUG00000017313	Sphenodon_punctatus
ENSGAGP00000023860	ENSGAGG00000017461	Gopherus_agassizii
ENSCABP00000000535	ENSCABG00000000470	Chelonoidis_abingdonii
ENSCPBP00000005221	ENSCPBG00000004199	Chrysemys_picta_bellii
ENSPSIP00000019540	ENSPSIG00000017339	Pelodiscus_sinensis
ENSTGUP00000011853	ENSTGUG00000011501	Taeniopygia_guttata
ENSEASP00005030641	ENSEASG00005020860	Equus_asinus_asinus
ENSECAP00000040474	ENSECAG00000024196	Equus_caballus
ENSMLUP00000010965	ENSMLUG00000012031	Myotis_lucifugus
ENSUMAP00000016788	ENSUMAG00000012334	Ursus_maritimus
ENSUAMP00000035502	ENSUAMG00000026955	Ursus_americanus
ENSAMEP00000001550	ENSAMEG00000001458	Ailuropoda_melanoleuca
ENSMPUP00000002383	ENSMPUG00000002409	Mustela_putorius_furo
ENSCAFP00000001402	ENSCAFG00000000987	Canis_lupus_familiaris
ENSPPRP00000004992	ENSPPRG00000000899	Panthera_pardus
ENSPTIP00000002129	ENSPTIG00000005208	Panthera_tigris_altaica
ENSFCAP00000012661	ENSFCAG00000013653	Felis_catus
ENSFCAP00000026051	ENSFCAG00000041443	Felis_catus
ENSBIXP00000029838	ENSBIXG00000011577	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005009104	ENSBIXG00005001822	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000002136	ENSBTAG00000001631	Bos_taurus
ENSBMUP00000011747	ENSBMUG00000009021	Bos_mutus
ENSBBBP00000006490	ENSBBBG00000001000	Bison_bison_bison
ENSOARP00000010339	ENSOARG00000009637	Ovis_aries
ENSCHIP00000021307	ENSCHIG00000019665	Capra_hircus
ENSTTRP00000006529	ENSTTRG00000006906	Tursiops_truncatus
ENSSSCP00000001639	ENSSSCG00000001510	Sus_scrofa_strain_reference
ENSDNOP00000012725	ENSDNOG00000016407	Dasypus_novemcinctus
ENSCLAP00000010637	ENSCLAG00000007341	Chinchilla_lanigera
ENSODEP00000023492	ENSODEG00000017215	Octodon_degus
ENSCPOP00000032378	ENSCPOG00000010632	Cavia_porcellus
ENSCAPP00000010073	ENSCAPG00000011403	Cavia_aperea
ENSHGLP00100011967	ENSHGLG00100008880	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000024106	ENSHGLG00000017183	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000009653	ENSFDAG00000017641	Fukomys_damarensis
ENSUPAP00010017136	ENSUPAG00010013621	Urocitellus_parryii
ENSSTOP00000002193	ENSSTOG00000002449	Ictidomys_tridecemlineatus
ENSMMMP00000027773	ENSMMMG00000024243	Marmota_marmota_marmota
ENSSDAP00000020534	ENSSDAG00000018623	Spermophilus_dauricus
ENSCCNP00000027510	ENSCCNG00000026577	Castor_canadensis
ENSDORP00000003047	ENSDORG00000003255	Dipodomys_ordii
MGP_SPRETEiJ_P0045408	MGP_SPRETEiJ_G0022201	Mus_spretus_strain_SPRET/EiJ
MGP_SPRETEiJ_P0045407	MGP_SPRETEiJ_G0022200	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000077984	ENSMUSG00000024301	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000134572	ENSMUSG00000079553	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0043498	MGP_CAROLIEiJ_G0021287	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0055798	MGP_PahariEiJ_G0023606	Mus_pahari_strain_PAHARI_EIJ
MGP_PahariEiJ_P0055797	MGP_PahariEiJ_G0023605	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000061875	ENSRNOG00000000479	Rattus_norvegicus
ENSMUGP00000021552	ENSMUGG00000018110	Meriones_unguiculatus
ENSMOCP00000002134	ENSMOCG00000001648	Microtus_ochrogaster
ENSPEMP00000003886	ENSPEMG00000005677	Peromyscus_maniculatus_bairdii
ENSNGAP00000016143	ENSNGAG00000016919	Nannospalax_galili
ENSJJAP00000003254	ENSJJAG00000006229	Jaculus_jaculus
ENSOCUP00000009221	ENSOCUG00000010708	Oryctolagus_cuniculus
ENSOPRP00000000973	ENSOPRG00000001063	Ochotona_princeps
ENSPTRP00000088960	ENSPTRG00000018047	Pan_troglodytes
ENSPPAP00000038665	ENSPPAG00000042032	Pan_paniscus
ENSP00000393963	ENSG00000237649	Homo_sapiens
ENSGGOP00000046092	ENSGGOG00000000261	Gorilla_gorilla
ENSPPYP00000018452	ENSPPYG00000016497	Pongo_abelii
ENSNLEP00000010110	ENSNLEG00000008288	Nomascus_leucogenys
ENSPANP00000041377	ENSPANG00000020271	Papio_anubis
ENSTGEP00000037026	ENSTGEG00000029475	Theropithecus_gelada
ENSCATP00000006849	ENSCATG00000020793	Cercocebus_atys
ENSMLEP00000012799	ENSMLEG00000030563	Mandrillus_leucophaeus
ENSMMUP00000046588	ENSMMUG00000007477	Macaca_mulatta
ENSMFAP00000003059	ENSMFAG00000036107	Macaca_fascicularis
ENSMNEP00000022443	ENSMNEG00000034876	Macaca_nemestrina
ENSCSAP00000005832	ENSCSAG00000009576	Chlorocebus_sabaeus
ENSRROP00000045242	ENSRROG00000045537	Rhinopithecus_roxellana
ENSRBIP00000026161	ENSRBIG00000036961	Rhinopithecus_bieti
ENSPTEP00000022319	ENSPTEG00000023274	Piliocolobus_tephrosceles
ENSCANP00000024587	ENSCANG00000035680	Colobus_angolensis_palliatus
ENSCCAP00000006121	ENSCCAG00000020819	Cebus_capucinus_imitator
ENSSBOP00000012919	ENSSBOG00000023255	Saimiri_boliviensis_boliviensis
ENSCJAP00000043663	ENSCJAG00000021681	Callithrix_jacchus
ENSANAP00000006216	ENSANAG00000021191	Aotus_nancymaae
ENSTSYP00000023958	ENSTSYG00000027554	Carlito_syrichta
ENSOGAP00000011670	ENSOGAG00000013028	Otolemur_garnettii
ENSMICP00000043289	ENSMICG00000005648	Microcebus_murinus
ENSLACP00000007833	ENSLACG00000006938	Latimeria_chalumnae
ENSPNAP00000004132	ENSPNAG00000010590	Pygocentrus_nattereri
ENSAMXP00005047187	ENSAMXG00005021683	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSDARP00000139775	ENSDARG00000001558	Danio_rerio
ENSDCDP00000018525	ENSDCDG00000014915	Denticeps_clupeoides
ENSSFOP00015015313	ENSSFOG00015009879	Scleropages_formosus
ENSPKIP00000001990	ENSPKIG00000020054	Paramormyrops_kingsleyae
ENSSDUP00000011170	ENSSDUG00000008164	Seriola_dumerili
ENSSLDP00000024723	ENSSLDG00000019268	Seriola_lalandi_dorsalis
