ENSPLAP00000031000	ENSPLAG00000022666	Poecilia_latipinna
ENSNVIP00000006398	ENSNVIG00000005047	Neovison_vison
ENSNGAP00000012856	ENSNGAG00000014534	Nannospalax_galili
ENSVPAP00000006660	ENSVPAG00000007156	Vicugna_pacos
ENSIPUP00000019677	ENSIPUG00000013273	Ictalurus_punctatus
ENSSHAP00000019694	ENSSHAG00000016719	Sarcophilus_harrisii
ENSPCOP00000020704	ENSPCOG00000022330	Propithecus_coquereli
ENSPRNP00000000706	ENSPRNG00000000227	Parambassis_ranga
ENSCPRP00005022678	ENSCPRG00005015801	Crocodylus_porosus
ENSCHIP00000023538	ENSCHIG00000021030	Capra_hircus
ENSLCAP00010024476	ENSLCAG00010010130	Lates_calcarifer
ENSKMAP00000006041	ENSKMAG00000004525	Kryptolebias_marmoratus
ENSMICP00000015790	ENSMICG00000017332	Microcebus_murinus
ENSOGAP00000007074	ENSOGAG00000007900	Otolemur_garnettii
ENSLSDP00000018513	ENSLSDG00000013229	Lonchura_striata_domestica
ENSACAP00000018609	ENSACAG00000027267	Anolis_carolinensis
ENSAMEP00000011409	ENSAMEG00000010784	Ailuropoda_melanoleuca
ENSMNEP00000020777	ENSMNEG00000034147	Macaca_nemestrina
ENSDNVP00000026442	ENSDNVG00000018396	Dromaius_novaehollandiae
ENSHHUP00000038654	ENSHHUG00000021941	Hucho_hucho
ENSONIP00000014910	ENSONIG00000011842	Oreochromis_niloticus
ENSPSMP00000032802	ENSPSMG00000022657	Prolemur_simus
ENSSTOP00000006693	ENSSTOG00000007463	Ictidomys_tridecemlineatus
ENSBBBP00000009964	ENSBBBG00000018144	Bison_bison_bison
ENSCJPP00005024375	ENSCJPG00005018691	Coturnix_japonica
ENSAPLP00000009605	ENSAPLG00000009811	Anas_platyrhynchos_platyrhynchos
ENSMMUP00000018185	ENSMMUG00000013832	Macaca_mulatta
ENSSPAP00000013039	ENSSPAG00000009844	Stegastes_partitus
ENSBIXP00005022595	ENSBIXG00005007398	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000041238	ENSBIXG00000025426	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCMIP00000018446	ENSCMIG00000008669	Callorhinchus_milii
ENSNLEP00000005591	ENSNLEG00000004595	Nomascus_leucogenys
ENSFDAP00000008591	ENSFDAG00000016825	Fukomys_damarensis
ENSORLP00020019761	ENSORLG00020000932	Oryzias_latipes_ASM223471v1
ENSPMJP00000026121	ENSPMJG00000019106	Parus_major
ENSXETP00000015238	ENSXETG00000000269	Xenopus_tropicalis
ENSABRP00000027830	ENSABRG00000023167	Anser_brachyrhynchus
ENSSFOP00015035167	ENSSFOG00015022375	Scleropages_formosus
ENSCANP00000003396	ENSCANG00000011855	Colobus_angolensis_palliatus
ENSPMAP00000006936	ENSPMAG00000006095	Petromyzon_marinus	ENSPMAT00000006967
ENSLAFP00000005162	ENSLAFG00000006147	Loxodonta_africana
ENSRROP00000021497	ENSRROG00000034656	Rhinopithecus_roxellana
ENSPFOP00000010906	ENSPFOG00000010059	Poecilia_formosa
ENSEASP00005033397	ENSEASG00005022866	Equus_asinus_asinus
ENSLBEP00000012903	ENSLBEG00000009863	Labrus_bergylta
ENSHGLP00100007409	ENSHGLG00100005545	Heterocephalus_glaber_HetGla_1.0
ENSODEP00000014604	ENSODEG00000010803	Octodon_degus
ENSCVAP00000007489	ENSCVAG00000010854	Cyprinodon_variegatus
ENSCABP00000002305	ENSCABG00000001792	Chelonoidis_abingdonii
ENSSARP00000001306	ENSSARG00000001408	Sorex_araneus
ENSDORP00000001910	ENSDORG00000002034	Dipodomys_ordii
ENSPREP00000019730	ENSPREG00000013322	Poecilia_reticulata
ENSSMAP00000001089	ENSSMAG00000000683	Scophthalmus_maximus
ENSOCUP00000001184	ENSOCUG00000001372	Oryctolagus_cuniculus
ENSTNIP00000002504	ENSTNIG00000013268	Tetraodon_nigroviridis
ENSXMAP00000013943	ENSXMAG00000013890	Xiphophorus_maculatus
ENSPCIP00000053180	ENSPCIG00000028440	Phascolarctos_cinereus
ENSGWIP00000002206	ENSGWIG00000001186	Gouania_willdenowi
ENSRNOP00000064279	ENSRNOG00000050860	Rattus_norvegicus
ENSHBUP00000017503	ENSHBUG00000019538	Haplochromis_burtoni
ENSCJAP00000011631	ENSCJAG00000006261	Callithrix_jacchus
ENSMALP00000015917	ENSMALG00000011129	Monopterus_albus
ENSTBEP00000011034	ENSTBEG00000012695	Tupaia_belangeri
ENSBTAP00000043977	ENSBTAG00000026885	Bos_taurus
ENSAPOP00000023994	ENSAPOG00000000173	Acanthochromis_polyacanthus
MGP_SPRETEiJ_P0054181	MGP_SPRETEiJ_G0024541	Mus_spretus_strain_SPRET/EiJ
ENSNBRP00000029141	ENSNBRG00000022173	Neolamprologus_brichardi
ENSGACP00000018402	ENSGACG00000013935	Gasterosteus_aculeatus
ENSMZEP00005024097	ENSMZEG00005018017	Maylandia_zebra
ENSCAFP00020002880	ENSCAFG00020002351	Canis_lupus_dingo
ENSXETP00000048040	ENSXETG00000000786	Xenopus_tropicalis
ENSPNYP00000024328	ENSPNYG00000018339	Pundamilia_nyererei
ENSAPEP00000009932	ENSAPEG00000007046	Amphiprion_percula
ENSGMOP00000010800	ENSGMOG00000010088	Gadus_morhua
ENSVURP00010026731	ENSVURG00010020466	Vombatus_ursinus
ENSAMXP00000019292	ENSAMXG00000018718	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPMGP00000017275	ENSPMGG00000014143	Periophthalmus_magnuspinnatus
ENSMLEP00000038725	ENSMLEG00000043405	Mandrillus_leucophaeus
ENSCGRP00001024121	ENSCGRG00001022102	Cricetulus_griseus_CHOK1GS_HDv1
ENSTGUP00000007872	ENSTGUG00000007617	Taeniopygia_guttata
ENSUMAP00000018629	ENSUMAG00000013635	Ursus_maritimus
ENSSCAP00000021731	ENSSCAG00000015622	Serinus_canaria
ENSPPAP00000019245	ENSPPAG00000032785	Pan_paniscus
ENSACIP00000025225	ENSACIG00000019505	Amphilophus_citrinellus
ENSPNAP00000027521	ENSPNAG00000002545	Pygocentrus_nattereri
ENSHHUP00000047066	ENSHHUG00000028603	Hucho_hucho
ENSLCOP00000023358	ENSLCOG00000016390	Lepidothrix_coronata
ENSMAMP00000031079	ENSMAMG00000020914	Mastacembelus_armatus
ENSAOCP00000009305	ENSAOCG00000013437	Amphiprion_ocellaris
ENSEEUP00000004710	ENSEEUG00000005094	Erinaceus_europaeus
ENSDCDP00000017251	ENSDCDG00000013316	Denticeps_clupeoides
ENSACLP00000038554	ENSACLG00000025979	Astatotilapia_calliptera
ENSTTRP00000005784	ENSTTRG00000006114	Tursiops_truncatus
ENSARWP00000001780	ENSARWG00000001405	Apteryx_rowi
ENSNSUP00000018466	ENSNSUG00000012624	Notechis_scutatus
ENSTGEP00000019535	ENSTGEG00000015729	Theropithecus_gelada
ENSMLUP00000020696	ENSMLUG00000027444	Myotis_lucifugus
ENSSDUP00000012382	ENSSDUG00000008985	Seriola_dumerili
ENSSPUP00000017769	ENSSPUG00000013271	Sphenodon_punctatus
ENSMMOP00000005738	ENSMMOG00000004515	Mola_mola
ENSCGRP00000008935	ENSCGRG00000006532	Cricetulus_griseus_CriGri_1.0
ENSDNOP00000003437	ENSDNOG00000004443	Dasypus_novemcinctus
ENSPCAP00000014121	ENSPCAG00000015052	Procavia_capensis
ENSMPUP00000000733	ENSMPUG00000000736	Mustela_putorius_furo
ENSPTEP00000038668	ENSPTEG00000035884	Piliocolobus_tephrosceles
ENSPANP00000018422	ENSPANG00000011791	Papio_anubis
ENSPEMP00000015089	ENSPEMG00000014679	Peromyscus_maniculatus_bairdii
ENSCGOP00000044049	ENSCGOG00000019700	Cottoperca_gobio
ENSAOWP00000001561	ENSAOWG00000001115	Apteryx_owenii
ENSSMRP00000024526	ENSSMRG00000018960	Salvator_merianae
ENSMSIP00000025006	ENSMSIG00000016340	Mus_spicilegus
ENSCCEP00000027664	ENSCCEG00000024010	Cyanistes_caeruleus
ENSCCNP00000022583	ENSCCNG00000022163	Castor_canadensis
ENSEBUP00000016355	ENSEBUG00000010241	Eptatretus_burgeri	ENSEBUT00000016931
ENSCHOP00000003052	ENSCHOG00000003436	Choloepus_hoffmanni
ENSOPRP00000012175	ENSOPRG00000013311	Ochotona_princeps
ENSZALP00000022655	ENSZALG00000017175	Zonotrichia_albicollis
ENSECAP00000013242	ENSECAG00000015291	Equus_caballus
ENSCSEP00000007899	ENSCSEG00000005079	Cynoglossus_semilaevis
ENSPPRP00000023420	ENSPPRG00000013721	Panthera_pardus
ENSMEUP00000006045	ENSMEUG00000006595	Notamacropus_eugenii
ENSPSIP00000016899	ENSPSIG00000014885	Pelodiscus_sinensis
ENSCPOP00000005355	ENSCPOG00000005935	Cavia_porcellus
ENSCCAP00000007481	ENSCCAG00000021459	Cebus_capucinus_imitator
ENSMOCP00000013723	ENSMOCG00000013404	Microtus_ochrogaster
ENSCLAP00000004070	ENSCLAG00000002905	Chinchilla_lanigera
ENSBMUP00000004448	ENSBMUG00000003482	Bos_mutus
ENSLCRP00005065525	ENSLCRG00005023876	Larimichthys_crocea
ENSPVAP00000000140	ENSPVAG00000000152	Pteropus_vampyrus
ENSBSLP00000002077	ENSBSLG00000001025	Betta_splendens
ENSMVIP00005026086	ENSMVIG00005018212	Manacus_vitellinus
ENSLOCP00000009948	ENSLOCG00000008192	Lepisosteus_oculatus
ENSSBOP00000009465	ENSSBOG00000021598	Saimiri_boliviensis_boliviensis
ENSMUSP00000099770	ENSMUSG00000027048	Mus_musculus_strain_reference_(CL57BL6)
ENSNMEP00000026921	ENSNMEG00000022559	Numida_meleagris
ENSMFAP00000006556	ENSMFAG00000037604	Macaca_fascicularis
ENSHCOP00000010327	ENSHCOG00000013058	Hippocampus_comes
ENSNPEP00000001799	ENSNPEG00000001353	Nothoprocta_perdicaria
ENSOANP00000013547	ENSOANG00000008504	Ornithorhynchus_anatinus
ENSPPYP00000014407	ENSPPYG00000012908	Pongo_abelii
ENSATEP00000011221	ENSATEG00000007776	Anabas_testudineus
ENSPTIP00000015715	ENSPTIG00000014715	Panthera_tigris_altaica
ENSORLP00000004294	ENSORLG00000003454	Oryzias_latipes_ASM223467v1
ENSMUNP00000010775	ENSMUNG00000008479	Melopsittacus_undulatus
ENSJJAP00000025145	ENSJJAG00000024409	Jaculus_jaculus
ENSSSCP00000016879	ENSSSCG00000015926	Sus_scrofa_strain_reference
ENSJHYP00000004398	ENSJHYG00000003514	Junco_hyemalis
ENSMMMP00000026829	ENSMMMG00000023466	Marmota_marmota_marmota
ENSSDAP00000014907	ENSSDAG00000013315	Spermophilus_dauricus
ENSETEP00000015057	ENSETEG00000018522	Echinops_telfairi
ENSVVUP00000022792	ENSVVUG00000016706	Vulpes_vulpes
ENSELUP00000023603	ENSELUG00000022485	Esox_lucius
ENSPTRP00000088624	ENSPTRG00000012609	Pan_troglodytes
ENSCAPP00000000216	ENSCAPG00000000172	Cavia_aperea
ENSGAGP00000003560	ENSGAGG00000002791	Gopherus_agassizii
ENSLACP00000000141	ENSLACG00000000124	Latimeria_chalumnae
ENSAHAP00000023960	ENSAHAG00000016734	Apteryx_haastii
