ENSRROP00000000344	ENSRROG00000001090	Rhinopithecus_roxellana
ENSCHOP00000001198	ENSCHOG00000001347	Choloepus_hoffmanni
ENSMPUP00000005533	ENSMPUG00000005574	Mustela_putorius_furo
ENSCINP00000035338	ENSCING00000022050	Ciona_intestinalis
ENSPSMP00000030961	ENSPSMG00000021491	Prolemur_simus
ENSOARP00000019547	ENSOARG00000018214	Ovis_aries
ENSSSCP00000009415	ENSSSCG00000008830	Sus_scrofa_strain_reference
ENSHGLP00000025132	ENSHGLG00000017904	Heterocephalus_glaber_HetGla_female_1.0
ENSMMMP00000022826	ENSMMMG00000019997	Marmota_marmota_marmota
ENSSARP00000003344	ENSSARG00000003675	Sorex_araneus
ENSNVIP00000017322	ENSNVIG00000013526	Neovison_vison
ENSSBOP00000033539	ENSSBOG00000032930	Saimiri_boliviensis_boliviensis
ENSFCAP00000003405	ENSFCAG00000003695	Felis_catus
ENSCHIP00000007816	ENSCHIG00000011196	Capra_hircus
ENSSPUP00000022404	ENSSPUG00000017192	Sphenodon_punctatus
ENSFALP00000003380	ENSFALG00000003237	Ficedula_albicollis
ENSEASP00005020902	ENSEASG00005014324	Equus_asinus_asinus
ENSJHYP00000009114	ENSJHYG00000007224	Junco_hyemalis
ENSDNOP00000016059	ENSDNOG00000023671	Dasypus_novemcinctus
ENSPEMP00000003126	ENSPEMG00000004208	Peromyscus_maniculatus_bairdii
ENSSCAP00000010406	ENSSCAG00000007896	Serinus_canaria
ENSCPRP00005014125	ENSCPRG00005009951	Crocodylus_porosus
ENSPPAP00000034020	ENSPPAG00000039872	Pan_paniscus
ENSSTOP00000013423	ENSSTOG00000014976	Ictidomys_tridecemlineatus
ENSCPGP00000028034	ENSCPGG00000019324	Calidris_pygmaea
ENSPTRP00000027610	ENSPTRG00000016049	Pan_troglodytes
ENSMUNP00000008244	ENSMUNG00000006583	Melopsittacus_undulatus
ENSCAFP00000002934	ENSCAFG00000001997	Canis_lupus_familiaris
ENSCABP00000009212	ENSCABG00000006917	Chelonoidis_abingdonii
ENSNPEP00000006381	ENSNPEG00000004822	Nothoprocta_perdicaria
ENSNMEP00000011898	ENSNMEG00000011161	Numida_meleagris	ENSNMET00000018639
