ENSHBUP00000028841	ENSHBUG00000012883	Haplochromis_burtoni	ENSHBUT00000018474
ENSLCRP00005038129	ENSLCRG00005014824	Larimichthys_crocea	ENSLCRT00005038827
ENSNSUP00000021735	ENSNSUG00000015791	Notechis_scutatus	ENSNSUT00000023108
ENSEBUP00000025816	ENSEBUG00000015912	Eptatretus_burgeri	ENSEBUT00000026392
ENSLBEP00000022400	ENSLBEG00000017196	Labrus_bergylta	ENSLBET00000023579
ENSACIP00000010339	ENSACIG00000008092	Amphilophus_citrinellus	ENSACIT00000010635
ENSMMOP00000027572	ENSMMOG00000020850	Mola_mola
ENSONIP00000023389	ENSONIG00000018581	Oreochromis_niloticus	ENSONIT00000023410
ENSSMAP00000024354	ENSSMAG00000014887	Scophthalmus_maximus	ENSSMAT00000024647
ENSACLP00000015662	ENSACLG00000010674	Astatotilapia_calliptera	ENSACLT00000016028
ENSPNYP00000009697	ENSPNYG00000007351	Pundamilia_nyererei	ENSPNYT00000009924
ENSTNIP00000009004	ENSTNIG00000006251	Tetraodon_nigroviridis	ENSTNIT00000009175
ENSMZEP00005032781	ENSMZEG00005024415	Maylandia_zebra	ENSMZET00005033840
ENSBSLP00000055554	ENSBSLG00000025946	Betta_splendens	ENSBSLT00000060746
ENSAOWP00000014222	ENSAOWG00000009710	Apteryx_owenii	ENSAOWT00000016139
ENSECRP00000032566	ENSECRG00000022064	Erpetoichthys_calabaricus	ENSECRT00000033289
ENSMALP00000023290	ENSMALG00000016234	Monopterus_albus	ENSMALT00000023738
ENSTNIP00000017942	ENSTNIG00000014898	Tetraodon_nigroviridis	ENSTNIT00000018166
ENSNBRP00000004569	ENSNBRG00000003639	Neolamprologus_brichardi	ENSNBRT00000004707
ENSTRUP00000048570	ENSTRUG00000023012	Takifugu_rubripes	ENSTRUT00000058061
