ENSCCEP00000007103	ENSCCEG00000007510	Cyanistes_caeruleus
ENSPMJP00000011333	ENSPMJG00000008797	Parus_major
ENSZALP00000006011	ENSZALG00000005543	Zonotrichia_albicollis
ENSJHYP00000018029	ENSJHYG00000013751	Junco_hyemalis
ENSTGUP00000000771	ENSTGUG00000000757	Taeniopygia_guttata
ENSFALP00000005528	ENSFALG00000005302	Ficedula_albicollis
ENSCPUP00000023549	ENSCPUG00000015991	Calidris_pugnax
ENSABRP00000022303	ENSABRG00000018903	Anser_brachyrhynchus
ENSAPLP00000024682	ENSAPLG00000012529	Anas_platyrhynchos_platyrhynchos
ENSNMEP00000013164	ENSNMEG00000012054	Numida_meleagris
ENSCJPP00005005751	ENSCJPG00005005447	Coturnix_japonica
ENSGALP00000054615	ENSGALG00000043088	Gallus_gallus
ENSMGAP00000000165	ENSMGAG00000000786	Meleagris_gallopavo
ENSCJPP00005005750	ENSCJPG00005005446	Coturnix_japonica
ENSAHAP00000023535	ENSAHAG00000016462	Apteryx_haastii
