ENSPCOP00000014848	ENSPCOG00000019130	Propithecus_coquereli
ENSMICP00000044355	ENSMICG00000045337	Microcebus_murinus
ENSPANP00000041312	ENSPANG00000032597	Papio_anubis
ENSMLEP00000007143	ENSMLEG00000027556	Mandrillus_leucophaeus
ENSCATP00000007483	ENSCATG00000022340	Cercocebus_atys
ENSTGEP00000035384	ENSTGEG00000028165	Theropithecus_gelada
ENSMFAP00000012365	ENSMFAG00000023927	Macaca_fascicularis
ENSMNEP00000002909	ENSMNEG00000013564	Macaca_nemestrina
ENSPTEP00000028445	ENSPTEG00000028096	Piliocolobus_tephrosceles
ENSCJAP00000061770	ENSCJAG00000038161	Callithrix_jacchus
ENSSDAP00000010147	ENSSDAG00000009249	Spermophilus_dauricus
ENSSDAP00000010161	ENSSDAG00000009257	Spermophilus_dauricus
ENSMMMP00000019488	ENSMMMG00000017220	Marmota_marmota_marmota
ENSUPAP00010022987	ENSUPAG00010018232	Urocitellus_parryii
ENSVVUP00000004507	ENSVVUG00000003534	Vulpes_vulpes
ENSVVUP00000018164	ENSVVUG00000013388	Vulpes_vulpes
ENSCAFP00020035174	ENSCAFG00020027244	Canis_lupus_dingo
ENSPTIP00000001486	ENSPTIG00000003842	Panthera_tigris_altaica
ENSPPRP00000028650	ENSPPRG00000020851	Panthera_pardus
ENSFCAP00000049565	ENSFCAG00000040987	Felis_catus
