ENSMZEP00005033851	ENSMZEG00005025315	Maylandia_zebra
ENSSFOP00015034564	ENSSFOG00015022020	Scleropages_formosus
ENSLBEP00000005413	ENSLBEG00000004161	Labrus_bergylta
ENSXMAP00000008121	ENSXMAG00000008104	Xiphophorus_maculatus
ENSMUGP00000005307	ENSMUGG00000004710	Meriones_unguiculatus
ENSPANP00000042407	ENSPANG00000020752	Papio_anubis
ENSCPUP00000004481	ENSCPUG00000003310	Calidris_pugnax	ENSCPUT00000005410
ENSAPOP00000034105	ENSAPOG00000023199	Acanthochromis_polyacanthus
ENSELUP00000025723	ENSELUG00000024364	Esox_lucius
ENSSCAP00000021423	ENSSCAG00000015407	Serinus_canaria	ENSSCAT00000023891
ENSLACP00000022392	ENSLACG00000011559	Latimeria_chalumnae
ENSRNOP00000075160	ENSRNOG00000017064	Rattus_norvegicus
ENSLOCP00000014798	ENSLOCG00000012030	Lepisosteus_oculatus
ENSPVAP00000002883	ENSPVAG00000003055	Pteropus_vampyrus
ENSLCOP00000023392	ENSLCOG00000016407	Lepidothrix_coronata	ENSLCOT00000024712
ENSPMGP00000023376	ENSPMGG00000018890	Periophthalmus_magnuspinnatus
ENSCGRP00001003785	ENSCGRG00001004632	Cricetulus_griseus_CHOK1GS_HDv1
ENSRROP00000040249	ENSRROG00000043379	Rhinopithecus_roxellana
ENSTRUP00000030730	ENSTRUG00000012142	Takifugu_rubripes
ENSEBUP00000005104	ENSEBUG00000003519	Eptatretus_burgeri
ENSNGAP00000013780	ENSNGAG00000015231	Nannospalax_galili
ENSACIP00000013641	ENSACIG00000010576	Amphilophus_citrinellus
ENSHHUP00000073726	ENSHHUG00000043251	Hucho_hucho
ENSODEP00000016259	ENSODEG00000011965	Octodon_degus
ENSPEMP00000003320	ENSPEMG00000004582	Peromyscus_maniculatus_bairdii
ENSKMAP00000025098	ENSKMAG00000018558	Kryptolebias_marmoratus
ENSMAMP00000022782	ENSMAMG00000015287	Mastacembelus_armatus
