ENSSPUP00000016694	ENSSPUG00000012918	Sphenodon_punctatus
ENSNSUP00000003045	ENSNSUG00000002507	Notechis_scutatus
ENSCABP00000018505	ENSCABG00000013689	Chelonoidis_abingdonii	ENSCABT00000020275
ENSGAGP00000014712	ENSGAGG00000011159	Gopherus_agassizii	ENSGAGT00000016820
ENSMUNP00000009588	ENSMUNG00000007579	Melopsittacus_undulatus
ENSMVIP00005024441	ENSMVIG00005017157	Manacus_vitellinus
ENSNMEP00000019257	ENSNMEG00000016644	Numida_meleagris
ENSMGAP00000017299	ENSMGAG00000017122	Meleagris_gallopavo
ENSAMEP00000007993	ENSAMEG00000007595	Ailuropoda_melanoleuca
ENSUMAP00000003606	ENSUMAG00000002995	Ursus_maritimus
ENSPTIP00000011444	ENSPTIG00000011867	Panthera_tigris_altaica
ENSBTAP00000053687	ENSBTAG00000035710	Bos_taurus
ENSCCNP00000011267	ENSCCNG00000011675	Castor_canadensis
ENSCCNP00000012309	ENSCCNG00000012760	Castor_canadensis
ENSJJAP00000007659	ENSJJAG00000012010	Jaculus_jaculus
ENSCPOP00000003959	ENSCPOG00000004387	Cavia_porcellus
ENSODEP00000016173	ENSODEG00000011903	Octodon_degus
ENSFDAP00000003907	ENSFDAG00000013243	Fukomys_damarensis
ENSPCIP00000054638	ENSPCIG00000032254	Phascolarctos_cinereus
ENSMAUP00000013953	ENSMAUG00000013853	Mesocricetus_auratus
ENSAMEP00000005708	ENSAMEG00000005411	Ailuropoda_melanoleuca
ENSECRP00000011360	ENSECRG00000007571	Erpetoichthys_calabaricus
ENSCMIP00000045892	ENSCMIG00000018909	Callorhinchus_milii
