ENSACAP00000000186	ENSACAG00000000189	Anolis_carolinensis
ENSPVIP00000019895	ENSPVIG00000015151	Pogona_vitticeps
ENSNSUP00000005959	ENSNSUG00000004781	Notechis_scutatus
ENSSMRP00000011452	ENSSMRG00000008998	Salvator_merianae
ENSSPUP00000001813	ENSSPUG00000001401	Sphenodon_punctatus
ENSCPGP00000010599	ENSCPGG00000007538	Calidris_pygmaea
ENSCPUP00000023540	ENSCPUG00000015983	Calidris_pugnax
ENSMUNP00000015631	ENSMUNG00000012055	Melopsittacus_undulatus
ENSLCOP00000006388	ENSLCOG00000004735	Lepidothrix_coronata
ENSMVIP00005023267	ENSMVIG00005016316	Manacus_vitellinus
ENSPMJP00000011366	ENSPMJG00000008822	Parus_major
ENSCCEP00000007138	ENSCCEG00000007550	Cyanistes_caeruleus
ENSFALP00000005391	ENSFALG00000005171	Ficedula_albicollis
ENSLSDP00000010991	ENSLSDG00000008092	Lonchura_striata_domestica
ENSTGUP00000000793	ENSTGUG00000000773	Taeniopygia_guttata
ENSSCAP00000024075	ENSSCAG00000017233	Serinus_canaria
ENSJHYP00000018114	ENSJHYG00000013810	Junco_hyemalis
ENSZALP00000006044	ENSZALG00000005563	Zonotrichia_albicollis
ENSMGAP00000000226	ENSMGAG00000000840	Meleagris_gallopavo
ENSCJPP00005005859	ENSCJPG00005005543	Coturnix_japonica
ENSNMEP00000013205	ENSNMEG00000012074	Numida_meleagris
ENSGALP00000064212	ENSGALG00000024326	Gallus_gallus
ENSABRP00000022232	ENSABRG00000018849	Anser_brachyrhynchus
ENSAPLP00000022032	ENSAPLG00000013250	Anas_platyrhynchos_platyrhynchos
ENSARWP00000025047	ENSARWG00000017060	Apteryx_rowi
ENSDNVP00000009373	ENSDNVG00000006619	Dromaius_novaehollandiae
ENSNPEP00000016264	ENSNPEG00000012102	Nothoprocta_perdicaria
ENSCPRP00005001189	ENSCPRG00005000913	Crocodylus_porosus
ENSCABP00000018280	ENSCABG00000013553	Chelonoidis_abingdonii
ENSGAGP00000000159	ENSGAGG00000000132	Gopherus_agassizii
ENSCPBP00000015070	ENSCPBG00000011175	Chrysemys_picta_bellii
ENSPSIP00000016015	ENSPSIG00000014268	Pelodiscus_sinensis
ENSPCIP00000012858	ENSPCIG00000010212	Phascolarctos_cinereus
ENSVURP00010028800	ENSVURG00010022042	Vombatus_ursinus
ENSMEUP00000003979	ENSMEUG00000004370	Notamacropus_eugenii
ENSSHAP00000009597	ENSSHAG00000008304	Sarcophilus_harrisii
ENSMODP00000005577	ENSMODG00000004521	Monodelphis_domestica
ENSDORP00000015725	ENSDORG00000016717	Dipodomys_ordii
ENSTBEP00000012716	ENSTBEG00000014664	Tupaia_belangeri
ENSPEMP00000000389	ENSPEMG00000000278	Peromyscus_maniculatus_bairdii
ENSMOCP00000000845	ENSMOCG00000000661	Microtus_ochrogaster
ENSCGRP00000019801	ENSCGRG00000014415	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001027006	ENSCGRG00001024141	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015010626	ENSCGRG00015008189	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008994	ENSMAUG00000010280	Mesocricetus_auratus
ENSMUSP00000034543	ENSMUSG00000032044	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000010452	ENSMSIG00000009157	Mus_spicilegus
MGP_SPRETEiJ_P0090766	MGP_SPRETEiJ_G0033078	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0087204	MGP_CAROLIEiJ_G0031954	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0022856	MGP_PahariEiJ_G0014819	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000015670	ENSRNOG00000011567	Rattus_norvegicus
ENSMUGP00000030042	ENSMUGG00000024953	Meriones_unguiculatus
ENSNGAP00000021761	ENSNGAG00000020847	Nannospalax_galili
ENSJJAP00000016983	ENSJJAG00000018673	Jaculus_jaculus
ENSCPOP00000013493	ENSCPOG00000014971	Cavia_porcellus
ENSCAPP00000003212	ENSCAPG00000006040	Cavia_aperea
ENSODEP00000006094	ENSODEG00000004577	Octodon_degus
ENSCLAP00000024112	ENSCLAG00000016553	Chinchilla_lanigera
ENSHGLP00100008569	ENSHGLG00100006385	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000003058	ENSHGLG00000002285	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005240	ENSFDAG00000014307	Fukomys_damarensis
ENSSDAP00000004865	ENSSDAG00000004552	Spermophilus_dauricus
ENSSDAP00000004873	ENSSDAG00000004574	Spermophilus_dauricus
ENSUPAP00010030380	ENSUPAG00010023860	Urocitellus_parryii
ENSSTOP00000017874	ENSSTOG00000025280	Ictidomys_tridecemlineatus
ENSMMMP00000001687	ENSMMMG00000001550	Marmota_marmota_marmota
ENSCCNP00000007490	ENSCCNG00000007990	Castor_canadensis
ENSPPAP00000040460	ENSPPAG00000042883	Pan_paniscus
ENSPTRP00000007605	ENSPTRG00000004454	Pan_troglodytes
ENSP00000298317	ENSG00000165526	Homo_sapiens
ENSGGOP00000016094	ENSGGOG00000016494	Gorilla_gorilla
ENSPPYP00000004622	ENSPPYG00000004043	Pongo_abelii
ENSNLEP00000009085	ENSNLEG00000007465	Nomascus_leucogenys
ENSPTEP00000002577	ENSPTEG00000003053	Piliocolobus_tephrosceles
ENSCANP00000032036	ENSCANG00000039684	Colobus_angolensis_palliatus
ENSRROP00000032171	ENSRROG00000039753	Rhinopithecus_roxellana
ENSRBIP00000021784	ENSRBIG00000034842	Rhinopithecus_bieti
ENSMMUP00000010413	ENSMMUG00000007933	Macaca_mulatta
ENSMFAP00000044292	ENSMFAG00000039513	Macaca_fascicularis
ENSMNEP00000006419	ENSMNEG00000027414	Macaca_nemestrina
ENSMLEP00000036708	ENSMLEG00000042461	Mandrillus_leucophaeus
ENSCATP00000037713	ENSCATG00000041570	Cercocebus_atys
ENSTGEP00000035413	ENSTGEG00000028178	Theropithecus_gelada
ENSPANP00000000286	ENSPANG00000015040	Papio_anubis
ENSCSAP00000015763	ENSCSAG00000002274	Chlorocebus_sabaeus
ENSCCAP00000019998	ENSCCAG00000027838	Cebus_capucinus_imitator
ENSCJAP00000065721	ENSCJAG00000042850	Callithrix_jacchus
ENSSBOP00000028042	ENSSBOG00000030413	Saimiri_boliviensis_boliviensis
ENSANAP00000012224	ENSANAG00000024050	Aotus_nancymaae
ENSTSYP00000007746	ENSTSYG00000008456	Carlito_syrichta
ENSPSMP00000010858	ENSPSMG00000007844	Prolemur_simus
ENSMICP00000014559	ENSMICG00000015979	Microcebus_murinus
ENSPCOP00000017723	ENSPCOG00000020694	Propithecus_coquereli
ENSOGAP00000007997	ENSOGAG00000008922	Otolemur_garnettii
ENSOCUP00000014640	ENSOCUG00000017039	Oryctolagus_cuniculus
ENSOPRP00000011985	ENSOPRG00000013141	Ochotona_princeps
ENSCHIP00000006024	ENSCHIG00000009975	Capra_hircus
ENSOARP00000013119	ENSOARG00000012238	Ovis_aries
ENSBTAP00000027843	ENSBTAG00000020900	Bos_taurus
ENSBMUP00000005525	ENSBMUG00000004336	Bos_mutus
ENSBIXP00000001317	ENSBIXG00000028682	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005043583	ENSBIXG00005005612	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000001834	ENSBBBG00000010938	Bison_bison_bison
ENSTTRP00000001465	ENSTTRG00000001555	Tursiops_truncatus
ENSSSCP00000016154	ENSSSCG00000015233	Sus_scrofa_strain_reference
ENSVPAP00000000982	ENSVPAG00000001066	Vicugna_pacos
ENSEASP00005033556	ENSEASG00005022982	Equus_asinus_asinus
ENSECAP00000000358	ENSECAG00000000557	Equus_caballus
ENSAMEP00000000137	ENSAMEG00000000127	Ailuropoda_melanoleuca
ENSAMEP00000006274	ENSAMEG00000005953	Ailuropoda_melanoleuca
ENSUAMP00000006250	ENSUAMG00000005503	Ursus_americanus
ENSUAMP00000006248	ENSUAMG00000005500	Ursus_americanus
ENSUMAP00000002492	ENSUMAG00000002219	Ursus_maritimus
ENSNVIP00000025699	ENSNVIG00000019884	Neovison_vison
ENSMPUP00000006555	ENSMPUG00000006608	Mustela_putorius_furo
ENSCAFP00000030997	ENSCAFG00000010488	Canis_lupus_familiaris
ENSCAFP00020013218	ENSCAFG00020010621	Canis_lupus_dingo
ENSVVUP00000027378	ENSVVUG00000020101	Vulpes_vulpes
ENSPTIP00000011742	ENSPTIG00000012059	Panthera_tigris_altaica
ENSPPRP00000008205	ENSPPRG00000003081	Panthera_pardus
ENSFCAP00000023396	ENSFCAG00000029789	Felis_catus
ENSMLUP00000015799	ENSMLUG00000017328	Myotis_lucifugus
ENSMLUP00000022585	ENSMLUG00000029348	Myotis_lucifugus
ENSPVAP00000000936	ENSPVAG00000000988	Pteropus_vampyrus
ENSEEUP00000012790	ENSEEUG00000014036	Erinaceus_europaeus
