ENSRBIP00000004634	ENSRBIG00000021139	Rhinopithecus_bieti	ENSRBIT00000023199
ENSCANP00000003586	ENSCANG00000012917	Colobus_angolensis_palliatus
ENSTGEP00000012698	ENSTGEG00000010372	Theropithecus_gelada
ENSCATP00000040892	ENSCATG00000043051	Cercocebus_atys
ENSMFAP00000010924	ENSMFAG00000011620	Macaca_fascicularis
ENSMNEP00000000308	ENSMNEG00000001317	Macaca_nemestrina
ENSPANP00000039469	ENSPANG00000032901	Papio_anubis
ENSRROP00000018106	ENSRROG00000033128	Rhinopithecus_roxellana
ENSPTRP00000076699	ENSPTRG00000050034	Pan_troglodytes
ENSGGOP00000030219	ENSGGOG00000039509	Gorilla_gorilla
ENSNLEP00000029846	ENSNLEG00000030184	Nomascus_leucogenys
ENSPSMP00000002790	ENSPSMG00000002226	Prolemur_simus
