ENSCPUP00000018338	ENSCPUG00000012531	Calidris_pugnax
ENSCPGP00000022834	ENSCPGG00000015844	Calidris_pygmaea
ENSCCEP00000005230	ENSCCEG00000005769	Cyanistes_caeruleus	ENSCCET00000008656
ENSCCEP00000004320	ENSCCEG00000004766	Cyanistes_caeruleus	ENSCCET00000007214
ENSPMJP00000015850	ENSPMJG00000012004	Parus_major	ENSPMJT00000020766
ENSFALP00000006587	ENSFALG00000006314	Ficedula_albicollis	ENSFALT00000006616
ENSLSDP00000002704	ENSLSDG00000002138	Lonchura_striata_domestica
ENSTGUP00000013981	ENSTGUG00000013579	Taeniopygia_guttata	ENSTGUT00000014140
ENSSCAP00000023268	ENSSCAG00000016662	Serinus_canaria	ENSSCAT00000025914
ENSJHYP00000012362	ENSJHYG00000009666	Junco_hyemalis	ENSJHYT00000014968
ENSZALP00000019428	ENSZALG00000015409	Zonotrichia_albicollis	ENSZALT00000025562
ENSLCOP00000004434	ENSLCOG00000003186	Lepidothrix_coronata
ENSMVIP00005007768	ENSMVIG00005005795	Manacus_vitellinus
ENSMUNP00000007643	ENSMUNG00000006119	Melopsittacus_undulatus
ENSABRP00000017967	ENSABRG00000015509	Anser_brachyrhynchus
ENSAPLP00000011437	ENSAPLG00000011625	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000015374	ENSMGAG00000014521	Meleagris_gallopavo
ENSMGAP00000019036	ENSMGAG00000017383	Meleagris_gallopavo
ENSGALP00000058092	ENSGALG00000036833	Gallus_gallus
ENSCJPP00005005761	ENSCJPG00005005407	Coturnix_japonica
ENSNMEP00000011923	ENSNMEG00000011170	Numida_meleagris
ENSNPEP00000012212	ENSNPEG00000009145	Nothoprocta_perdicaria
ENSNPEP00000012211	ENSNPEG00000009142	Nothoprocta_perdicaria
ENSAHAP00000027088	ENSAHAG00000018874	Apteryx_haastii
ENSARWP00000020053	ENSARWG00000013658	Apteryx_rowi
ENSAOWP00000013056	ENSAOWG00000008823	Apteryx_owenii
ENSDNVP00000021478	ENSDNVG00000014949	Dromaius_novaehollandiae
ENSCPRP00005020794	ENSCPRG00005014480	Crocodylus_porosus
