ENSPNAP00000036862	ENSPNAG00000028040	Pygocentrus_nattereri
ENSPRNP00000026934	ENSPRNG00000013505	Parambassis_ranga
ENSEEEP00000042415	ENSEEEG00000020025	Electrophorus_electricus
ENSPMEP00000022264	ENSPMEG00000003061	Poecilia_mexicana
ENSNBRP00000012459	ENSNBRG00000009736	Neolamprologus_brichardi
ENSCHAP00000026287	ENSCHAG00000012788	Clupea_harengus
ENSSPAP00000023733	ENSSPAG00000017915	Stegastes_partitus
ENSPLAP00000029474	ENSPLAG00000019723	Poecilia_latipinna
ENSPNYP00000018197	ENSPNYG00000013760	Pundamilia_nyererei
ENSCVAP00000021641	ENSCVAG00000003803	Cyprinodon_variegatus
ENSSLDP00000017195	ENSSLDG00000013594	Seriola_lalandi_dorsalis
ENSMMOP00000008706	ENSMMOG00000006735	Mola_mola
ENSPKIP00000022412	ENSPKIG00000006427	Paramormyrops_kingsleyae
ENSAMXP00000054287	ENSAMXG00000039460	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSHBUP00000009798	ENSHBUG00000011330	Haplochromis_burtoni
ENSHHUP00000033876	ENSHHUG00000021333	Hucho_hucho
ENSPREP00000020439	ENSPREG00000013822	Poecilia_reticulata
ENSHHUP00000006475	ENSHHUG00000003996	Hucho_hucho
ENSELUP00000023146	ENSELUG00000022144	Esox_lucius
ENSMALP00000006041	ENSMALG00000004330	Monopterus_albus
ENSLCRP00005007097	ENSLCRG00005003516	Larimichthys_crocea	ENSLCRT00005007339
ENSOMEP00000015599	ENSOMEG00000017205	Oryzias_melastigma
ENSGWIP00000029360	ENSGWIG00000015320	Gouania_willdenowi
ENSMZEP00005009057	ENSMZEG00005006868	Maylandia_zebra
ENSLBEP00000008055	ENSLBEG00000006227	Labrus_bergylta	ENSLBET00000008457
ENSLOCP00000004127	ENSLOCG00000003478	Lepisosteus_oculatus
ENSCSEP00000017676	ENSCSEG00000011348	Cynoglossus_semilaevis
ENSIPUP00000010359	ENSIPUG00000007064	Ictalurus_punctatus
ENSAOCP00000023001	ENSAOCG00000008807	Amphiprion_ocellaris
ENSDARP00000151510	ENSDARG00000099014	Danio_rerio
ENSATEP00000035567	ENSATEG00000024438	Anabas_testudineus	ENSATET00000036077
ENSIPUP00000000301	ENSIPUG00000000243	Ictalurus_punctatus
ENSBSLP00000056809	ENSBSLG00000026471	Betta_splendens
ENSXMAP00000020859	ENSXMAG00000020918	Xiphophorus_maculatus
ENSXCOP00000022531	ENSXCOG00000016629	Xiphophorus_couchianus
ENSAPEP00000025636	ENSAPEG00000018264	Amphiprion_percula
ENSORLP00020017965	ENSORLG00020018969	Oryzias_latipes_ASM223471v1
ENSDCDP00000030205	ENSDCDG00000021262	Denticeps_clupeoides
ENSHCOP00000022249	ENSHCOG00000009776	Hippocampus_comes
ENSACLP00000031806	ENSACLG00000021570	Astatotilapia_calliptera
ENSSFOP00015029297	ENSSFOG00015018840	Scleropages_formosus
ENSPMGP00000020860	ENSPMGG00000016913	Periophthalmus_magnuspinnatus
ENSMAMP00000000681	ENSMAMG00000000501	Mastacembelus_armatus	ENSMAMT00000000696
ENSFHEP00000014464	ENSFHEG00000016014	Fundulus_heteroclitus
ENSCGOP00000017199	ENSCGOG00000008241	Cottoperca_gobio
ENSSDUP00000016122	ENSSDUG00000011769	Seriola_dumerili
ENSORLP00015023565	ENSORLG00015003604	Oryzias_latipes_ASM223469v1
ENSKMAP00000029120	ENSKMAG00000021589	Kryptolebias_marmoratus
ENSACIP00000025601	ENSACIG00000019842	Amphilophus_citrinellus
ENSORLP00000036365	ENSORLG00000029915	Oryzias_latipes_ASM223467v1
ENSAPOP00000023032	ENSAPOG00000004572	Acanthochromis_polyacanthus
ENSGAFP00000000169	ENSGAFG00000000124	Gambusia_affinis
