ENSMGAP00000011729	ENSMGAG00000011231	Meleagris_gallopavo
ENSCJPP00005015494	ENSCJPG00005012836	Coturnix_japonica
ENSGALP00000067770	ENSGALG00000054787	Gallus_gallus
ENSNMEP00000010798	ENSNMEG00000010190	Numida_meleagris
ENSAPLP00000026205	ENSAPLG00000026179	Anas_platyrhynchos_platyrhynchos
ENSABRP00000003979	ENSABRG00000003680	Anser_brachyrhynchus
ENSCPUP00000014534	ENSCPUG00000010211	Calidris_pugnax
ENSCPGP00000000314	ENSCPGG00000000211	Calidris_pygmaea
ENSMUNP00000000838	ENSMUNG00000000763	Melopsittacus_undulatus
ENSZALP00000002289	ENSZALG00000002518	Zonotrichia_albicollis
ENSJHYP00000011746	ENSJHYG00000009170	Junco_hyemalis
ENSSCAP00000001064	ENSSCAG00000000836	Serinus_canaria
ENSTGUP00000003918	ENSTGUG00000003809	Taeniopygia_guttata
ENSLSDP00000011581	ENSLSDG00000008506	Lonchura_striata_domestica
ENSPMJP00000009437	ENSPMJG00000007541	Parus_major
ENSCCEP00000009036	ENSCCEG00000009230	Cyanistes_caeruleus
ENSLCOP00000019514	ENSLCOG00000013806	Lepidothrix_coronata
ENSMVIP00005019475	ENSMVIG00005013785	Manacus_vitellinus
ENSAHAP00000020377	ENSAHAG00000014345	Apteryx_haastii
ENSAOWP00000009898	ENSAOWG00000006736	Apteryx_owenii
ENSARWP00000019018	ENSARWG00000013059	Apteryx_rowi
ENSDNVP00000010180	ENSDNVG00000007115	Dromaius_novaehollandiae
ENSNPEP00000011974	ENSNPEG00000008963	Nothoprocta_perdicaria
ENSCPRP00005006969	ENSCPRG00005004937	Crocodylus_porosus
ENSGAGP00000007185	ENSGAGG00000005743	Gopherus_agassizii
ENSCABP00000021521	ENSCABG00000015860	Chelonoidis_abingdonii
ENSCPBP00000032445	ENSCPBG00000022747	Chrysemys_picta_bellii
ENSPSIP00000004679	ENSPSIG00000004381	Pelodiscus_sinensis
ENSPVIP00000006680	ENSPVIG00000005516	Pogona_vitticeps
ENSUAMP00000009163	ENSUAMG00000007642	Ursus_americanus
ENSUMAP00000020963	ENSUMAG00000015283	Ursus_maritimus
ENSNVIP00000004734	ENSNVIG00000003771	Neovison_vison
ENSMPUP00000012804	ENSMPUG00000012903	Mustela_putorius_furo
ENSCAFP00000039556	ENSCAFG00000004424	Canis_lupus_familiaris
ENSCAFP00020006994	ENSCAFG00020005672	Canis_lupus_dingo
ENSVVUP00000030412	ENSVVUG00000022169	Vulpes_vulpes
ENSPPRP00000016725	ENSPPRG00000008934	Panthera_pardus
ENSPTIP00000013995	ENSPTIG00000013534	Panthera_tigris_altaica
ENSFCAP00000052314	ENSFCAG00000027563	Felis_catus
ENSSARP00000004938	ENSSARG00000005469	Sorex_araneus
ENSOARP00000004594	ENSOARG00000004287	Ovis_aries
ENSCHIP00000005260	ENSCHIG00000009315	Capra_hircus
ENSBIXP00005043075	ENSBIXG00005002524	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000027587	ENSBIXG00000008491	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000053356	ENSBTAG00000044167	Bos_taurus
ENSBBBP00000009902	ENSBBBG00000018065	Bison_bison_bison
ENSBMUP00000024034	ENSBMUG00000018027	Bos_mutus
ENSTTRP00000005966	ENSTTRG00000006307	Tursiops_truncatus
ENSSSCP00000027293	ENSSSCG00000029268	Sus_scrofa_strain_reference
ENSVPAP00000001689	ENSVPAG00000001832	Vicugna_pacos
ENSPVAP00000012819	ENSPVAG00000013590	Pteropus_vampyrus
ENSMLUP00000001081	ENSMLUG00000001186	Myotis_lucifugus
ENSEASP00005011319	ENSEASG00005007956	Equus_asinus_asinus
ENSECAP00000051299	ENSECAG00000022033	Equus_caballus
ENSCPOP00000001735	ENSCPOG00000001921	Cavia_porcellus
ENSCAPP00000016204	ENSCAPG00000016147	Cavia_aperea
ENSCLAP00000023078	ENSCLAG00000015843	Chinchilla_lanigera
ENSHGLP00000023828	ENSHGLG00000016986	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005851	ENSHGLG00100004421	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008278	ENSFDAG00000006508	Fukomys_damarensis
ENSUPAP00010014867	ENSUPAG00010011889	Urocitellus_parryii
ENSSTOP00000015380	ENSSTOG00000027179	Ictidomys_tridecemlineatus
ENSMMMP00000010084	ENSMMMG00000008975	Marmota_marmota_marmota
ENSSDAP00000010015	ENSSDAG00000009128	Spermophilus_dauricus
ENSCCNP00000013386	ENSCCNG00000013886	Castor_canadensis
ENSDORP00000007633	ENSDORG00000008136	Dipodomys_ordii
ENSMUSP00000136304	ENSMUSG00000094985	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0094436	MGP_SPRETEiJ_G0033991	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000026867	ENSMSIG00000022649	Mus_spicilegus
MGP_CAROLIEiJ_P0090690	MGP_CAROLIEiJ_G0032843	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0026366	MGP_PahariEiJ_G0015709	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000032345	ENSRNOG00000025601	Rattus_norvegicus
ENSMUGP00000009517	ENSMUGG00000008471	Meriones_unguiculatus
ENSCGRP00015015103	ENSCGRG00015011544	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001013054	ENSCGRG00001014292	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000023878	ENSCGRG00000017300	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000019453	ENSMAUG00000017724	Mesocricetus_auratus
ENSMOCP00000011558	ENSMOCG00000011800	Microtus_ochrogaster
ENSPEMP00000009138	ENSPEMG00000010517	Peromyscus_maniculatus_bairdii
ENSNGAP00000013995	ENSNGAG00000015410	Nannospalax_galili
ENSJJAP00000012634	ENSJJAG00000015611	Jaculus_jaculus
ENSOCUP00000007781	ENSOCUG00000009016	Oryctolagus_cuniculus
ENSTBEP00000012994	ENSTBEG00000014979	Tupaia_belangeri
ENSPSMP00000032614	ENSPSMG00000022561	Prolemur_simus
ENSPCOP00000008912	ENSPCOG00000015773	Propithecus_coquereli
ENSMICP00000035933	ENSMICG00000033686	Microcebus_murinus
ENSOGAP00000016946	ENSOGAG00000033226	Otolemur_garnettii
ENSPTRP00000025535	ENSPTRG00000014813	Pan_troglodytes
ENSPPAP00000014653	ENSPPAG00000030482	Pan_paniscus
ENSP00000310303	ENSG00000173769	Homo_sapiens
ENSGGOP00000021471	ENSGGOG00000025876	Gorilla_gorilla
ENSPPYP00000015620	ENSPPYG00000013963	Pongo_abelii
ENSNLEP00000007180	ENSNLEG00000005926	Nomascus_leucogenys
ENSMMUP00000019824	ENSMMUG00000015127	Macaca_mulatta
ENSMNEP00000013874	ENSMNEG00000031144	Macaca_nemestrina
ENSMFAP00000006596	ENSMFAG00000040339	Macaca_fascicularis
ENSCATP00000039123	ENSCATG00000042211	Cercocebus_atys
ENSMLEP00000020467	ENSMLEG00000034440	Mandrillus_leucophaeus
ENSTGEP00000016815	ENSTGEG00000013593	Theropithecus_gelada
ENSPANP00000003734	ENSPANG00000019677	Papio_anubis
ENSCSAP00000012727	ENSCSAG00000016686	Chlorocebus_sabaeus
ENSCANP00000027372	ENSCANG00000037102	Colobus_angolensis_palliatus
ENSPTEP00000011520	ENSPTEG00000012971	Piliocolobus_tephrosceles
ENSRBIP00000028018	ENSRBIG00000037888	Rhinopithecus_bieti
ENSRROP00000015513	ENSRROG00000031934	Rhinopithecus_roxellana
ENSCCAP00000037408	ENSCCAG00000036560	Cebus_capucinus_imitator
ENSSBOP00000015787	ENSSBOG00000024621	Saimiri_boliviensis_boliviensis
ENSCJAP00000003164	ENSCJAG00000001760	Callithrix_jacchus
ENSANAP00000034204	ENSANAG00000034745	Aotus_nancymaae
ENSLAFP00000023793	ENSLAFG00000005642	Loxodonta_africana
ENSVURP00010024163	ENSVURG00010018480	Vombatus_ursinus
ENSVURP00010029963	ENSVURG00010022890	Vombatus_ursinus
ENSPCIP00000035376	ENSPCIG00000026161	Phascolarctos_cinereus
ENSSHAP00000020796	ENSSHAG00000017638	Sarcophilus_harrisii
ENSMODP00000040157	ENSMODG00000029231	Monodelphis_domestica
ENSXETP00000003350	ENSXETG00000004903	Xenopus_tropicalis
ENSLACP00000009005	ENSLACG00000007951	Latimeria_chalumnae
ENSAMXP00000048040	ENSAMXG00000042198	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005025437	ENSAMXG00005012906	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000005880	ENSPNAG00000002040	Pygocentrus_nattereri
ENSIPUP00000024814	ENSIPUG00000016795	Ictalurus_punctatus
ENSDARP00000139297	ENSDARG00000099801	Danio_rerio
ENSCHAP00000009296	ENSCHAG00000005439	Clupea_harengus
ENSHHUP00000046977	ENSHHUG00000028561	Hucho_hucho
ENSELUP00000043126	ENSELUG00000024619	Esox_lucius
ENSPMEP00000024623	ENSPMEG00000007044	Poecilia_mexicana
ENSPLAP00000013665	ENSPLAG00000017190	Poecilia_latipinna
ENSXMAP00000037811	ENSXMAG00000027488	Xiphophorus_maculatus
ENSFHEP00000015411	ENSFHEG00000017029	Fundulus_heteroclitus
ENSORLP00000039388	ENSORLG00000025699	Oryzias_latipes_ASM223467v1
ENSHCOP00000016869	ENSHCOG00000000553	Hippocampus_comes
ENSBSLP00000004542	ENSBSLG00000002423	Betta_splendens
ENSTRUP00000048643	ENSTRUG00000024505	Takifugu_rubripes
ENSACLP00000007950	ENSACLG00000005405	Astatotilapia_calliptera
ENSMZEP00005015580	ENSMZEG00005011692	Maylandia_zebra
ENSCSEP00000016518	ENSCSEG00000010622	Cynoglossus_semilaevis
ENSCGOP00000005242	ENSCGOG00000002778	Cottoperca_gobio
ENSLCRP00005021037	ENSLCRG00005008559	Larimichthys_crocea
ENSLBEP00000032643	ENSLBEG00000024593	Labrus_bergylta
ENSSMAP00000033849	ENSSMAG00000020708	Scophthalmus_maximus
ENSSDUP00000001800	ENSSDUG00000001401	Seriola_dumerili
ENSPKIP00000031962	ENSPKIG00000012229	Paramormyrops_kingsleyae
ENSLOCP00000001366	ENSLOCG00000001212	Lepisosteus_oculatus
ENSECRP00000027320	ENSECRG00000018494	Erpetoichthys_calabaricus
ENSCMIP00000033069	ENSCMIG00000014139	Callorhinchus_milii
