ENSARWP00000012384	ENSARWG00000008561	Apteryx_rowi	ENSARWT00000014116
ENSAHAP00000026268	ENSAHAG00000018310	Apteryx_haastii	ENSAHAT00000028940
ENSAOWP00000012385	ENSAOWG00000008477	Apteryx_owenii	ENSAOWT00000014081
ENSDNVP00000008389	ENSDNVG00000005964	Dromaius_novaehollandiae	ENSDNVT00000010117
ENSNPEP00000001625	ENSNPEG00000001260	Nothoprocta_perdicaria
ENSGALP00000056621	ENSGALG00000033098	Gallus_gallus
ENSCJPP00005012989	ENSCJPG00005010988	Coturnix_japonica
ENSNMEP00000005959	ENSNMEG00000006132	Numida_meleagris
ENSABRP00000006870	ENSABRG00000006314	Anser_brachyrhynchus
ENSAPLP00000020521	ENSAPLG00000011429	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000022360	ENSCPUG00000015183	Calidris_pugnax
ENSCPGP00000001789	ENSCPGG00000001351	Calidris_pygmaea
ENSMUNP00000017767	ENSMUNG00000013616	Melopsittacus_undulatus
ENSTGUP00000002328	ENSTGUG00000002256	Taeniopygia_guttata
ENSLSDP00000012701	ENSLSDG00000009274	Lonchura_striata_domestica
ENSZALP00000009857	ENSZALG00000008397	Zonotrichia_albicollis
ENSSCAP00000011380	ENSSCAG00000008550	Serinus_canaria
ENSFALP00000001997	ENSFALG00000001921	Ficedula_albicollis
ENSCCEP00000004038	ENSCCEG00000004496	Cyanistes_caeruleus
ENSPMJP00000021356	ENSPMJG00000015853	Parus_major
ENSMVIP00005013379	ENSMVIG00005009672	Manacus_vitellinus
ENSLCOP00000015954	ENSLCOG00000011392	Lepidothrix_coronata
ENSCPRP00005023276	ENSCPRG00005016159	Crocodylus_porosus
ENSCABP00000006683	ENSCABG00000005072	Chelonoidis_abingdonii
ENSGAGP00000006949	ENSGAGG00000005605	Gopherus_agassizii
ENSCPBP00000010090	ENSCPBG00000007769	Chrysemys_picta_bellii
ENSPSIP00000020330	ENSPSIG00000018000	Pelodiscus_sinensis
ENSACAP00000010402	ENSACAG00000010599	Anolis_carolinensis
ENSNSUP00000023573	ENSNSUG00000017065	Notechis_scutatus
ENSSMRP00000024356	ENSSMRG00000018883	Salvator_merianae
ENSSPUP00000019694	ENSSPUG00000015180	Sphenodon_punctatus
ENSPCIP00000024102	ENSPCIG00000018212	Phascolarctos_cinereus
ENSVURP00010001364	ENSVURG00010001150	Vombatus_ursinus
ENSMEUP00000006369	ENSMEUG00000006983	Notamacropus_eugenii
ENSMODP00000044325	ENSMODG00000039581	Monodelphis_domestica
ENSBMUP00000035307	ENSBMUG00000026260	Bos_mutus
ENSBTAP00000006486	ENSBTAG00000004929	Bos_taurus
ENSBBBP00000018944	ENSBBBG00000012071	Bison_bison_bison
ENSOARP00000010563	ENSOARG00000009848	Ovis_aries
ENSOARP00000009568	ENSOARG00000008911	Ovis_aries
ENSCHIP00000000739	ENSCHIG00000000538	Capra_hircus
ENSTTRP00000004066	ENSTTRG00000004327	Tursiops_truncatus
ENSSSCP00000038658	ENSSSCG00000040855	Sus_scrofa_strain_reference
ENSVPAP00000002354	ENSVPAG00000002551	Vicugna_pacos
ENSPVAP00000005885	ENSPVAG00000006225	Pteropus_vampyrus
ENSMLUP00000007223	ENSMLUG00000007915	Myotis_lucifugus
ENSSARP00000012045	ENSSARG00000013332	Sorex_araneus
ENSUAMP00000000899	ENSUAMG00000000855	Ursus_americanus
ENSUMAP00000009613	ENSUMAG00000007277	Ursus_maritimus
ENSAMEP00000016730	ENSAMEG00000015856	Ailuropoda_melanoleuca
ENSNVIP00000000348	ENSNVIG00000000336	Neovison_vison
ENSMPUP00000014357	ENSMPUG00000014467	Mustela_putorius_furo
ENSCAFP00000039435	ENSCAFG00000029142	Canis_lupus_familiaris
ENSCAFP00020014488	ENSCAFG00020011704	Canis_lupus_dingo
ENSVVUP00000002237	ENSVVUG00000001803	Vulpes_vulpes
ENSPTIP00000010149	ENSPTIG00000011017	Panthera_tigris_altaica
ENSPPRP00000027110	ENSPPRG00000018326	Panthera_pardus
ENSEEUP00000005117	ENSEEUG00000005631	Erinaceus_europaeus
ENSECAP00000014015	ENSECAG00000016437	Equus_caballus
ENSEASP00005019696	ENSEASG00005013553	Equus_asinus_asinus
ENSCCNP00000010643	ENSCCNG00000011092	Castor_canadensis
ENSDORP00000015356	ENSDORG00000016319	Dipodomys_ordii
MGP_SPRETEiJ_P0039487	MGP_SPRETEiJ_G0020525	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000030006	ENSMSIG00000025148	Mus_spicilegus
ENSMUSP00000038476	ENSMUSG00000041935	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0037726	MGP_CAROLIEiJ_G0019628	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0027242	MGP_PahariEiJ_G0016009	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000069531	ENSRNOG00000052775	Rattus_norvegicus
ENSMUGP00000026770	ENSMUGG00000022295	Meriones_unguiculatus
ENSCGRP00000009995	ENSCGRG00000007303	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001021294	ENSCGRG00001020182	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015025856	ENSCGRG00015019635	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000013276	ENSMAUG00000013375	Mesocricetus_auratus
ENSPEMP00000008326	ENSPEMG00000010011	Peromyscus_maniculatus_bairdii
ENSMOCP00000019814	ENSMOCG00000017689	Microtus_ochrogaster
ENSNGAP00000000036	ENSNGAG00000000034	Nannospalax_galili
ENSJJAP00000022050	ENSJJAG00000022223	Jaculus_jaculus
ENSJJAP00000021291	ENSJJAG00000021693	Jaculus_jaculus
ENSSTOP00000007421	ENSSTOG00000008291	Ictidomys_tridecemlineatus
ENSMMMP00000019569	ENSMMMG00000017296	Marmota_marmota_marmota
ENSSDAP00000006503	ENSSDAG00000006014	Spermophilus_dauricus
ENSUPAP00010006579	ENSUPAG00010005274	Urocitellus_parryii
ENSODEP00000003274	ENSODEG00000002517	Octodon_degus
ENSODEP00000009029	ENSODEG00000006751	Octodon_degus
ENSCPOP00000027482	ENSCPOG00000031496	Cavia_porcellus
ENSCAPP00000000222	ENSCAPG00000000186	Cavia_aperea
ENSCLAP00000013884	ENSCLAG00000009605	Chinchilla_lanigera
ENSHGLP00000006675	ENSHGLG00000004874	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011797	ENSHGLG00100008761	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000007615	ENSFDAG00000016077	Fukomys_damarensis
ENSOCUP00000007979	ENSOCUG00000009242	Oryctolagus_cuniculus
ENSOPRP00000004288	ENSOPRG00000004662	Ochotona_princeps
ENSPTRP00000091018	ENSPTRG00000051599	Pan_troglodytes
ENSPPAP00000007684	ENSPPAG00000027004	Pan_paniscus
ENSGGOP00000008948	ENSGGOG00000009157	Gorilla_gorilla
ENSP00000371061	ENSG00000205765	Homo_sapiens
ENSPPYP00000017239	ENSPPYG00000015429	Pongo_abelii
ENSNLEP00000029468	ENSNLEG00000029700	Nomascus_leucogenys
ENSRROP00000031983	ENSRROG00000039657	Rhinopithecus_roxellana
ENSRBIP00000032179	ENSRBIG00000039887	Rhinopithecus_bieti
ENSCANP00000018531	ENSCANG00000032716	Colobus_angolensis_palliatus
ENSPTEP00000019825	ENSPTEG00000021127	Piliocolobus_tephrosceles
ENSMFAP00000005177	ENSMFAG00000002268	Macaca_fascicularis
ENSMNEP00000002746	ENSMNEG00000012725	Macaca_nemestrina
ENSCSAP00000012857	ENSCSAG00000016803	Chlorocebus_sabaeus
ENSTGEP00000012564	ENSTGEG00000010261	Theropithecus_gelada
ENSPANP00000007386	ENSPANG00000003802	Papio_anubis
ENSCATP00000038378	ENSCATG00000041882	Cercocebus_atys
ENSMLEP00000031029	ENSMLEG00000039711	Mandrillus_leucophaeus
ENSCCAP00000022913	ENSCCAG00000029253	Cebus_capucinus_imitator
ENSSBOP00000014836	ENSSBOG00000024152	Saimiri_boliviensis_boliviensis
ENSCJAP00000002108	ENSCJAG00000056589	Callithrix_jacchus
