ENSOCUP00000008315	ENSOCUG00000009648	Oryctolagus_cuniculus
ENSOPRP00000002681	ENSOPRG00000002923	Ochotona_princeps
ENSTBEP00000012826	ENSTBEG00000014782	Tupaia_belangeri
ENSPTRP00000092615	ENSPTRG00000048338	Pan_troglodytes
ENSPPAP00000036865	ENSPPAG00000041195	Pan_paniscus
ENSP00000368511	ENSG00000165182	Homo_sapiens
ENSGGOP00000015860	ENSGGOG00000016257	Gorilla_gorilla
ENSPPYP00000022593	ENSPPYG00000020192	Pongo_abelii
ENSTGEP00000028450	ENSTGEG00000022897	Theropithecus_gelada
ENSPANP00000000554	ENSPANG00000017030	Papio_anubis
ENSMLEP00000014066	ENSMLEG00000031197	Mandrillus_leucophaeus
ENSMNEP00000045015	ENSMNEG00000045055	Macaca_nemestrina
ENSMFAP00000030747	ENSMFAG00000042561	Macaca_fascicularis
ENSMMUP00000079137	ENSMMUG00000064452	Macaca_mulatta
ENSCATP00000015267	ENSCATG00000031616	Cercocebus_atys
ENSCSAP00000010503	ENSCSAG00000014383	Chlorocebus_sabaeus
ENSRBIP00000004569	ENSRBIG00000020895	Rhinopithecus_bieti
ENSRROP00000009645	ENSRROG00000029252	Rhinopithecus_roxellana
ENSCANP00000022379	ENSCANG00000034626	Colobus_angolensis_palliatus
ENSSBOP00000013171	ENSSBOG00000023363	Saimiri_boliviensis_boliviensis
ENSCCAP00000015777	ENSCCAG00000025687	Cebus_capucinus_imitator
ENSCJAP00000048286	ENSCJAG00000032487	Callithrix_jacchus
ENSANAP00000012622	ENSANAG00000024246	Aotus_nancymaae
ENSTSYP00000009394	ENSTSYG00000010247	Carlito_syrichta
ENSPCOP00000003678	ENSPCOG00000011026	Propithecus_coquereli
ENSMICP00000037317	ENSMICG00000036290	Microcebus_murinus
ENSPSMP00000014917	ENSPSMG00000010677	Prolemur_simus
ENSPSMP00000003335	ENSPSMG00000002732	Prolemur_simus
ENSOGAP00000001753	ENSOGAG00000001963	Otolemur_garnettii
ENSMUSP00000158935	ENSMUSG00000118554	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000001783	ENSMSIG00000001699	Mus_spicilegus
ENSMUGP00000021167	ENSMUGG00000017839	Meriones_unguiculatus
ENSCGRP00015019304	ENSCGRG00015014823	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000030893	ENSPEMG00000026009	Peromyscus_maniculatus_bairdii
ENSCLAP00000001673	ENSCLAG00000001251	Chinchilla_lanigera
ENSUPAP00010000017	ENSUPAG00010000033	Urocitellus_parryii
ENSSTOP00000001960	ENSSTOG00000002201	Ictidomys_tridecemlineatus
ENSSDAP00000009788	ENSSDAG00000008901	Spermophilus_dauricus
ENSMMMP00000009558	ENSMMMG00000008519	Marmota_marmota_marmota
ENSCPOP00000021068	ENSCPOG00000014536	Cavia_porcellus
ENSCCNP00000019888	ENSCCNG00000019924	Castor_canadensis
ENSEASP00005006454	ENSEASG00005004770	Equus_asinus_asinus
ENSMLUP00000001535	ENSMLUG00000001671	Myotis_lucifugus
ENSECAP00000013122	ENSECAG00000015537	Equus_caballus
ENSPVAP00000002393	ENSPVAG00000002531	Pteropus_vampyrus
ENSUMAP00000015737	ENSUMAG00000011546	Ursus_maritimus
ENSUAMP00000027416	ENSUAMG00000021213	Ursus_americanus
ENSAMEP00000013413	ENSAMEG00000012745	Ailuropoda_melanoleuca
ENSNVIP00000000485	ENSNVIG00000000423	Neovison_vison
ENSMPUP00000000104	ENSMPUG00000000108	Mustela_putorius_furo
ENSCAFP00000047039	ENSCAFG00000013394	Canis_lupus_familiaris
ENSCAFP00020006646	ENSCAFG00020005375	Canis_lupus_dingo
ENSVVUP00000017291	ENSVVUG00000012739	Vulpes_vulpes
ENSPPRP00000025870	ENSPPRG00000016286	Panthera_pardus
ENSPTIP00000009189	ENSPTIG00000010347	Panthera_tigris_altaica
ENSFCAP00000000027	ENSFCAG00000000030	Felis_catus
ENSVPAP00000009933	ENSVPAG00000010670	Vicugna_pacos
ENSSSCP00000062485	ENSSSCG00000012175	Sus_scrofa_strain_reference
ENSOARP00000018192	ENSOARG00000016938	Ovis_aries
ENSCHIP00000001791	ENSCHIG00000003756	Capra_hircus
ENSBIXP00000002262	ENSBIXG00000008752	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005020488	ENSBIXG00005023583	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000029522	ENSBMUG00000022082	Bos_mutus
ENSBTAP00000041886	ENSBTAG00000010939	Bos_taurus
ENSTTRP00000011817	ENSTTRG00000012453	Tursiops_truncatus
ENSEEUP00000013299	ENSEEUG00000014585	Erinaceus_europaeus
ENSCHOP00000004244	ENSCHOG00000004791	Choloepus_hoffmanni
ENSDNOP00000005221	ENSDNOG00000006734	Dasypus_novemcinctus
ENSSARP00000009630	ENSSARG00000010658	Sorex_araneus
ENSPCAP00000004508	ENSPCAG00000004791	Procavia_capensis
ENSETEP00000003249	ENSETEG00000003964	Echinops_telfairi
ENSVURP00010014265	ENSVURG00010010951	Vombatus_ursinus
ENSPCIP00000032342	ENSPCIG00000024014	Phascolarctos_cinereus
ENSMEUP00000008051	ENSMEUG00000008823	Notamacropus_eugenii
ENSSHAP00000009633	ENSSHAG00000008334	Sarcophilus_harrisii
ENSMODP00000038346	ENSMODG00000025553	Monodelphis_domestica
ENSOANP00000030989	ENSOANG00000028526	Ornithorhynchus_anatinus
