ENSLCOP00000008405	ENSLCOG00000006160	Lepidothrix_coronata
ENSTGEP00000002624	ENSTGEG00000002275	Theropithecus_gelada
ENSARWP00000017995	ENSARWG00000012378	Apteryx_rowi
ENSBBBP00000008558	ENSBBBG00000016581	Bison_bison_bison
MGP_CAROLIEiJ_P0058298	MGP_CAROLIEiJ_G0025142	Mus_caroli_strain_CAROLI_EIJ
ENSSHAP00000019145	ENSSHAG00000016256	Sarcophilus_harrisii
ENSEASP00005026773	ENSEASG00005018253	Equus_asinus_asinus
ENSRNOP00000017798	ENSRNOG00000013294	Rattus_norvegicus
ENSDNOP00000032287	ENSDNOG00000032787	Dasypus_novemcinctus
ENSOARP00000006854	ENSOARG00000006400	Ovis_aries
ENSODEP00000012536	ENSODEG00000009290	Octodon_degus
ENSCHIP00000021868	ENSCHIG00000019998	Capra_hircus
ENSCJPP00005017114	ENSCJPG00005014002	Coturnix_japonica	ENSCJPT00005023907
ENSHGLP00000007658	ENSHGLG00000005553	Heterocephalus_glaber_HetGla_female_1.0
ENSMUSP00000103207	ENSMUSG00000028071	Mus_musculus_strain_reference_(CL57BL6)
ENSSARP00000010614	ENSSARG00000011738	Sorex_araneus
ENSAMEP00000015835	ENSAMEG00000015007	Ailuropoda_melanoleuca
ENSLSDP00000023138	ENSLSDG00000016290	Lonchura_striata_domestica
ENSBTAP00000043972	ENSBTAG00000024470	Bos_taurus
ENSMEUP00000009855	ENSMEUG00000010804	Notamacropus_eugenii
ENSCCEP00000009266	ENSCCEG00000009426	Cyanistes_caeruleus
ENSNMEP00000005739	ENSNMEG00000005932	Numida_meleagris	ENSNMET00000009747
ENSMLUP00000017267	ENSMLUG00000025811	Myotis_lucifugus
ENSOPRP00000000602	ENSOPRG00000000660	Ochotona_princeps
ENSPPAP00000013973	ENSPPAG00000030142	Pan_paniscus
ENSAPLP00000028296	ENSAPLG00000025783	Anas_platyrhynchos_platyrhynchos
ENSEEUP00000011394	ENSEEUG00000012495	Erinaceus_europaeus
ENSCPBP00000037971	ENSCPBG00000026299	Chrysemys_picta_bellii
ENSVVUP00000008147	ENSVVUG00000006136	Vulpes_vulpes
ENSECAP00000044244	ENSECAG00000021378	Equus_caballus
ENSPANP00000006467	ENSPANG00000008351	Papio_anubis
ENSGALP00000061618	ENSGALG00000044505	Gallus_gallus	ENSGALT00000089791
ENSGGOP00000013303	ENSGGOG00000013632	Gorilla_gorilla
ENSPVAP00000007092	ENSPVAG00000007514	Pteropus_vampyrus
ENSDORP00000020210	ENSDORG00000007691	Dipodomys_ordii
ENSETEP00000012976	ENSETEG00000015999	Echinops_telfairi
ENSBMUP00000020834	ENSBMUG00000015689	Bos_mutus
ENSMMUP00000053623	ENSMMUG00000010917	Macaca_mulatta
ENSCABP00000024073	ENSCABG00000017733	Chelonoidis_abingdonii
ENSMSIP00000026822	ENSMSIG00000022602	Mus_spicilegus
ENSMFAP00000004309	ENSMFAG00000001858	Macaca_fascicularis
ENSNGAP00000012984	ENSNGAG00000014692	Nannospalax_galili
ENSCAPP00000010293	ENSCAPG00000011584	Cavia_aperea
ENSMVIP00005014136	ENSMVIG00005010205	Manacus_vitellinus
ENSP00000376123	ENSG00000027869	Homo_sapiens
ENSMLEP00000037395	ENSMLEG00000042788	Mandrillus_leucophaeus
ENSSBOP00000040563	ENSSBOG00000036255	Saimiri_boliviensis_boliviensis
ENSUPAP00010005834	ENSUPAG00010004688	Urocitellus_parryii
ENSBIXP00005009506	ENSBIXG00005014382	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
MGP_PahariEiJ_P0069258	MGP_PahariEiJ_G0026585	Mus_pahari_strain_PAHARI_EIJ
ENSCPRP00005011120	ENSCPRG00005007946	Crocodylus_porosus
ENSDNVP00000020391	ENSDNVG00000014276	Dromaius_novaehollandiae
ENSPCIP00000032667	ENSPCIG00000024244	Phascolarctos_cinereus
ENSMGAP00000014982	ENSMGAG00000014165	Meleagris_gallopavo	ENSMGAT00000015926
ENSMOCP00000017688	ENSMOCG00000016198	Microtus_ochrogaster
ENSCPOP00000020996	ENSCPOG00000027450	Cavia_porcellus
ENSRROP00000018990	ENSRROG00000033520	Rhinopithecus_roxellana
ENSNVIP00000027351	ENSNVIG00000021143	Neovison_vison
ENSANAP00000012875	ENSANAG00000024368	Aotus_nancymaae
ENSPPYP00000000811	ENSPPYG00000000701	Pongo_abelii
ENSCGRP00000023381	ENSCGRG00000016931	Cricetulus_griseus_CriGri_1.0
ENSPSIP00000006865	ENSPSIG00000006295	Pelodiscus_sinensis
ENSMUGP00000029481	ENSMUGG00000024458	Meriones_unguiculatus
ENSSPUP00000001360	ENSSPUG00000001057	Sphenodon_punctatus
ENSUMAP00000024362	ENSUMAG00000017734	Ursus_maritimus
ENSSCAP00000002569	ENSSCAG00000002212	Serinus_canaria
ENSOGAP00000003087	ENSOGAG00000003467	Otolemur_garnettii
ENSTSYP00000032121	ENSTSYG00000031201	Carlito_syrichta
ENSSTOP00000021773	ENSSTOG00000020662	Ictidomys_tridecemlineatus
ENSMODP00000053411	ENSMODG00000016772	Monodelphis_domestica
ENSCJAP00000011483	ENSCJAG00000006232	Callithrix_jacchus
ENSJHYP00000015035	ENSJHYG00000011599	Junco_hyemalis
ENSRBIP00000036812	ENSRBIG00000041999	Rhinopithecus_bieti
ENSCANP00000025038	ENSCANG00000035940	Colobus_angolensis_palliatus
ENSSDAP00000025355	ENSSDAG00000023038	Spermophilus_dauricus
ENSSSCP00000033800	ENSSSCG00000006466	Sus_scrofa_strain_reference
ENSVURP00010018287	ENSVURG00010013954	Vombatus_ursinus
ENSXETP00000028394	ENSXETG00000008302	Xenopus_tropicalis
ENSTBEP00000014009	ENSTBEG00000016115	Tupaia_belangeri
ENSPSMP00000014294	ENSPSMG00000010250	Prolemur_simus
ENSCAFP00020006371	ENSCAFG00020005157	Canis_lupus_dingo
ENSAHAP00000000373	ENSAHAG00000000325	Apteryx_haastii
ENSCGRP00015034422	ENSCGRG00015025902	Cricetulus_griseus_CriGri-PICR
ENSMICP00000008167	ENSMICG00000008964	Microcebus_murinus
