ENSPSMP00000004125	ENSPSMG00000003309	Prolemur_simus	ENSPSMT00000004992
ENSPCOP00000000664	ENSPCOG00000002068	Propithecus_coquereli	ENSPCOT00000002298
ENSMICP00000027145	ENSMICG00000032367	Microcebus_murinus	ENSMICT00000029314
ENSOGAP00000002091	ENSOGAG00000002340	Otolemur_garnettii	ENSOGAT00000002343
ENSCJAP00000072048	ENSCJAG00000052049	Callithrix_jacchus	ENSCJAT00000091324
ENSCCAP00000017207	ENSCCAG00000026421	Cebus_capucinus_imitator	ENSCCAT00000034666
ENSSBOP00000020845	ENSSBOG00000026998	Saimiri_boliviensis_boliviensis
ENSANAP00000017771	ENSANAG00000026750	Aotus_nancymaae
ENSRBIP00000001738	ENSRBIG00000008818	Rhinopithecus_bieti
ENSRROP00000012254	ENSRROG00000030430	Rhinopithecus_roxellana
ENSCANP00000037127	ENSCANG00000042246	Colobus_angolensis_palliatus
ENSPTEP00000001858	ENSPTEG00000002107	Piliocolobus_tephrosceles
ENSMNEP00000020532	ENSMNEG00000034087	Macaca_nemestrina
ENSMFAP00000015394	ENSMFAG00000030937	Macaca_fascicularis
ENSMLEP00000010141	ENSMLEG00000029264	Mandrillus_leucophaeus
ENSCATP00000018402	ENSCATG00000033044	Cercocebus_atys
ENSPANP00000016887	ENSPANG00000016042	Papio_anubis
ENSTGEP00000010608	ENSTGEG00000008688	Theropithecus_gelada
ENSCSAP00000008967	ENSCSAG00000012789	Chlorocebus_sabaeus
ENSPPAP00000014259	ENSPPAG00000030283	Pan_paniscus
ENSPTRP00000022893	ENSPTRG00000013353	Pan_troglodytes
ENSP00000326309	ENSG00000180383	Homo_sapiens
ENSNLEP00000011652	ENSNLEG00000009576	Nomascus_leucogenys
ENSTSYP00000009872	ENSTSYG00000010777	Carlito_syrichta
ENSTBEP00000009246	ENSTBEG00000010708	Tupaia_belangeri
ENSUPAP00010023865	ENSUPAG00010018933	Urocitellus_parryii
ENSMMMP00000027268	ENSMMMG00000023816	Marmota_marmota_marmota
ENSSTOP00000004115	ENSSTOG00000004601	Ictidomys_tridecemlineatus
ENSSDAP00000010772	ENSSDAG00000009739	Spermophilus_dauricus
ENSCCNP00000018741	ENSCCNG00000018945	Castor_canadensis
MGP_SPRETEiJ_P0057390	MGP_SPRETEiJ_G0025388	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000001532	ENSMSIG00000001482	Mus_spicilegus
ENSMUSP00000096809	ENSMUSG00000074678	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0055247	MGP_CAROLIEiJ_G0024467	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0066228	MGP_PahariEiJ_G0025910	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000052274	ENSRNOG00000036895	Rattus_norvegicus
ENSMUGP00000025764	ENSMUGG00000021497	Meriones_unguiculatus
ENSCGRP00015004778	ENSCGRG00015003747	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001008994	ENSCGRG00001011165	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000002717	ENSMAUG00000002438	Mesocricetus_auratus
ENSPEMP00000037076	ENSPEMG00000026599	Peromyscus_maniculatus_bairdii
ENSMOCP00000022252	ENSMOCG00000019351	Microtus_ochrogaster
ENSNGAP00000024037	ENSNGAG00000022418	Nannospalax_galili
ENSODEP00000016235	ENSODEG00000011947	Octodon_degus
ENSCLAP00000025117	ENSCLAG00000017251	Chinchilla_lanigera
ENSCAPP00000001290	ENSCAPG00000002410	Cavia_aperea
ENSCPOP00000002178	ENSCPOG00000002395	Cavia_porcellus
ENSHGLP00000023310	ENSHGLG00000016619	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010565	ENSHGLG00100007854	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016399	ENSFDAG00000004884	Fukomys_damarensis
ENSOCUP00000008597	ENSOCUG00000009984	Oryctolagus_cuniculus
ENSOPRP00000007859	ENSOPRG00000008597	Ochotona_princeps
ENSCAFP00020005095	ENSCAFG00020004191	Canis_lupus_dingo
ENSCAFP00000034176	ENSCAFG00000024871	Canis_lupus_familiaris
ENSVVUP00000011363	ENSVVUG00000008369	Vulpes_vulpes
ENSUMAP00000000866	ENSUMAG00000000903	Ursus_maritimus
ENSUAMP00000030616	ENSUAMG00000023509	Ursus_americanus
ENSAMEP00000014494	ENSAMEG00000013765	Ailuropoda_melanoleuca
ENSNVIP00000024887	ENSNVIG00000019288	Neovison_vison
ENSPPRP00000001468	ENSPPRG00000024099	Panthera_pardus
ENSPTIP00000018681	ENSPTIG00000016731	Panthera_tigris_altaica
ENSFCAP00000013595	ENSFCAG00000014658	Felis_catus
ENSEEUP00000009114	ENSEEUG00000010011	Erinaceus_europaeus
ENSECAP00000014605	ENSECAG00000017028	Equus_caballus
ENSEASP00005004846	ENSEASG00005003654	Equus_asinus_asinus
ENSPVAP00000007798	ENSPVAG00000008255	Pteropus_vampyrus
ENSCHIP00000026684	ENSCHIG00000022925	Capra_hircus
ENSOARP00000000713	ENSOARG00000000696	Ovis_aries
ENSBIXP00000037427	ENSBIXG00000020981	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005023026	ENSBIXG00005025806	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000020245	ENSBMUG00000015264	Bos_mutus
ENSBTAP00000041772	ENSBTAG00000031254	Bos_taurus
ENSBBBP00000000777	ENSBBBG00000009927	Bison_bison_bison
ENSSSCP00000028276	ENSSSCG00000030733	Sus_scrofa_strain_reference
ENSVPAP00000005645	ENSVPAG00000006088	Vicugna_pacos
ENSTTRP00000005469	ENSTTRG00000005806	Tursiops_truncatus
ENSMLUP00000016673	ENSMLUG00000029687	Myotis_lucifugus
ENSDNOP00000019737	ENSDNOG00000032850	Dasypus_novemcinctus	ENSDNOT00000030306
ENSCHOP00000001624	ENSCHOG00000001845	Choloepus_hoffmanni	ENSCHOT00000001850
ENSLAFP00000000096	ENSLAFG00000000117	Loxodonta_africana	ENSLAFT00000000116
ENSETEP00000002333	ENSETEG00000002855	Echinops_telfairi	ENSETET00000002853
