ENSGAFP00000022233	ENSGAFG00000015014	Gambusia_affinis	ENSGAFT00000022449
ENSPREP00000022276	ENSPREG00000015041	Poecilia_reticulata	ENSPRET00000022508
ENSLBEP00000018967	ENSLBEG00000014587	Labrus_bergylta	ENSLBET00000019997
ENSMFAP00000024175	ENSMFAG00000043683	Macaca_fascicularis
ENSMNEP00000045419	ENSMNEG00000045233	Macaca_nemestrina
ENSCATP00000030662	ENSCATG00000038493	Cercocebus_atys
ENSTGEP00000019299	ENSTGEG00000015531	Theropithecus_gelada
ENSMLEP00000020898	ENSMLEG00000034662	Mandrillus_leucophaeus
ENSRBIP00000024969	ENSRBIG00000036389	Rhinopithecus_bieti
ENSPPAP00000042494	ENSPPAG00000043815	Pan_paniscus
ENSPTRP00000081190	ENSPTRG00000048974	Pan_troglodytes
ENSCCAP00000003193	ENSCCAG00000017770	Cebus_capucinus_imitator
ENSVVUP00000033188	ENSVVUG00000024007	Vulpes_vulpes
ENSNMEP00000012835	ENSNMEG00000011799	Numida_meleagris
