FBpp0085954	FBgn0034310	Drosophila_melanogaster	FBtr0086775
T01G9.4.2	WBGene00003788	Caenorhabditis_elegans_strain_N2	T01G9.4.2
ENSEBUP00000008167	ENSEBUG00000005299	Eptatretus_burgeri	ENSEBUT00000008661
ENSEBUP00000020915	ENSEBUG00000012927	Eptatretus_burgeri	ENSEBUT00000021491
ENSPMAP00000002545	ENSPMAG00000002326	Petromyzon_marinus	ENSPMAT00000002557
ENSDNOP00000014375	ENSDNOG00000018516	Dasypus_novemcinctus
ENSCHOP00000001194	ENSCHOG00000001340	Choloepus_hoffmanni
ENSETEP00000016213	ENSETEG00000019962	Echinops_telfairi
ENSMICP00000006887	ENSMICG00000007562	Microcebus_murinus
ENSPSMP00000001979	ENSPSMG00000001484	Prolemur_simus
ENSPCOP00000001800	ENSPCOG00000005578	Propithecus_coquereli
ENSOGAP00000001434	ENSOGAG00000001612	Otolemur_garnettii
ENSPPAP00000004163	ENSPPAG00000017632	Pan_paniscus
ENSPTRP00000064378	ENSPTRG00000009637	Pan_troglodytes
ENSP00000245544	ENSG00000125450	Homo_sapiens
ENSGGOP00000006299	ENSGGOG00000006439	Gorilla_gorilla
ENSPPYP00000009681	ENSPPYG00000008621	Pongo_abelii
ENSNLEP00000035250	ENSNLEG00000000651	Nomascus_leucogenys
ENSMLEP00000024338	ENSMLEG00000036306	Mandrillus_leucophaeus
ENSCATP00000019121	ENSCATG00000033341	Cercocebus_atys
ENSTGEP00000000020	ENSTGEG00000000045	Theropithecus_gelada
ENSMFAP00000029168	ENSMFAG00000041786	Macaca_fascicularis
ENSMMUP00000058994	ENSMMUG00000018018	Macaca_mulatta
ENSMNEP00000043680	ENSMNEG00000044484	Macaca_nemestrina
ENSPANP00000016114	ENSPANG00000020187	Papio_anubis
ENSCSAP00000001045	ENSCSAG00000004716	Chlorocebus_sabaeus
ENSRBIP00000001270	ENSRBIG00000006462	Rhinopithecus_bieti
ENSRROP00000020261	ENSRROG00000034070	Rhinopithecus_roxellana
ENSCANP00000040399	ENSCANG00000043882	Colobus_angolensis_palliatus
ENSPTEP00000043781	ENSPTEG00000039799	Piliocolobus_tephrosceles
ENSCCAP00000026093	ENSCCAG00000030795	Cebus_capucinus_imitator
ENSSBOP00000014799	ENSSBOG00000024111	Saimiri_boliviensis_boliviensis
ENSCJAP00000026771	ENSCJAG00000014508	Callithrix_jacchus
ENSANAP00000028792	ENSANAG00000032152	Aotus_nancymaae
ENSTBEP00000001930	ENSTBEG00000002209	Tupaia_belangeri
ENSOPRP00000009968	ENSOPRG00000010899	Ochotona_princeps
ENSOCUP00000040946	ENSOCUG00000006648	Oryctolagus_cuniculus
MGP_PahariEiJ_P0037671	MGP_PahariEiJ_G0018539	Mus_pahari_strain_PAHARI_EIJ
ENSCGRP00015012509	ENSCGRG00015009564	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001024856	ENSCGRG00001022632	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000020579	ENSCGRG00000014975	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000023366	ENSMAUG00000020536	Mesocricetus_auratus
ENSMOCP00000020751	ENSMOCG00000018333	Microtus_ochrogaster
ENSPEMP00000002257	ENSPEMG00000002271	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0032388	MGP_SPRETEiJ_G0018254	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000021085	ENSMUSG00000020739	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000033923	ENSMSIG00000028322	Mus_spicilegus
MGP_CAROLIEiJ_P0030943	MGP_CAROLIEiJ_G0017409	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000005035	ENSRNOG00000003673	Rattus_norvegicus
ENSMUGP00000027174	ENSMUGG00000022624	Meriones_unguiculatus
ENSNGAP00000007863	ENSNGAG00000011000	Nannospalax_galili
ENSJJAP00000000674	ENSJJAG00000000528	Jaculus_jaculus
ENSCCNP00000025882	ENSCCNG00000025193	Castor_canadensis
ENSUPAP00010030554	ENSUPAG00010023987	Urocitellus_parryii
ENSSTOP00000013601	ENSSTOG00000015175	Ictidomys_tridecemlineatus
ENSSDAP00000005673	ENSSDAG00000005270	Spermophilus_dauricus
ENSMMMP00000012247	ENSMMMG00000010923	Marmota_marmota_marmota
ENSCPOP00000030117	ENSCPOG00000040037	Cavia_porcellus
ENSCAPP00000012372	ENSCAPG00000013257	Cavia_aperea
ENSCCNP00000025820	ENSCCNG00000025151	Castor_canadensis
ENSDORP00000004808	ENSDORG00000005137	Dipodomys_ordii
ENSCLAP00000007208	ENSCLAG00000005075	Chinchilla_lanigera
ENSODEP00000015153	ENSODEG00000011190	Octodon_degus
ENSCPOP00000001069	ENSCPOG00000001185	Cavia_porcellus
ENSCAPP00000006003	ENSCAPG00000008178	Cavia_aperea
ENSHGLP00000015450	ENSHGLG00000011048	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025780	ENSHGLG00100018908	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008848	ENSFDAG00000017024	Fukomys_damarensis
ENSTSYP00000022553	ENSTSYG00000010481	Carlito_syrichta
ENSEASP00005000422	ENSEASG00005000412	Equus_asinus_asinus
ENSECAP00000017117	ENSECAG00000019159	Equus_caballus
ENSUMAP00000011492	ENSUMAG00000008643	Ursus_maritimus
ENSUAMP00000013028	ENSUAMG00000010511	Ursus_americanus
ENSAMEP00000009705	ENSAMEG00000009192	Ailuropoda_melanoleuca
ENSMPUP00000013846	ENSMPUG00000013951	Mustela_putorius_furo
ENSNVIP00000013343	ENSNVIG00000010508	Neovison_vison
ENSCAFP00020000133	ENSCAFG00020000147	Canis_lupus_dingo
ENSCAFP00000007050	ENSCAFG00000004729	Canis_lupus_familiaris
ENSVVUP00000015296	ENSVVUG00000011209	Vulpes_vulpes
ENSPPRP00000028872	ENSPPRG00000021452	Panthera_pardus
ENSPTIP00000017860	ENSPTIG00000016127	Panthera_tigris_altaica
ENSFCAP00000013463	ENSFCAG00000014513	Felis_catus
ENSEEUP00000014322	ENSEEUG00000015676	Erinaceus_europaeus
ENSMLUP00000013862	ENSMLUG00000015211	Myotis_lucifugus
ENSPVAP00000007960	ENSPVAG00000008429	Pteropus_vampyrus
ENSSARP00000007282	ENSSARG00000008043	Sorex_araneus
