ENSEASP00005011029	ENSEASG00005007749	Equus_asinus_asinus
ENSAMEP00000019739	ENSAMEG00000018688	Ailuropoda_melanoleuca
ENSTSYP00000012420	ENSTSYG00000013540	Carlito_syrichta
ENSCGRP00015021076	ENSCGRG00015016084	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000001430	ENSMAUG00000001072	Mesocricetus_auratus
ENSPPRP00000005061	ENSPPRG00000000948	Panthera_pardus
ENSBMUP00000031127	ENSBMUG00000023235	Bos_mutus
MGP_SPRETEiJ_P0074971	MGP_SPRETEiJ_G0029015	Mus_spretus_strain_SPRET/EiJ
ENSSDAP00000012492	ENSSDAG00000011260	Spermophilus_dauricus
ENSPPYP00000019477	ENSPPYG00000017381	Pongo_abelii
ENSMLEP00000031648	ENSMLEG00000040037	Mandrillus_leucophaeus
ENSPSMP00000006290	ENSPSMG00000004745	Prolemur_simus
ENSMMUP00000050199	ENSMMUG00000020140	Macaca_mulatta
ENSNGAP00000025496	ENSNGAG00000023424	Nannospalax_galili
ENSPTIP00000023736	ENSPTIG00000020093	Panthera_tigris_altaica
ENSFDAP00000019262	ENSFDAG00000009270	Fukomys_damarensis
ENSCGRP00001013938	ENSCGRG00001014948	Cricetulus_griseus_CHOK1GS_HDv1
ENSSSCP00000036557	ENSSSCG00000036665	Sus_scrofa_strain_reference
ENSVVUP00000011922	ENSVVUG00000008797	Vulpes_vulpes
ENSPTEP00000006441	ENSPTEG00000007379	Piliocolobus_tephrosceles
ENSBIXP00000000294	ENSBIXG00000030000	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCATP00000040118	ENSCATG00000042636	Cercocebus_atys
ENSSBOP00000019154	ENSSBOG00000026184	Saimiri_boliviensis_boliviensis
ENSSDAP00000012485	ENSSDAG00000011252	Spermophilus_dauricus
ENSTGEP00000015410	ENSTGEG00000012475	Theropithecus_gelada
ENSCSAP00000013820	ENSCSAG00000017799	Chlorocebus_sabaeus
ENSCHOP00000003174	ENSCHOG00000003582	Choloepus_hoffmanni
ENSPTEP00000006975	ENSPTEG00000007987	Piliocolobus_tephrosceles
MGP_CAROLIEiJ_P0072151	MGP_CAROLIEiJ_G0028014	Mus_caroli_strain_CAROLI_EIJ
ENSPANP00000012054	ENSPANG00000009919	Papio_anubis
ENSMMMP00000005846	ENSMMMG00000005254	Marmota_marmota_marmota
ENSANAP00000026166	ENSANAG00000030792	Aotus_nancymaae
ENSRROP00000020276	ENSRROG00000034088	Rhinopithecus_roxellana
ENSUPAP00010009876	ENSUPAG00010008010	Urocitellus_parryii
ENSPTRP00000073159	ENSPTRG00000019456	Pan_troglodytes
ENSEEUP00000000848	ENSEEUG00000000946	Erinaceus_europaeus
