ENSAMEP00000018884	ENSAMEG00000017867	Ailuropoda_melanoleuca
ENSACLP00000039160	ENSACLG00000026385	Astatotilapia_calliptera
ENSMNEP00000045008	ENSMNEG00000045038	Macaca_nemestrina
ENSUAMP00000025894	ENSUAMG00000020109	Ursus_americanus
ENSHBUP00000026995	ENSHBUG00000000257	Haplochromis_burtoni
ENSMGAP00000017808	ENSMGAG00000012147	Meleagris_gallopavo
ENSCGRP00000006717	ENSCGRG00000004906	Cricetulus_griseus_CriGri_1.0
ENSAOWP00000018659	ENSAOWG00000012696	Apteryx_owenii
ENSVPAP00000002145	ENSVPAG00000002316	Vicugna_pacos
ENSPMAP00000001550	ENSPMAG00000001371	Petromyzon_marinus
ENSSTOP00000008449	ENSSTOG00000009402	Ictidomys_tridecemlineatus
ENSMAMP00000032039	ENSMAMG00000021548	Mastacembelus_armatus
ENSJHYP00000011315	ENSJHYG00000008859	Junco_hyemalis
ENSHGLP00000012408	ENSHGLG00000008865	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000014636	ENSFDAG00000001979	Fukomys_damarensis
ENSUMAP00000007982	ENSUMAG00000006129	Ursus_maritimus
ENSCLAP00000005726	ENSCLAG00000004058	Chinchilla_lanigera
ENSABRP00000013617	ENSABRG00000012000	Anser_brachyrhynchus
ENSPMEP00000017984	ENSPMEG00000020980	Poecilia_mexicana
ENSOPRP00000008344	ENSOPRG00000009098	Ochotona_princeps
ENSTSYP00000000566	ENSTSYG00000000612	Carlito_syrichta
ENSMUGP00000020358	ENSMUGG00000017004	Meriones_unguiculatus
ENSACAP00000009567	ENSACAG00000009703	Anolis_carolinensis	ENSACAT00000009764
ENSSSCP00000011991	ENSSSCG00000011245	Sus_scrofa_strain_reference
ENSETEP00000009763	ENSETEG00000012025	Echinops_telfairi
ENSUPAP00010007648	ENSUPAG00010006117	Urocitellus_parryii
ENSAHAP00000008096	ENSAHAG00000005996	Apteryx_haastii
ENSLBEP00000021193	ENSLBEG00000016267	Labrus_bergylta
ENSSHAP00000012540	ENSSHAG00000010736	Sarcophilus_harrisii
ENSGAGP00000033916	ENSGAGG00000024116	Gopherus_agassizii
ENSCGRP00001011441	ENSCGRG00001013074	Cricetulus_griseus_CHOK1GS_HDv1
ENSEEEP00000046293	ENSEEEG00000021804	Electrophorus_electricus
ENSHGLP00100007646	ENSHGLG00100005712	Heterocephalus_glaber_HetGla_1.0
ENSAHAP00000006746	ENSAHAG00000004919	Apteryx_haastii
ENSCSEP00000019283	ENSCSEG00000012325	Cynoglossus_semilaevis
ENSBIXP00000028073	ENSBIXG00000009139	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGAFP00000010062	ENSGAFG00000006825	Gambusia_affinis
ENSMMMP00000012665	ENSMMMG00000011265	Marmota_marmota_marmota
ENSTGEP00000024347	ENSTGEG00000019683	Theropithecus_gelada
ENSAMXP00005001384	ENSAMXG00005000770	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSXCOP00000015422	ENSXCOG00000011674	Xiphophorus_couchianus
ENSOMEP00000021994	ENSOMEG00000001313	Oryzias_melastigma
ENSCATP00000011518	ENSCATG00000029950	Cercocebus_atys
ENSSBOP00000026118	ENSSBOG00000029467	Saimiri_boliviensis_boliviensis
ENSACIP00000028140	ENSACIG00000021762	Amphilophus_citrinellus
ENSNMEP00000022841	ENSNMEG00000019506	Numida_meleagris
ENSEEUP00000001493	ENSEEUG00000001632	Erinaceus_europaeus
ENSMEUP00000002599	ENSMEUG00000002844	Notamacropus_eugenii
ENSMLEP00000035325	ENSMLEG00000041803	Mandrillus_leucophaeus
ENSNGAP00000010614	ENSNGAG00000012967	Nannospalax_galili
ENSONIP00000012404	ENSONIG00000009870	Oreochromis_niloticus
ENSSDAP00000006787	ENSSDAG00000006236	Spermophilus_dauricus
ENSCJPP00005007218	ENSCJPG00005006548	Coturnix_japonica
ENSTGUP00000001965	ENSTGUG00000001897	Taeniopygia_guttata
ENSSMAP00000013641	ENSSMAG00000008347	Scophthalmus_maximus
ENSSDUP00000008467	ENSSDUG00000006163	Seriola_dumerili
ENSMFAP00000006825	ENSMFAG00000040607	Macaca_fascicularis
ENSCJPP00005007607	ENSCJPG00005006967	Coturnix_japonica
ENSMVIP00005013631	ENSMVIG00005009716	Manacus_vitellinus
ENSCHIP00000023762	ENSCHIG00000021157	Capra_hircus
ENSMALP00000002645	ENSMALG00000001913	Monopterus_albus
ENSUAMP00000029346	ENSUAMG00000022613	Ursus_americanus
ENSCHOP00000005926	ENSCHOG00000006685	Choloepus_hoffmanni
ENSTNIP00000019712	ENSTNIG00000016607	Tetraodon_nigroviridis
ENSDCDP00000015789	ENSDCDG00000012721	Denticeps_clupeoides
ENSHHUP00000062892	ENSHHUG00000037147	Hucho_hucho
ENSHHUP00000088677	ENSHHUG00000051201	Hucho_hucho
ENSOCUP00000027590	ENSOCUG00000026630	Oryctolagus_cuniculus
ENSOGAP00000003964	ENSOGAG00000004436	Otolemur_garnettii
ENSCABP00000027272	ENSCABG00000020019	Chelonoidis_abingdonii
ENSCMIP00000024583	ENSCMIG00000010823	Callorhinchus_milii
ENSLCAP00010045213	ENSLCAG00010020872	Lates_calcarifer
ENSCCNP00000016991	ENSCCNG00000017085	Castor_canadensis
MGP_CAROLIEiJ_P0090509	MGP_CAROLIEiJ_G0032789	Mus_caroli_strain_CAROLI_EIJ
ENSOANP00000018384	ENSOANG00000011605	Ornithorhynchus_anatinus
ENSRNOP00000015113	ENSRNOG00000043167	Rattus_norvegicus
ENSVVUP00000008749	ENSVVUG00000006540	Vulpes_vulpes
ENSOANP00000029383	ENSOANG00000031174	Ornithorhynchus_anatinus
ENSMZEP00005008911	ENSMZEG00005006723	Maylandia_zebra
