ENSIPUP00000030272	ENSIPUG00000020444	Ictalurus_punctatus	ENSIPUT00000031489
ENSSLDP00000005022	ENSSLDG00000004007	Seriola_lalandi_dorsalis
ENSMZEP00005028882	ENSMZEG00005021545	Maylandia_zebra
ENSLCAP00010053168	ENSLCAG00010024725	Lates_calcarifer
ENSSMAP00000002131	ENSSMAG00000001313	Scophthalmus_maximus
ENSXCOP00000021615	ENSXCOG00000016159	Xiphophorus_couchianus
ENSAMXP00005016277	ENSAMXG00005008468	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPMGP00000010466	ENSPMGG00000008654	Periophthalmus_magnuspinnatus
ENSSDUP00000008452	ENSSDUG00000006205	Seriola_dumerili
ENSHCOP00000001443	ENSHCOG00000002407	Hippocampus_comes
ENSATEP00000010288	ENSATEG00000007220	Anabas_testudineus
ENSORLP00000010261	ENSORLG00000008172	Oryzias_latipes_ASM223467v1
ENSTRUP00000056814	ENSTRUG00000007598	Takifugu_rubripes
ENSSFOP00015019198	ENSSFOG00015012345	Scleropages_formosus
ENSMALP00000004441	ENSMALG00000003210	Monopterus_albus
ENSPKIP00000031001	ENSPKIG00000011676	Paramormyrops_kingsleyae
ENSXMAP00000029840	ENSXMAG00000026428	Xiphophorus_maculatus
ENSPNYP00000022004	ENSPNYG00000016623	Pundamilia_nyererei
ENSCINP00000022037	ENSCING00000011567	Ciona_intestinalis
ENSCGOP00000043406	ENSCGOG00000019563	Cottoperca_gobio
ENSPMEP00000030147	ENSPMEG00000016382	Poecilia_mexicana
ENSEEEP00000045525	ENSEEEG00000021481	Electrophorus_electricus	ENSEEET00000046032
ENSELUP00000009391	ENSELUG00000009971	Esox_lucius
ENSPFOP00000004254	ENSPFOG00000004405	Poecilia_formosa
ENSTNIP00000020999	ENSTNIG00000017840	Tetraodon_nigroviridis
ENSGMOP00000000678	ENSGMOG00000000682	Gadus_morhua
ENSCSAVP00000006830	ENSCSAVG00000004076	Ciona_savignyi
ENSACIP00000010236	ENSACIG00000008022	Amphilophus_citrinellus
ENSAOCP00000018876	ENSAOCG00000024070	Amphiprion_ocellaris
ENSGACP00000002092	ENSGACG00000001602	Gasterosteus_aculeatus
ENSACLP00000000852	ENSACLG00000000629	Astatotilapia_calliptera
ENSHBUP00000000049	ENSHBUG00000001199	Haplochromis_burtoni
ENSDARP00000037304	ENSDARG00000024846	Danio_rerio
ENSLOCP00000005869	ENSLOCG00000004879	Lepisosteus_oculatus
ENSMMOP00000025380	ENSMMOG00000019268	Mola_mola
ENSPNAP00000019708	ENSPNAG00000026378	Pygocentrus_nattereri
ENSCMIP00000035752	ENSCMIG00000015116	Callorhinchus_milii
ENSNBRP00000014440	ENSNBRG00000011147	Neolamprologus_brichardi
ENSBSLP00000009979	ENSBSLG00000004929	Betta_splendens
ENSDCDP00000011528	ENSDCDG00000005868	Denticeps_clupeoides	ENSDCDT00000012876
ENSORLP00020000327	ENSORLG00020022338	Oryzias_latipes_ASM223471v1
ENSHHUP00000006719	ENSHHUG00000004137	Hucho_hucho
ENSONIP00000009869	ENSONIG00000007833	Oreochromis_niloticus
ENSORLP00015000176	ENSORLG00015023133	Oryzias_latipes_ASM223469v1
ENSKMAP00000010301	ENSKMAG00000007738	Kryptolebias_marmoratus
ENSLBEP00000036662	ENSLBEG00000027418	Labrus_bergylta
ENSAPOP00000008944	ENSAPOG00000011179	Acanthochromis_polyacanthus
ENSFHEP00000027351	ENSFHEG00000010761	Fundulus_heteroclitus
ENSHHUP00000003951	ENSHHUG00000002440	Hucho_hucho
ENSCSEP00000023855	ENSCSEG00000015213	Cynoglossus_semilaevis
ENSECRP00000027958	ENSECRG00000018930	Erpetoichthys_calabaricus
ENSMAMP00000014005	ENSMAMG00000009503	Mastacembelus_armatus
ENSSPAP00000026976	ENSSPAG00000020331	Stegastes_partitus
ENSCVAP00000006722	ENSCVAG00000008319	Cyprinodon_variegatus
ENSPLAP00000008565	ENSPLAG00000011148	Poecilia_latipinna
ENSCHAP00000048837	ENSCHAG00000022460	Clupea_harengus	ENSCHAT00000052753
ENSLCRP00005012626	ENSLCRG00005005540	Larimichthys_crocea
ENSPRNP00000039000	ENSPRNG00000019245	Parambassis_ranga
ENSGWIP00000011853	ENSGWIG00000006960	Gouania_willdenowi
ENSAPEP00000003617	ENSAPEG00000002579	Amphiprion_percula
ENSOMEP00000016442	ENSOMEG00000018087	Oryzias_melastigma
ENSAMXP00000052831	ENSAMXG00000032060	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000042686
