ENSPSIP00000005246	ENSPSIG00000004894	Pelodiscus_sinensis
ENSCPRP00005024898	ENSCPRG00005017270	Crocodylus_porosus
ENSPVIP00000002262	ENSPVIG00000001953	Pogona_vitticeps
ENSRROP00000042364	ENSRROG00000044331	Rhinopithecus_roxellana
ENSRBIP00000013044	ENSRBIG00000030507	Rhinopithecus_bieti
ENSCANP00000013596	ENSCANG00000030228	Colobus_angolensis_palliatus
ENSPTEP00000043518	ENSPTEG00000039626	Piliocolobus_tephrosceles
ENSCATP00000026255	ENSCATG00000036552	Cercocebus_atys
ENSMLEP00000034768	ENSMLEG00000041531	Mandrillus_leucophaeus
ENSTGEP00000019219	ENSTGEG00000015458	Theropithecus_gelada
ENSMFAP00000035421	ENSMFAG00000034690	Macaca_fascicularis
ENSMNEP00000012446	ENSMNEG00000030528	Macaca_nemestrina
ENSMMUP00000077640	ENSMMUG00000049357	Macaca_mulatta
ENSTSYP00000028795	ENSTSYG00000036019	Carlito_syrichta
ENSOGAP00000011016	ENSOGAG00000012314	Otolemur_garnettii
ENSJJAP00000017487	ENSJJAG00000019022	Jaculus_jaculus
ENSMSIP00000036052	ENSMSIG00000030012	Mus_spicilegus
ENSCAPP00000000685	ENSCAPG00000000762	Cavia_aperea
ENSPTIP00000015001	ENSPTIG00000014244	Panthera_tigris_altaica
ENSPPRP00000025053	ENSPPRG00000015262	Panthera_pardus
ENSPTIP00000022061	ENSPTIG00000018991	Panthera_tigris_altaica
ENSUMAP00000008250	ENSUMAG00000006304	Ursus_maritimus
ENSUAMP00000035263	ENSUAMG00000026767	Ursus_americanus
ENSAMEP00000016264	ENSAMEG00000015427	Ailuropoda_melanoleuca
ENSCAFP00020005526	ENSCAFG00020004524	Canis_lupus_dingo
ENSCAFP00000065700	ENSCAFG00000041071	Canis_lupus_familiaris
ENSVVUP00000040602	ENSVVUG00000028930	Vulpes_vulpes
ENSOARP00000006193	ENSOARG00000005776	Ovis_aries
ENSBBBP00000015994	ENSBBBG00000023831	Bison_bison_bison
ENSCHOP00000000053	ENSCHOG00000000063	Choloepus_hoffmanni
ENSMEUP00000003334	ENSMEUG00000003654	Notamacropus_eugenii
ENSBSLP00000055202	ENSBSLG00000025844	Betta_splendens
ENSBSLP00000054591	ENSBSLG00000025616	Betta_splendens
