ENSPNAP00000020682	ENSPNAG00000006441	Pygocentrus_nattereri
ENSAMXP00000036130	ENSAMXG00000042391	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000024125	ENSIPUG00000016311	Ictalurus_punctatus
ENSDARP00000112838	ENSDARG00000092903	Danio_rerio
ENSHHUP00000036349	ENSHHUG00000022829	Hucho_hucho
ENSHHUP00000003208	ENSHHUG00000002021	Hucho_hucho
ENSHHUP00000003250	ENSHHUG00000002039	Hucho_hucho
ENSELUP00000026210	ENSELUG00000001998	Esox_lucius
ENSPMGP00000003324	ENSPMGG00000002877	Periophthalmus_magnuspinnatus
ENSXMAP00000022690	ENSXMAG00000024159	Xiphophorus_maculatus
ENSGAFP00000007576	ENSGAFG00000005148	Gambusia_affinis
ENSPLAP00000007172	ENSPLAG00000009446	Poecilia_latipinna
ENSPMEP00000013078	ENSPMEG00000015312	Poecilia_mexicana
ENSPFOP00000005361	ENSPFOG00000005496	Poecilia_formosa
ENSFHEP00000001975	ENSFHEG00000002784	Fundulus_heteroclitus
ENSPLAP00000007176	ENSPLAG00000009455	Poecilia_latipinna
ENSPMEP00000013082	ENSPMEG00000015317	Poecilia_mexicana
ENSPFOP00000005359	ENSPFOG00000005494	Poecilia_formosa
ENSPREP00000012510	ENSPREG00000008498	Poecilia_reticulata
ENSXMAP00000002302	ENSXMAG00000002303	Xiphophorus_maculatus
ENSXCOP00000024594	ENSXCOG00000018372	Xiphophorus_couchianus
ENSGAFP00000007891	ENSGAFG00000005168	Gambusia_affinis
ENSCVAP00000008476	ENSCVAG00000010280	Cyprinodon_variegatus
ENSKMAP00000018239	ENSKMAG00000013573	Kryptolebias_marmoratus
ENSORLP00015020166	ENSORLG00015021259	Oryzias_latipes_ASM223469v1
ENSORLP00000035113	ENSORLG00000029581	Oryzias_latipes_ASM223467v1
ENSORLP00020020731	ENSORLG00020021731	Oryzias_latipes_ASM223471v1
ENSOMEP00000008128	ENSOMEG00000009283	Oryzias_melastigma
ENSGWIP00000006012	ENSGWIG00000003510	Gouania_willdenowi
ENSCSEP00000019895	ENSCSEG00000012700	Cynoglossus_semilaevis
ENSLCRP00005012445	ENSLCRG00005005477	Larimichthys_crocea
ENSSLDP00000011799	ENSSLDG00000009371	Seriola_lalandi_dorsalis
ENSSDUP00000022706	ENSSDUG00000016526	Seriola_dumerili
ENSSMAP00000034832	ENSSMAG00000021291	Scophthalmus_maximus
ENSMMOP00000028572	ENSMMOG00000021577	Mola_mola
ENSMZEP00005016213	ENSMZEG00005012182	Maylandia_zebra
ENSPNYP00000011320	ENSPNYG00000008598	Pundamilia_nyererei
ENSACLP00000024603	ENSACLG00000016750	Astatotilapia_calliptera
ENSHBUP00000028523	ENSHBUG00000012341	Haplochromis_burtoni
ENSNBRP00000029386	ENSNBRG00000022374	Neolamprologus_brichardi
ENSACIP00000025703	ENSACIG00000019890	Amphilophus_citrinellus
ENSMAMP00000017665	ENSMAMG00000011844	Mastacembelus_armatus
ENSPRNP00000000430	ENSPRNG00000000279	Parambassis_ranga
ENSTRUP00000043312	ENSTRUG00000016908	Takifugu_rubripes
ENSAOCP00000012208	ENSAOCG00000016673	Amphiprion_ocellaris
ENSAPOP00000012951	ENSAPOG00000015705	Acanthochromis_polyacanthus
ENSAPEP00000000394	ENSAPEG00000000290	Amphiprion_percula
ENSSPAP00000026097	ENSSPAG00000019658	Stegastes_partitus
ENSCGOP00000025435	ENSCGOG00000012017	Cottoperca_gobio
ENSLBEP00000006431	ENSLBEG00000004952	Labrus_bergylta
ENSATEP00000026560	ENSATEG00000018366	Anabas_testudineus
ENSBSLP00000026465	ENSBSLG00000013183	Betta_splendens
ENSMALP00000018162	ENSMALG00000012657	Monopterus_albus
ENSLCAP00010002179	ENSLCAG00010001243	Lates_calcarifer
ENSHCOP00000000949	ENSHCOG00000001848	Hippocampus_comes
ENSPKIP00000000174	ENSPKIG00000018939	Paramormyrops_kingsleyae
ENSSFOP00015021606	ENSSFOG00015013924	Scleropages_formosus
ENSPKIP00000001812	ENSPKIG00000019958	Paramormyrops_kingsleyae
ENSDCDP00000060397	ENSDCDG00000034684	Denticeps_clupeoides
ENSSFOP00015027186	ENSSFOG00015017476	Scleropages_formosus
ENSECRP00000032334	ENSECRG00000021922	Erpetoichthys_calabaricus
ENSLCOP00000021406	ENSLCOG00000015132	Lepidothrix_coronata
ENSMVIP00005020687	ENSMVIG00005014593	Manacus_vitellinus
ENSLSDP00000024402	ENSLSDG00000017118	Lonchura_striata_domestica
ENSCCEP00000012011	ENSCCEG00000011637	Cyanistes_caeruleus
ENSTGUP00000007564	ENSTGUG00000007348	Taeniopygia_guttata
ENSJHYP00000012314	ENSJHYG00000009628	Junco_hyemalis
ENSZALP00000014234	ENSZALG00000011799	Zonotrichia_albicollis
ENSSCAP00000006688	ENSSCAG00000005211	Serinus_canaria
ENSFALP00000011980	ENSFALG00000011485	Ficedula_albicollis
ENSMUNP00000003388	ENSMUNG00000002889	Melopsittacus_undulatus
ENSCPUP00000027356	ENSCPUG00000018411	Calidris_pugnax
ENSCPGP00000007085	ENSCPGG00000005067	Calidris_pygmaea
ENSGALP00000067357	ENSGALG00000052643	Gallus_gallus
ENSCJPP00005025586	ENSCJPG00005020076	Coturnix_japonica
ENSMGAP00000007368	ENSMGAG00000007267	Meleagris_gallopavo
ENSNMEP00000027414	ENSNMEG00000022954	Numida_meleagris
ENSAPLP00000023101	ENSAPLG00000017258	Anas_platyrhynchos_platyrhynchos
ENSABRP00000023125	ENSABRG00000019515	Anser_brachyrhynchus
ENSDNVP00000005755	ENSDNVG00000004129	Dromaius_novaehollandiae
ENSNPEP00000020491	ENSNPEG00000015228	Nothoprocta_perdicaria
ENSCPRP00005021453	ENSCPRG00005014908	Crocodylus_porosus
ENSGAGP00000006665	ENSGAGG00000005380	Gopherus_agassizii
ENSCPBP00000015490	ENSCPBG00000011439	Chrysemys_picta_bellii
ENSSPUP00000014626	ENSSPUG00000011293	Sphenodon_punctatus
ENSMODP00000038718	ENSMODG00000028279	Monodelphis_domestica
ENSMODP00000034777	ENSMODG00000024593	Monodelphis_domestica
ENSSHAP00000007150	ENSSHAG00000006212	Sarcophilus_harrisii
ENSMEUP00000011981	ENSMEUG00000013137	Notamacropus_eugenii
ENSPCIP00000004888	ENSPCIG00000031617	Phascolarctos_cinereus
ENSPCIP00000026900	ENSPCIG00000035051	Phascolarctos_cinereus
ENSVURP00010018795	ENSVURG00010014314	Vombatus_ursinus
ENSVURP00010002962	ENSVURG00010002407	Vombatus_ursinus
ENSPCIP00000047900	ENSPCIG00000019905	Phascolarctos_cinereus
ENSVURP00010003423	ENSVURG00010002749	Vombatus_ursinus
ENSMODP00000057154	ENSMODG00000042102	Monodelphis_domestica
ENSSHAP00000007402	ENSSHAG00000006433	Sarcophilus_harrisii
ENSOANP00000025081	ENSOANG00000019779	Ornithorhynchus_anatinus
ENSTSYP00000002172	ENSTSYG00000002375	Carlito_syrichta
ENSTBEP00000007981	ENSTBEG00000009212	Tupaia_belangeri
ENSCHIP00000005501	ENSCHIG00000009615	Capra_hircus
ENSOARP00000022614	ENSOARG00000021041	Ovis_aries
ENSBIXP00005033192	ENSBIXG00005013915	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000014705	ENSBIXG00000019329	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000065369	ENSBTAG00000004558	Bos_taurus
ENSBMUP00000033366	ENSBMUG00000024914	Bos_mutus
ENSBBBP00000010072	ENSBBBG00000018229	Bison_bison_bison
ENSTTRP00000007236	ENSTTRG00000007655	Tursiops_truncatus
ENSVPAP00000002524	ENSVPAG00000002727	Vicugna_pacos
ENSSSCP00000005030	ENSSSCG00000004670	Sus_scrofa_strain_reference
ENSEASP00005026229	ENSEASG00005017888	Equus_asinus_asinus
ENSECAP00000009921	ENSECAG00000012148	Equus_caballus
ENSUMAP00000026024	ENSUMAG00000018966	Ursus_maritimus
ENSUAMP00000032183	ENSUAMG00000024606	Ursus_americanus
ENSAMEP00000013294	ENSAMEG00000012639	Ailuropoda_melanoleuca
ENSNVIP00000030506	ENSNVIG00000023505	Neovison_vison
ENSCAFP00020028166	ENSCAFG00020022099	Canis_lupus_dingo
ENSCAFP00020009608	ENSCAFG00020007808	Canis_lupus_dingo
ENSCAFP00000040561	ENSCAFG00000031501	Canis_lupus_familiaris
ENSCAFP00000048541	ENSCAFG00000016545	Canis_lupus_familiaris
ENSCAFP00020014586	ENSCAFG00020011797	Canis_lupus_dingo
ENSVVUP00000001543	ENSVVUG00000001251	Vulpes_vulpes
ENSPTIP00000011995	ENSPTIG00000012233	Panthera_tigris_altaica
ENSPPRP00000015062	ENSPPRG00000007756	Panthera_pardus
ENSFCAP00000030933	ENSFCAG00000037777	Felis_catus
ENSPVAP00000002903	ENSPVAG00000003076	Pteropus_vampyrus
ENSMLUP00000005670	ENSMLUG00000006208	Myotis_lucifugus
ENSEEUP00000003225	ENSEEUG00000003556	Erinaceus_europaeus
ENSSARP00000003124	ENSSARG00000003463	Sorex_araneus
ENSCGRP00001024287	ENSCGRG00001022257	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000009816	ENSCGRG00000007193	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015024266	ENSCGRG00015018473	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000006273	ENSMAUG00000008273	Mesocricetus_auratus
ENSMOCP00000011502	ENSMOCG00000011759	Microtus_ochrogaster
ENSPEMP00000022799	ENSPEMG00000020057	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0056362	MGP_SPRETEiJ_G0025135	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000024077	ENSMSIG00000020373	Mus_spicilegus
ENSMUSP00000040781	ENSMUSG00000033213	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0054260	MGP_CAROLIEiJ_G0024216	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0065246	MGP_PahariEiJ_G0025661	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000065010	ENSRNOG00000050251	Rattus_norvegicus
ENSMUGP00000007286	ENSMUGG00000006677	Meriones_unguiculatus
ENSNGAP00000019133	ENSNGAG00000019050	Nannospalax_galili
ENSJJAP00000011807	ENSJJAG00000015034	Jaculus_jaculus
ENSMMMP00000020021	ENSMMMG00000017695	Marmota_marmota_marmota
ENSSDAP00000018459	ENSSDAG00000016877	Spermophilus_dauricus
ENSUPAP00010011987	ENSUPAG00010009717	Urocitellus_parryii
ENSSTOP00000014931	ENSSTOG00000021929	Ictidomys_tridecemlineatus
ENSCCNP00000018100	ENSCCNG00000018398	Castor_canadensis
ENSCLAP00000015337	ENSCLAG00000010562	Chinchilla_lanigera
ENSODEP00000012676	ENSODEG00000009386	Octodon_degus
ENSCAPP00000017911	ENSCAPG00000017461	Cavia_aperea
ENSCPOP00000023650	ENSCPOG00000033924	Cavia_porcellus
ENSHGLP00000023387	ENSHGLG00000016670	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026074	ENSHGLG00100019130	Heterocephalus_glaber_HetGla_1.0
ENSOCUP00000026703	ENSOCUG00000029216	Oryctolagus_cuniculus
ENSOCUP00000012192	ENSOCUG00000014190	Oryctolagus_cuniculus
ENSOPRP00000015059	ENSOPRG00000016494	Ochotona_princeps
ENSP00000341610	ENSG00000166920	Homo_sapiens
ENSPPYP00000007303	ENSPPYG00000006446	Pongo_abelii
ENSMMUP00000057772	ENSMMUG00000044497	Macaca_mulatta
ENSCSAP00000006518	ENSCSAG00000010290	Chlorocebus_sabaeus
ENSCCAP00000010068	ENSCCAG00000022789	Cebus_capucinus_imitator
ENSSBOP00000033627	ENSSBOG00000032988	Saimiri_boliviensis_boliviensis
ENSANAP00000008741	ENSANAG00000022400	Aotus_nancymaae
ENSPTRP00000075589	ENSPTRG00000007035	Pan_troglodytes
ENSPPAP00000043224	ENSPPAG00000044140	Pan_paniscus
ENSGGOP00000035739	ENSGGOG00000026815	Gorilla_gorilla
ENSNLEP00000044427	ENSNLEG00000029050	Nomascus_leucogenys
ENSCATP00000028590	ENSCATG00000037581	Cercocebus_atys
ENSMLEP00000027928	ENSMLEG00000038177	Mandrillus_leucophaeus
ENSTGEP00000011807	ENSTGEG00000009622	Theropithecus_gelada
ENSMFAP00000015325	ENSMFAG00000030902	Macaca_fascicularis
ENSMNEP00000024649	ENSMNEG00000035863	Macaca_nemestrina
ENSPANP00000045808	ENSPANG00000017822	Papio_anubis
ENSRBIP00000042888	ENSRBIG00000044664	Rhinopithecus_bieti
ENSRROP00000003237	ENSRROG00000012837	Rhinopithecus_roxellana
ENSCANP00000016114	ENSCANG00000031493	Colobus_angolensis_palliatus
ENSPTEP00000015425	ENSPTEG00000017099	Piliocolobus_tephrosceles
