ENSMMUP00000039171	ENSMMUG00000021607	Macaca_mulatta
ENSMFAP00000003721	ENSMFAG00000001588	Macaca_fascicularis
ENSMLEP00000008053	ENSMLEG00000028173	Mandrillus_leucophaeus
ENSPANP00000025330	ENSPANG00000034725	Papio_anubis
ENSTGEP00000011669	ENSTGEG00000009506	Theropithecus_gelada
ENSCATP00000023737	ENSCATG00000035420	Cercocebus_atys
ENSCSAP00000011984	ENSCSAG00000015906	Chlorocebus_sabaeus
ENSPPAP00000009018	ENSPPAG00000027730	Pan_paniscus
ENSPTRP00000046600	ENSPTRG00000014881	Pan_troglodytes
ENSGGOP00000005935	ENSGGOG00000006069	Gorilla_gorilla
ENSP00000346729	ENSG00000164048	Homo_sapiens
ENSPPYP00000015558	ENSPPYG00000013909	Pongo_abelii
ENSNLEP00000007799	ENSNLEG00000006411	Nomascus_leucogenys
ENSRROP00000033263	ENSRROG00000040233	Rhinopithecus_roxellana
ENSRBIP00000035697	ENSRBIG00000041479	Rhinopithecus_bieti
ENSCANP00000038860	ENSCANG00000043111	Colobus_angolensis_palliatus
ENSMNEP00000019344	ENSMNEG00000033536	Macaca_nemestrina
ENSCCAP00000018694	ENSCCAG00000027197	Cebus_capucinus_imitator	ENSCCAT00000036171
ENSSBOP00000024355	ENSSBOG00000028662	Saimiri_boliviensis_boliviensis
ENSANAP00000010864	ENSANAG00000023402	Aotus_nancymaae	ENSANAT00000028669
ENSTSYP00000014612	ENSTSYG00000026540	Carlito_syrichta
ENSPCOP00000029605	ENSPCOG00000027517	Propithecus_coquereli
ENSTTRP00000016411	ENSTTRG00000017317	Tursiops_truncatus
ENSVPAP00000006865	ENSVPAG00000007383	Vicugna_pacos
