ENSLCOP00000019518	ENSLCOG00000013815	Lepidothrix_coronata
ENSMVIP00005014605	ENSMVIG00005010545	Manacus_vitellinus
ENSLSDP00000017001	ENSLSDG00000012221	Lonchura_striata_domestica
ENSTGUP00000009538	ENSTGUG00000009258	Taeniopygia_guttata
ENSSCAP00000005848	ENSSCAG00000004613	Serinus_canaria
ENSZALP00000021627	ENSZALG00000016910	Zonotrichia_albicollis
ENSJHYP00000016755	ENSJHYG00000012782	Junco_hyemalis
ENSFALP00000015069	ENSFALG00000014454	Ficedula_albicollis
ENSCCEP00000008060	ENSCCEG00000008382	Cyanistes_caeruleus
ENSCPGP00000022081	ENSCPGG00000015351	Calidris_pygmaea
ENSCPUP00000004207	ENSCPUG00000003136	Calidris_pugnax
ENSMUNP00000012871	ENSMUNG00000010078	Melopsittacus_undulatus
ENSAPLP00000011267	ENSAPLG00000011525	Anas_platyrhynchos_platyrhynchos
ENSABRP00000006489	ENSABRG00000005953	Anser_brachyrhynchus
ENSGALP00000072979	ENSGALG00000006530	Gallus_gallus
ENSMGAP00000008015	ENSMGAG00000007865	Meleagris_gallopavo
ENSCJPP00005023428	ENSCJPG00005018589	Coturnix_japonica
ENSNMEP00000012328	ENSNMEG00000011427	Numida_meleagris
ENSAHAP00000024555	ENSAHAG00000017131	Apteryx_haastii
ENSAOWP00000002165	ENSAOWG00000001561	Apteryx_owenii
ENSARWP00000015471	ENSARWG00000010684	Apteryx_rowi
ENSDNVP00000020149	ENSDNVG00000014099	Dromaius_novaehollandiae
ENSNPEP00000012786	ENSNPEG00000009552	Nothoprocta_perdicaria
ENSCPRP00005024470	ENSCPRG00005017025	Crocodylus_porosus
ENSGAGP00000015939	ENSGAGG00000011996	Gopherus_agassizii
ENSCABP00000014329	ENSCABG00000010694	Chelonoidis_abingdonii
ENSCPBP00000014053	ENSCPBG00000010473	Chrysemys_picta_bellii
ENSPSIP00000001452	ENSPSIG00000001456	Pelodiscus_sinensis
ENSACAP00000002650	ENSACAG00000002763	Anolis_carolinensis
ENSPVIP00000000327	ENSPVIG00000000285	Pogona_vitticeps
ENSNSUP00000024124	ENSNSUG00000017451	Notechis_scutatus
ENSSMRP00000018215	ENSSMRG00000014177	Salvator_merianae
ENSSPUP00000003650	ENSSPUG00000002796	Sphenodon_punctatus
ENSEASP00005000008	ENSEASG00005000004	Equus_asinus_asinus
ENSEASP00005000009	ENSEASG00005000005	Equus_asinus_asinus
ENSPVAP00000013400	ENSPVAG00000014221	Pteropus_vampyrus
ENSCAFP00000039728	ENSCAFG00000031882	Canis_lupus_familiaris
ENSCAFP00020021947	ENSCAFG00020017342	Canis_lupus_dingo
ENSVVUP00000003679	ENSVVUG00000002862	Vulpes_vulpes
ENSNVIP00000009834	ENSNVIG00000007780	Neovison_vison
ENSMPUP00000018913	ENSMPUG00000019035	Mustela_putorius_furo
ENSUMAP00000008236	ENSUMAG00000006299	Ursus_maritimus
ENSUAMP00000031374	ENSUAMG00000024056	Ursus_americanus
ENSFCAP00000042680	ENSFCAG00000043860	Felis_catus
ENSPPRP00000021492	ENSPPRG00000012297	Panthera_pardus
ENSBIXP00000001510	ENSBIXG00000028483	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005022330	ENSBIXG00005004292	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000056093	ENSBTAG00000047793	Bos_taurus
ENSBMUP00000032560	ENSBMUG00000024298	Bos_mutus
ENSBBBP00000004109	ENSBBBG00000008547	Bison_bison_bison
ENSCHIP00000008742	ENSCHIG00000011835	Capra_hircus
ENSOARP00000003216	ENSOARG00000003024	Ovis_aries
