ENSLOCP00000007657	ENSLOCG00000006344	Lepisosteus_oculatus
ENSECRP00000028176	ENSECRG00000019023	Erpetoichthys_calabaricus
ENSAMXP00000053321	ENSAMXG00000002770	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005044699	ENSAMXG00005020719	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000006589	ENSPNAG00000012609	Pygocentrus_nattereri
ENSIPUP00000004685	ENSIPUG00000003264	Ictalurus_punctatus
ENSEEEP00000015427	ENSEEEG00000007657	Electrophorus_electricus
ENSDARP00000132430	ENSDARG00000102612	Danio_rerio
ENSDCDP00000045894	ENSDCDG00000028870	Denticeps_clupeoides
ENSCHAP00000004747	ENSCHAG00000003143	Clupea_harengus
ENSBSLP00000040314	ENSBSLG00000019580	Betta_splendens
ENSXCOP00000020585	ENSXCOG00000015423	Xiphophorus_couchianus
ENSCSEP00000024825	ENSCSEG00000015854	Cynoglossus_semilaevis
ENSNSUP00000023977	ENSNSUG00000017359	Notechis_scutatus
ENSGAFP00000011779	ENSGAFG00000007986	Gambusia_affinis
ENSXMAP00000032224	ENSXMAG00000000131	Xiphophorus_maculatus
ENSPLAP00000029853	ENSPLAG00000020436	Poecilia_latipinna
ENSPMEP00000009178	ENSPMEG00000010998	Poecilia_mexicana
ENSPREP00000002872	ENSPREG00000002090	Poecilia_reticulata
ENSPFOP00000016907	ENSPFOG00000016818	Poecilia_formosa
ENSCVAP00000021847	ENSCVAG00000004177	Cyprinodon_variegatus
ENSFHEP00000000716	ENSFHEG00000001449	Fundulus_heteroclitus
ENSTNIP00000016400	ENSTNIG00000013406	Tetraodon_nigroviridis
ENSTRUP00000026618	ENSTRUG00000010545	Takifugu_rubripes
ENSMZEP00005011668	ENSMZEG00005008763	Maylandia_zebra
ENSACLP00000021158	ENSACLG00000014395	Astatotilapia_calliptera
ENSPNYP00000026018	ENSPNYG00000019607	Pundamilia_nyererei
ENSHBUP00000029751	ENSHBUG00000014364	Haplochromis_burtoni
ENSNBRP00000011189	ENSNBRG00000008717	Neolamprologus_brichardi
ENSONIP00000013765	ENSONIG00000010941	Oreochromis_niloticus
ENSACIP00000014552	ENSACIG00000011314	Amphilophus_citrinellus
ENSKMAP00000001507	ENSKMAG00000001150	Kryptolebias_marmoratus
ENSATEP00000028939	ENSATEG00000019963	Anabas_testudineus
ENSBSLP00000040209	ENSBSLG00000019530	Betta_splendens
ENSMALP00000028205	ENSMALG00000019537	Monopterus_albus
ENSORLP00000026092	ENSORLG00000013564	Oryzias_latipes_ASM223467v1
ENSORLP00015015239	ENSORLG00015016121	Oryzias_latipes_ASM223469v1
ENSORLP00020022185	ENSORLG00020002352	Oryzias_latipes_ASM223471v1
