ENSZALP00000000922	ENSZALG00000001105	Zonotrichia_albicollis	ENSZALT00000001684
ENSJHYP00000016500	ENSJHYG00000012615	Junco_hyemalis	ENSJHYT00000019878
ENSSCAP00000023133	ENSSCAG00000016574	Serinus_canaria	ENSSCAT00000025757
ENSTGUP00000004790	ENSTGUG00000004663	Taeniopygia_guttata
ENSLSDP00000001870	ENSLSDG00000001486	Lonchura_striata_domestica
ENSPMJP00000015089	ENSPMJG00000011427	Parus_major
ENSCCEP00000025202	ENSCCEG00000022264	Cyanistes_caeruleus
ENSFALP00000012653	ENSFALG00000012116	Ficedula_albicollis
ENSLCOP00000021865	ENSLCOG00000015444	Lepidothrix_coronata
ENSMVIP00005006789	ENSMVIG00005005118	Manacus_vitellinus
ENSCPGP00000015753	ENSCPGG00000011091	Calidris_pygmaea
ENSCPUP00000001612	ENSCPUG00000001256	Calidris_pugnax
ENSMUNP00000021006	ENSMUNG00000015921	Melopsittacus_undulatus
ENSMGAP00000008342	ENSMGAG00000008153	Meleagris_gallopavo
ENSGALP00000014844	ENSGALG00000009098	Gallus_gallus
ENSCJPP00005000168	ENSCJPG00005000249	Coturnix_japonica
ENSNMEP00000001986	ENSNMEG00000002528	Numida_meleagris
ENSABRP00000002350	ENSABRG00000002311	Anser_brachyrhynchus
ENSAPLP00000002719	ENSAPLG00000003254	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000028323	ENSAOWG00000019065	Apteryx_owenii
ENSAHAP00000000897	ENSAHAG00000000761	Apteryx_haastii
ENSARWP00000019591	ENSARWG00000013419	Apteryx_rowi
ENSDNVP00000005742	ENSDNVG00000004123	Dromaius_novaehollandiae
ENSNPEP00000006119	ENSNPEG00000004610	Nothoprocta_perdicaria
ENSCPRP00005009622	ENSCPRG00005006835	Crocodylus_porosus
ENSGAGP00000020861	ENSGAGG00000015345	Gopherus_agassizii
ENSCABP00000027410	ENSCABG00000020131	Chelonoidis_abingdonii
ENSCPBP00000029546	ENSCPBG00000020820	Chrysemys_picta_bellii
ENSPSIP00000014842	ENSPSIG00000013291	Pelodiscus_sinensis
ENSPVIP00000029968	ENSPVIG00000022079	Pogona_vitticeps
ENSACAP00000018522	ENSACAG00000022278	Anolis_carolinensis
ENSNSUP00000013959	ENSNSUG00000010353	Notechis_scutatus
ENSSMRP00000023431	ENSSMRG00000018185	Salvator_merianae
ENSSPUP00000018143	ENSSPUG00000014011	Sphenodon_punctatus
ENSVURP00010003393	ENSVURG00010002729	Vombatus_ursinus
ENSPCIP00000033622	ENSPCIG00000024941	Phascolarctos_cinereus
ENSMEUP00000009346	ENSMEUG00000010248	Notamacropus_eugenii
ENSMODP00000041786	ENSMODG00000005627	Monodelphis_domestica
ENSSHAP00000019281	ENSSHAG00000016376	Sarcophilus_harrisii
ENSPTRP00000065273	ENSPTRG00000022365	Pan_troglodytes
ENSPPAP00000042988	ENSPPAG00000044034	Pan_paniscus
ENSP00000414517	ENSG00000013619	Homo_sapiens
ENSGGOP00000016273	ENSGGOG00000016675	Gorilla_gorilla
ENSNLEP00000016426	ENSNLEG00000013570	Nomascus_leucogenys
ENSRBIP00000030849	ENSRBIG00000039270	Rhinopithecus_bieti
ENSRROP00000034421	ENSRROG00000040769	Rhinopithecus_roxellana
ENSCANP00000025041	ENSCANG00000035944	Colobus_angolensis_palliatus
ENSMLEP00000019757	ENSMLEG00000034081	Mandrillus_leucophaeus
ENSPANP00000024445	ENSPANG00000008461	Papio_anubis
ENSCATP00000009871	ENSCATG00000029196	Cercocebus_atys
ENSMFAP00000045065	ENSMFAG00000000232	Macaca_fascicularis
ENSMMUP00000066693	ENSMMUG00000022263	Macaca_mulatta
ENSMNEP00000012297	ENSMNEG00000030456	Macaca_nemestrina
ENSCCAP00000003057	ENSCCAG00000017216	Cebus_capucinus_imitator
ENSCJAP00000071033	ENSCJAG00000004077	Callithrix_jacchus
ENSANAP00000016464	ENSANAG00000026108	Aotus_nancymaae
ENSTGEP00000009123	ENSTGEG00000007531	Theropithecus_gelada
ENSCSAP00000003448	ENSCSAG00000007173	Chlorocebus_sabaeus
ENSPTEP00000011341	ENSPTEG00000012779	Piliocolobus_tephrosceles
ENSPPYP00000023297	ENSPPYG00000020814	Pongo_abelii
ENSSBOP00000023661	ENSSBOG00000028326	Saimiri_boliviensis_boliviensis
ENSPTRP00000081644	ENSPTRG00000044895	Pan_troglodytes
ENSTSYP00000021682	ENSTSYG00000036815	Carlito_syrichta
ENSOCUP00000035607	ENSOCUG00000016676	Oryctolagus_cuniculus
ENSPCOP00000015625	ENSPCOG00000019557	Propithecus_coquereli
ENSMICP00000043929	ENSMICG00000017610	Microcebus_murinus
ENSEASP00005023831	ENSEASG00005016187	Equus_asinus_asinus
ENSECAP00000031017	ENSECAG00000015482	Equus_caballus
ENSPSMP00000019214	ENSPSMG00000013530	Prolemur_simus
ENSOGAP00000012067	ENSOGAG00000013472	Otolemur_garnettii
ENSCAPP00000000298	ENSCAPG00000000249	Cavia_aperea
ENSCPOP00000032495	ENSCPOG00000040237	Cavia_porcellus
ENSCLAP00000003288	ENSCLAG00000002359	Chinchilla_lanigera
ENSODEP00000001438	ENSODEG00000001129	Octodon_degus
ENSHGLP00000000330	ENSHGLG00000000314	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025728	ENSHGLG00100018872	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000009615	ENSFDAG00000017578	Fukomys_damarensis
ENSSTOP00000016285	ENSSTOG00000027632	Ictidomys_tridecemlineatus
ENSSDAP00000012580	ENSSDAG00000011309	Spermophilus_dauricus
ENSMMMP00000013866	ENSMMMG00000012347	Marmota_marmota_marmota
ENSUPAP00010025878	ENSUPAG00010020465	Urocitellus_parryii
ENSCCNP00000006167	ENSCCNG00000006506	Castor_canadensis
ENSDORP00000017926	ENSDORG00000027915	Dipodomys_ordii
ENSPEMP00000013682	ENSPEMG00000013693	Peromyscus_maniculatus_bairdii
ENSMOCP00000008157	ENSMOCG00000008090	Microtus_ochrogaster
ENSCGRP00001000288	ENSCGRG00001000251	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000009618	ENSCGRG00000007025	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000004382	ENSMAUG00000005591	Mesocricetus_auratus
ENSMUSP00000080737	ENSMUSG00000059401	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0095350	MGP_SPRETEiJ_G0034281	Mus_spretus_strain_SPRET/EiJ
