ENSPMJP00000021423	ENSPMJG00000015903	Parus_major
ENSCCEP00000017665	ENSCCEG00000016307	Cyanistes_caeruleus
ENSFALP00000011367	ENSFALG00000010886	Ficedula_albicollis
ENSLCOP00000010414	ENSLCOG00000007568	Lepidothrix_coronata
ENSMUNP00000017557	ENSMUNG00000013485	Melopsittacus_undulatus
ENSGALP00000045934	ENSGALG00000014711	Gallus_gallus
ENSCJPP00005001242	ENSCJPG00005001309	Coturnix_japonica
ENSMGAP00000003771	ENSMGAG00000004007	Meleagris_gallopavo
ENSNMEP00000006487	ENSNMEG00000006669	Numida_meleagris
ENSABRP00000025074	ENSABRG00000021044	Anser_brachyrhynchus
ENSAHAP00000003762	ENSAHAG00000002964	Apteryx_haastii
ENSCPBP00000038431	ENSCPBG00000026550	Chrysemys_picta_bellii
ENSCABP00000011361	ENSCABG00000008448	Chelonoidis_abingdonii
ENSPSIP00000017836	ENSPSIG00000015862	Pelodiscus_sinensis
ENSLSDP00000024536	ENSLSDG00000017205	Lonchura_striata_domestica
ENSZALP00000005985	ENSZALG00000005519	Zonotrichia_albicollis
ENSAPLP00000019986	ENSAPLG00000010771	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000005260	ENSCPGG00000003796	Calidris_pygmaea
ENSCPRP00005024360	ENSCPRG00005016939	Crocodylus_porosus
ENSGAGP00000027560	ENSGAGG00000020026	Gopherus_agassizii
ENSSPUP00000009109	ENSSPUG00000007100	Sphenodon_punctatus
ENSNSUP00000003601	ENSNSUG00000002914	Notechis_scutatus
ENSAOWP00000014873	ENSAOWG00000010151	Apteryx_owenii
ENSARWP00000019368	ENSARWG00000013271	Apteryx_rowi
ENSDNVP00000024292	ENSDNVG00000016860	Dromaius_novaehollandiae
ENSNPEP00000000831	ENSNPEG00000000660	Nothoprocta_perdicaria
ENSSCAP00000012391	ENSSCAG00000009261	Serinus_canaria
ENSTGUP00000002600	ENSTGUG00000002528	Taeniopygia_guttata
ENSMVIP00005011875	ENSMVIG00005008687	Manacus_vitellinus
ENSCPUP00000022276	ENSCPUG00000015125	Calidris_pugnax
ENSACAP00000014842	ENSACAG00000015109	Anolis_carolinensis
ENSPVIP00000013323	ENSPVIG00000010329	Pogona_vitticeps
ENSSMRP00000024418	ENSSMRG00000018937	Salvator_merianae
ENSVURP00010027673	ENSVURG00010021183	Vombatus_ursinus
ENSPCIP00000033323	ENSPCIG00000024736	Phascolarctos_cinereus
ENSMODP00000044820	ENSMODG00000019499	Monodelphis_domestica
ENSSTOP00000025395	ENSSTOG00000023013	Ictidomys_tridecemlineatus
ENSSDAP00000007395	ENSSDAG00000006751	Spermophilus_dauricus
ENSMUSP00000016144	ENSMUSG00000021759	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0037174	MGP_SPRETEiJ_G0019774	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0035493	MGP_CAROLIEiJ_G0018895	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000020285	ENSMSIG00000017203	Mus_spicilegus
MGP_PahariEiJ_P0027145	MGP_PahariEiJ_G0015966	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000062843	ENSRNOG00000009980	Rattus_norvegicus
ENSMUGP00000020508	ENSMUGG00000017303	Meriones_unguiculatus
ENSCGRP00015000813	ENSCGRG00015000737	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001027370	ENSCGRG00001024401	Cricetulus_griseus_CHOK1GS_HDv1
ENSCCNP00000023113	ENSCCNG00000022712	Castor_canadensis
