ENSVURP00010018210	ENSVURG00010013894	Vombatus_ursinus	ENSVURT00010020695
ENSPCIP00000050866	ENSPCIG00000021896	Phascolarctos_cinereus	ENSPCIT00000055121
ENSMEUP00000013287	ENSMEUG00000014547	Notamacropus_eugenii	ENSMEUT00000014594
ENSSHAP00000013552	ENSSHAG00000011584	Sarcophilus_harrisii	ENSSHAT00000013664
ENSMODP00000017359	ENSMODG00000013876	Monodelphis_domestica	ENSMODT00000017679
MGP_SPRETEiJ_P0076105	MGP_SPRETEiJ_G0029224	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000035458	ENSMSIG00000029507	Mus_spicilegus	ENSMSIT00000044657
ENSMUSP00000040208	ENSMUSG00000038648	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000041093
MGP_CAROLIEiJ_P0073264	MGP_CAROLIEiJ_G0028225	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0049381	MGP_PahariEiJ_G0021982	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017338	ENSRNOG00000012826	Rattus_norvegicus
ENSMUGP00000018182	ENSMUGG00000015405	Meriones_unguiculatus
ENSPEMP00000027545	ENSPEMG00000023325	Peromyscus_maniculatus_bairdii
ENSMOCP00000020627	ENSMOCG00000018252	Microtus_ochrogaster
ENSCGRP00015036811	ENSCGRG00015027605	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001006325	ENSCGRG00001008511	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005070	ENSCGRG00000003708	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000006664	ENSMAUG00000008546	Mesocricetus_auratus
ENSNGAP00000001764	ENSNGAG00000001317	Nannospalax_galili
ENSJJAP00000020836	ENSJJAG00000021391	Jaculus_jaculus
ENSCCNP00000031271	ENSCCNG00000029794	Castor_canadensis
ENSDORP00000002618	ENSDORG00000002788	Dipodomys_ordii
ENSCLAP00000001910	ENSCLAG00000001408	Chinchilla_lanigera
ENSODEP00000021619	ENSODEG00000015907	Octodon_degus
ENSCPOP00000007968	ENSCPOG00000008872	Cavia_porcellus
ENSCAPP00000014664	ENSCAPG00000014976	Cavia_aperea
ENSHGLP00000026468	ENSHGLG00000018828	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012270	ENSHGLG00100009089	Heterocephalus_glaber_HetGla_1.0
