ENSDNOP00000011369	ENSDNOG00000014668	Dasypus_novemcinctus	ENSDNOT00000014669
ENSCHOP00000001851	ENSCHOG00000002094	Choloepus_hoffmanni	ENSCHOT00000002103
ENSCHIP00000029446	ENSCHIG00000024571	Capra_hircus
ENSOARP00000014575	ENSOARG00000013593	Ovis_aries
ENSBIXP00005004226	ENSBIXG00005010244	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000026829	ENSBIXG00000029328	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000009935	ENSBMUG00000007689	Bos_mutus
ENSBTAP00000012447	ENSBTAG00000009461	Bos_taurus
ENSBBBP00000002284	ENSBBBG00000007247	Bison_bison_bison
ENSSSCP00000022470	ENSSSCG00000021837	Sus_scrofa_strain_reference
ENSVPAP00000003842	ENSVPAG00000004137	Vicugna_pacos
ENSMLUP00000016234	ENSMLUG00000017794	Myotis_lucifugus
ENSUMAP00000017253	ENSUMAG00000012669	Ursus_maritimus	ENSUMAT00000020395
ENSUAMP00000014120	ENSUAMG00000011342	Ursus_americanus	ENSUAMT00000015847
ENSAMEP00000011432	ENSAMEG00000010870	Ailuropoda_melanoleuca	ENSAMET00000011917
ENSNVIP00000004517	ENSNVIG00000003640	Neovison_vison	ENSNVIT00000005320
ENSMPUP00000015898	ENSMPUG00000016004	Mustela_putorius_furo
ENSCAFP00020016252	ENSCAFG00020013033	Canis_lupus_dingo
ENSCAFP00000057704	ENSCAFG00000013483	Canis_lupus_familiaris
ENSVVUP00000032828	ENSVVUG00000023770	Vulpes_vulpes
ENSPTIP00000001101	ENSPTIG00000002810	Panthera_tigris_altaica
ENSPPRP00000010152	ENSPPRG00000004414	Panthera_pardus
ENSFCAP00000021903	ENSFCAG00000028786	Felis_catus
ENSCGRP00015007018	ENSCGRG00015005196	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001010192	ENSCGRG00001012136	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000008930	ENSCGRG00000006530	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000003420	ENSMAUG00000003736	Mesocricetus_auratus
ENSMOCP00000013035	ENSMOCG00000012960	Microtus_ochrogaster
ENSPEMP00000020837	ENSPEMG00000018661	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0074101	MGP_SPRETEiJ_G0028842	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000014300	ENSMSIG00000012359	Mus_spicilegus
ENSMUSP00000051216	ENSMUSG00000019178	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0059581	MGP_PahariEiJ_G0024423	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000049678	ENSRNOG00000023366	Rattus_norvegicus
