ENSPNAP00000000112	ENSPNAG00000000091	Pygocentrus_nattereri
ENSCGRP00015034562	ENSCGRG00015025949	Cricetulus_griseus_CriGri-PICR
ENSMODP00000021977	ENSMODG00000017623	Monodelphis_domestica
ENSPTEP00000015935	ENSPTEG00000017550	Piliocolobus_tephrosceles
ENSSMRP00000007756	ENSSMRG00000006205	Salvator_merianae
ENSPMJP00000018099	ENSPMJG00000013570	Parus_major	ENSPMJT00000023637
ENSMLUP00000011224	ENSMLUG00000012323	Myotis_lucifugus
ENSMMMP00000019884	ENSMMMG00000017038	Marmota_marmota_marmota
ENSAMXP00005053810	ENSAMXG00005023926	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMMUP00000033094	ENSMMUG00000021498	Macaca_mulatta
ENSNPEP00000012273	ENSNPEG00000009188	Nothoprocta_perdicaria	ENSNPET00000012579
ENSVURP00010030456	ENSVURG00010023285	Vombatus_ursinus
ENSMFAP00000000315	ENSMFAG00000036330	Macaca_fascicularis
ENSELUP00000020772	ENSELUG00000001410	Esox_lucius
ENSSFOP00015027944	ENSSFOG00015017942	Scleropages_formosus
ENSCJPP00005010192	ENSCJPG00005008933	Coturnix_japonica
ENSVVUP00000001899	ENSVVUG00000001458	Vulpes_vulpes
ENSUAMP00000008724	ENSUAMG00000007011	Ursus_americanus
ENSFDAP00000008995	ENSFDAG00000017139	Fukomys_damarensis
MGP_CAROLIEiJ_P0022540	MGP_CAROLIEiJ_G0015199	Mus_caroli_strain_CAROLI_EIJ
ENSCCNP00000017995	ENSCCNG00000018314	Castor_canadensis
ENSSARP00000011068	ENSSARG00000012237	Sorex_araneus
ENSIPUP00000021255	ENSIPUG00000014372	Ictalurus_punctatus
ENSMUSP00000037619	ENSMUSG00000039089	Mus_musculus_strain_reference_(CL57BL6)
ENSEEEP00000013005	ENSEEEG00000006553	Electrophorus_electricus
ENSANAP00000025495	ENSANAG00000030263	Aotus_nancymaae
ENSECRP00000004017	ENSECRG00000002740	Erpetoichthys_calabaricus
ENSACAP00000013938	ENSACAG00000014140	Anolis_carolinensis
ENSBIXP00000015514	ENSBIXG00000020003	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOPRP00000003575	ENSOPRG00000003872	Ochotona_princeps
ENSMPUP00000014528	ENSMPUG00000014637	Mustela_putorius_furo
ENSBBBP00000027089	ENSBBBG00000023292	Bison_bison_bison
ENSODEP00000006844	ENSODEG00000005114	Octodon_degus
ENSDARP00000127490	ENSDARG00000025983	Danio_rerio
ENSOARP00000014775	ENSOARG00000013771	Ovis_aries
ENSLACP00000001438	ENSLACG00000001287	Latimeria_chalumnae	ENSLACT00000001450
ENSMUNP00000003674	ENSMUNG00000003112	Melopsittacus_undulatus
ENSDCDP00000041900	ENSDCDG00000027176	Denticeps_clupeoides
ENSLOCP00000021370	ENSLOCG00000017277	Lepisosteus_oculatus
ENSCANP00000008045	ENSCANG00000025492	Colobus_angolensis_palliatus
ENSCGRP00000007009	ENSCGRG00000005097	Cricetulus_griseus_CriGri_1.0
ENSPCOP00000015383	ENSPCOG00000019406	Propithecus_coquereli
ENSPTIP00000012792	ENSPTIG00000012694	Panthera_tigris_altaica
ENSMUGP00000015135	ENSMUGG00000013065	Meriones_unguiculatus
ENSSCAP00000019341	ENSSCAG00000013963	Serinus_canaria
ENSPSMP00000019332	ENSPSMG00000013495	Prolemur_simus
ENSAMXP00000010615	ENSAMXG00000010244	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSTSYP00000007337	ENSTSYG00000008001	Carlito_syrichta
ENSOANP00000015793	ENSOANG00000009965	Ornithorhynchus_anatinus
ENSNGAP00000007424	ENSNGAG00000010594	Nannospalax_galili
ENSLACP00000023126	ENSLACG00000022431	Latimeria_chalumnae	ENSLACT00000025449
ENSCAPP00000003945	ENSCAPG00000006544	Cavia_aperea
ENSHHUP00000055264	ENSHHUG00000033078	Hucho_hucho
ENSAMEP00000008259	ENSAMEG00000007825	Ailuropoda_melanoleuca
ENSNMEP00000026133	ENSNMEG00000022075	Numida_meleagris
ENSARWP00000004457	ENSARWG00000003254	Apteryx_rowi	ENSARWT00000005145
ENSLCOP00000001125	ENSLCOG00000000932	Lepidothrix_coronata
ENSCABP00000027669	ENSCABG00000020343	Chelonoidis_abingdonii
ENSCATP00000001653	ENSCATG00000006805	Cercocebus_atys
ENSNVIP00000000176	ENSNVIG00000000148	Neovison_vison
MGP_PahariEiJ_P0056605	MGP_PahariEiJ_G0023821	Mus_pahari_strain_PAHARI_EIJ
ENSMICP00000026374	ENSMICG00000006114	Microcebus_murinus
ENSBIXP00005046854	ENSBIXG00005031533	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMAUP00000008241	ENSMAUG00000009654	Mesocricetus_auratus
ENSDNOP00000014968	ENSDNOG00000019298	Dasypus_novemcinctus
ENSGALP00000056281	ENSGALG00000034030	Gallus_gallus
ENSCHIP00000026780	ENSCHIG00000022911	Capra_hircus
