ENSBMUP00000023310	ENSBMUG00000017511	Bos_mutus
ENSMSIP00000009239	ENSMSIG00000008153	Mus_spicilegus
ENSOMEP00000030605	ENSOMEG00000014957	Oryzias_melastigma
ENSSPAP00000023325	ENSSPAG00000017595	Stegastes_partitus
ENSOARP00000004501	ENSOARG00000004205	Ovis_aries
ENSPSMP00000033060	ENSPSMG00000022820	Prolemur_simus
ENSODEP00000003383	ENSODEG00000002597	Octodon_degus
ENSETEP00000015400	ENSETEG00000018957	Echinops_telfairi
ENSNVIP00000012359	ENSNVIG00000009797	Neovison_vison
ENSLCRP00005051799	ENSLCRG00005019502	Larimichthys_crocea
ENSMUSP00000068904	ENSMUSG00000056458	Mus_musculus_strain_reference_(CL57BL6)
F52B5.2.1	WBGene00009921	Caenorhabditis_elegans_strain_N2
ENSAPOP00000011171	ENSAPOG00000013690	Acanthochromis_polyacanthus
ENSNMEP00000013142	ENSNMEG00000012028	Numida_meleagris
ENSMICP00000021343	ENSMICG00000004537	Microcebus_murinus
ENSEEUP00000011759	ENSEEUG00000012900	Erinaceus_europaeus
ENSXETP00000048557	ENSXETG00000017222	Xenopus_tropicalis
ENSUPAP00010013488	ENSUPAG00010010889	Urocitellus_parryii
MGP_PahariEiJ_P0083491	MGP_PahariEiJ_G0029877	Mus_pahari_strain_PAHARI_EIJ
ENSPMGP00000028606	ENSPMGG00000023034	Periophthalmus_magnuspinnatus
ENSCSAVP00000009829	ENSCSAVG00000005774	Ciona_savignyi
ENSAMXP00005049682	ENSAMXG00005022598	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSLCAP00010039613	ENSLCAG00010018506	Lates_calcarifer
ENSMFAP00000005362	ENSMFAG00000002346	Macaca_fascicularis
ENSCATP00000008811	ENSCATG00000026368	Cercocebus_atys
ENSNLEP00000019386	ENSNLEG00000015986	Nomascus_leucogenys
ENSSDUP00000021889	ENSSDUG00000015915	Seriola_dumerili
ENSPLAP00000008801	ENSPLAG00000011460	Poecilia_latipinna
ENSRNOP00000010529	ENSRNOG00000007850	Rattus_norvegicus
ENSGALP00000018518	ENSGALG00000011366	Gallus_gallus
ENSONIP00000006145	ENSONIG00000004887	Oreochromis_niloticus
ENSECRP00000030964	ENSECRG00000021003	Erpetoichthys_calabaricus
ENSCPUP00000005332	ENSCPUG00000003916	Calidris_pugnax
ENSSBOP00000022769	ENSSBOG00000027905	Saimiri_boliviensis_boliviensis
ENSJJAP00000006621	ENSJJAG00000011215	Jaculus_jaculus
ENSCGRP00015024601	ENSCGRG00015018671	Cricetulus_griseus_CriGri-PICR
ENSBTAP00000070530	ENSBTAG00000007008	Bos_taurus
ENSGAGP00000017842	ENSGAGG00000013244	Gopherus_agassizii	ENSGAGT00000020358
ENSMMUP00000009356	ENSMMUG00000007140	Macaca_mulatta
ENSUMAP00000002820	ENSUMAG00000002475	Ursus_maritimus
ENSORLP00000015982	ENSORLG00000012762	Oryzias_latipes_ASM223467v1
ENSPPAP00000012444	ENSPPAG00000029403	Pan_paniscus
ENSCLAP00000007241	ENSCLAG00000005095	Chinchilla_lanigera
ENSPPRP00000001740	ENSPPRG00000023887	Panthera_pardus
ENSPTEP00000000430	ENSPTEG00000000491	Piliocolobus_tephrosceles
ENSMODP00000016662	ENSMODG00000013319	Monodelphis_domestica
ENSEEEP00000013573	ENSEEEG00000006789	Electrophorus_electricus
ENSPNYP00000023052	ENSPNYG00000017378	Pundamilia_nyererei
ENSACLP00000021209	ENSACLG00000014427	Astatotilapia_calliptera
ENSMAUP00000016149	ENSMAUG00000015386	Mesocricetus_auratus
ENSCPRP00005019004	ENSCPRG00005013302	Crocodylus_porosus
ENSMUGP00000006313	ENSMUGG00000005771	Meriones_unguiculatus
ENSTNIP00000020389	ENSTNIG00000017251	Tetraodon_nigroviridis
ENSVPAP00000001873	ENSVPAG00000002029	Vicugna_pacos
ENSMNEP00000004815	ENSMNEG00000021951	Macaca_nemestrina
ENSCAFP00020011218	ENSCAFG00020009087	Canis_lupus_dingo
ENSXCOP00000004979	ENSXCOG00000003901	Xiphophorus_couchianus
ENSCGRP00000006787	ENSCGRG00000004953	Cricetulus_griseus_CriGri_1.0
ENSSHAP00000002582	ENSSHAG00000002286	Sarcophilus_harrisii
ENSDNVP00000006109	ENSDNVG00000004370	Dromaius_novaehollandiae
ENSABRP00000012585	ENSABRG00000011280	Anser_brachyrhynchus
ENSGMOP00000009971	ENSGMOG00000009331	Gadus_morhua
ENSMGAP00000014119	ENSMGAG00000013359	Meleagris_gallopavo
ENSELUP00000016238	ENSELUG00000016070	Esox_lucius
ENSANAP00000041182	ENSANAG00000037905	Aotus_nancymaae
ENSMEUP00000012826	ENSMEUG00000014067	Notamacropus_eugenii
ENSPTRP00000052464	ENSPTRG00000006738	Pan_troglodytes
ENSMZEP00005004016	ENSMZEG00005003072	Maylandia_zebra
ENSHHUP00000084070	ENSHHUG00000048757	Hucho_hucho
ENSHHUP00000047112	ENSHHUG00000028645	Hucho_hucho
ENSTGEP00000010692	ENSTGEG00000008725	Theropithecus_gelada
ENSORLP00015015249	ENSORLG00015016138	Oryzias_latipes_ASM223469v1
ENSSSCP00000068225	ENSSSCG00000002531	Sus_scrofa_strain_reference
ENSHCOP00000024127	ENSHCOG00000013224	Hippocampus_comes
ENSPEMP00000026483	ENSPEMG00000022583	Peromyscus_maniculatus_bairdii
ENSVURP00010005557	ENSVURG00010004348	Vombatus_ursinus
ENSAOCP00000012280	ENSAOCG00000016726	Amphiprion_ocellaris
ENSSMAP00000031433	ENSSMAG00000019262	Scophthalmus_maximus
ENSCPBP00000027674	ENSCPBG00000019554	Chrysemys_picta_bellii
ENSSARP00000007636	ENSSARG00000008435	Sorex_araneus
ENSAPLP00000013027	ENSAPLG00000013215	Anas_platyrhynchos_platyrhynchos
ENSSMRP00000003026	ENSSMRG00000002561	Salvator_merianae	ENSSMRT00000003614
ENSNBRP00000031294	ENSNBRG00000023769	Neolamprologus_brichardi
ENSOCUP00000011931	ENSOCUG00000013870	Oryctolagus_cuniculus
ENSAHAP00000008225	ENSAHAG00000006100	Apteryx_haastii
ENSCGRP00001011287	ENSCGRG00001012968	Cricetulus_griseus_CHOK1GS_HDv1
ENSOGAP00000015535	ENSOGAG00000028062	Otolemur_garnettii
ENSPMEP00000007903	ENSPMEG00000009637	Poecilia_mexicana
ENSTTRP00000004299	ENSTTRG00000004563	Tursiops_truncatus
ENSDCDP00000040744	ENSDCDG00000026697	Denticeps_clupeoides
MGP_SPRETEiJ_P0034914	MGP_SPRETEiJ_G0018969	Mus_spretus_strain_SPRET/EiJ
ENSMALP00000020258	ENSMALG00000014130	Monopterus_albus
ENSLOCP00000014113	ENSLOCG00000011479	Lepisosteus_oculatus
ENSHBUP00000007284	ENSHBUG00000008782	Haplochromis_burtoni
ENSOPRP00000014398	ENSOPRG00000015761	Ochotona_princeps
ENSDORP00000021398	ENSDORG00000026970	Dipodomys_ordii
ENSGAFP00000011921	ENSGAFG00000008077	Gambusia_affinis
ENSCHIP00000009933	ENSCHIG00000012619	Capra_hircus
ENSCCNP00000012421	ENSCCNG00000012876	Castor_canadensis
ENSACAP00000000162	ENSACAG00000000169	Anolis_carolinensis	ENSACAT00000000165
ENSLAFP00000008942	ENSLAFG00000010683	Loxodonta_africana
ENSMPUP00000002699	ENSMPUG00000002728	Mustela_putorius_furo
ENSBIXP00000007933	ENSBIXG00000008030	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSAOWP00000016606	ENSAOWG00000011310	Apteryx_owenii
ENSPVAP00000016781	ENSPVAG00000017789	Pteropus_vampyrus
ENSLBEP00000001810	ENSLBEG00000001392	Labrus_bergylta
ENSCAFP00000026667	ENSCAFG00000018043	Canis_lupus_familiaris
ENSPCOP00000007919	ENSPCOG00000015214	Propithecus_coquereli
ENSSFOP00015028714	ENSSFOG00015018447	Scleropages_formosus
ENSCPGP00000012753	ENSCPGG00000009055	Calidris_pygmaea
ENSMOCP00000018098	ENSMOCG00000016493	Microtus_ochrogaster
MGP_CAROLIEiJ_P0033376	MGP_CAROLIEiJ_G0018120	Mus_caroli_strain_CAROLI_EIJ
ENSNSUP00000015073	ENSNSUG00000011144	Notechis_scutatus	ENSNSUT00000016042
ENSSDAP00000018771	ENSSDAG00000017122	Spermophilus_dauricus
ENSOANP00000009139	ENSOANG00000005736	Ornithorhynchus_anatinus
ENSCSEP00000007281	ENSCSEG00000004699	Cynoglossus_semilaevis
ENSPVIP00000021989	ENSPVIG00000016645	Pogona_vitticeps	ENSPVIT00000027264
ENSCABP00000010388	ENSCABG00000007791	Chelonoidis_abingdonii
ENSNPEP00000009716	ENSNPEG00000007282	Nothoprocta_perdicaria
ENSBIXP00005010257	ENSBIXG00005002183	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSRBIP00000014998	ENSRBIG00000031609	Rhinopithecus_bieti
ENSPSIP00000019504	ENSPSIG00000017309	Pelodiscus_sinensis
ENSAMEP00000019261	ENSAMEG00000018219	Ailuropoda_melanoleuca
ENSIPUP00000024450	ENSIPUG00000016506	Ictalurus_punctatus
