ENSGWIP00000003296	ENSGWIG00000001807	Gouania_willdenowi
ENSPMGP00000009218	ENSPMGG00000007634	Periophthalmus_magnuspinnatus
ENSCSEP00000005666	ENSCSEG00000003657	Cynoglossus_semilaevis
ENSTRUP00000007099	ENSTRUG00000003037	Takifugu_rubripes
ENSTNIP00000020143	ENSTNIG00000017017	Tetraodon_nigroviridis
ENSMMOP00000010376	ENSMMOG00000008003	Mola_mola
ENSLCRP00005061154	ENSLCRG00005022561	Larimichthys_crocea
ENSCGOP00000035887	ENSCGOG00000016614	Cottoperca_gobio
ENSGACP00000013557	ENSGACG00000010255	Gasterosteus_aculeatus
ENSLBEP00000025269	ENSLBEG00000019200	Labrus_bergylta
ENSMAMP00000023453	ENSMAMG00000015784	Mastacembelus_armatus
ENSMALP00000028519	ENSMALG00000019757	Monopterus_albus
ENSATEP00000013443	ENSATEG00000009357	Anabas_testudineus
ENSBSLP00000041059	ENSBSLG00000019860	Betta_splendens
ENSLCAP00010039715	ENSLCAG00010018556	Lates_calcarifer
ENSSMAP00000031242	ENSSMAG00000019133	Scophthalmus_maximus
ENSSDUP00000022709	ENSSDUG00000016516	Seriola_dumerili
ENSSLDP00000020948	ENSSLDG00000016356	Seriola_lalandi_dorsalis
ENSAOCP00000031253	ENSAOCG00000022808	Amphiprion_ocellaris
ENSAPEP00000007153	ENSAPEG00000005096	Amphiprion_percula
ENSAPOP00000023480	ENSAPOG00000005353	Acanthochromis_polyacanthus
ENSSPAP00000006608	ENSSPAG00000005063	Stegastes_partitus
ENSPRNP00000034903	ENSPRNG00000017525	Parambassis_ranga
ENSMZEP00005036783	ENSMZEG00005027419	Maylandia_zebra
ENSACLP00000032003	ENSACLG00000021709	Astatotilapia_calliptera
ENSHBUP00000013567	ENSHBUG00000015450	Haplochromis_burtoni
ENSPNYP00000003067	ENSPNYG00000002369	Pundamilia_nyererei
ENSNBRP00000019018	ENSNBRG00000014611	Neolamprologus_brichardi
ENSONIP00000000947	ENSONIG00000000751	Oreochromis_niloticus
ENSACIP00000009982	ENSACIG00000007804	Amphilophus_citrinellus
ENSFHEP00000021008	ENSFHEG00000023092	Fundulus_heteroclitus
ENSCVAP00000013938	ENSCVAG00000016499	Cyprinodon_variegatus
ENSXMAP00000040554	ENSXMAG00000018564	Xiphophorus_maculatus
ENSXCOP00000016396	ENSXCOG00000012382	Xiphophorus_couchianus
ENSGAFP00000029402	ENSGAFG00000019830	Gambusia_affinis
ENSPFOP00000018799	ENSPFOG00000018683	Poecilia_formosa
ENSPFOP00000018753	ENSPFOG00000018643	Poecilia_formosa
