FBpp0082713	FBgn0020407	Drosophila_melanogaster	FBtr0083259
R02D3.4a.1	WBGene00019822	Caenorhabditis_elegans_strain_N2	R02D3.4a.1
ENSAHAP00000000949	ENSAHAG00000000813	Apteryx_haastii
ENSARWP00000027177	ENSARWG00000018373	Apteryx_rowi
ENSAOWP00000015057	ENSAOWG00000010196	Apteryx_owenii
ENSDNVP00000000783	ENSDNVG00000000593	Dromaius_novaehollandiae
ENSNPEP00000002937	ENSNPEG00000001887	Nothoprocta_perdicaria
ENSTGUP00000012557	ENSTGUG00000012188	Taeniopygia_guttata
ENSLSDP00000009182	ENSLSDG00000006828	Lonchura_striata_domestica
ENSSCAP00000012516	ENSSCAG00000009349	Serinus_canaria
ENSJHYP00000013170	ENSJHYG00000010216	Junco_hyemalis
ENSZALP00000000772	ENSZALG00000000901	Zonotrichia_albicollis
ENSPMJP00000011830	ENSPMJG00000009129	Parus_major
ENSCCEP00000021363	ENSCCEG00000019366	Cyanistes_caeruleus
ENSFALP00000004075	ENSFALG00000003909	Ficedula_albicollis
ENSLCOP00000010882	ENSLCOG00000007919	Lepidothrix_coronata
ENSMVIP00005028661	ENSMVIG00005019943	Manacus_vitellinus
ENSMUNP00000009552	ENSMUNG00000007545	Melopsittacus_undulatus
ENSCPGP00000018665	ENSCPGG00000013046	Calidris_pygmaea
ENSCPUP00000007843	ENSCPUG00000005657	Calidris_pugnax
ENSABRP00000018399	ENSABRG00000015817	Anser_brachyrhynchus
ENSAPLP00000007006	ENSAPLG00000007349	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000018343	ENSMGAG00000016637	Meleagris_gallopavo
ENSMGAP00000014494	ENSMGAG00000013714	Meleagris_gallopavo
ENSCJPP00005017376	ENSCJPG00005014197	Coturnix_japonica
ENSGALP00000022761	ENSGALG00000014083	Gallus_gallus
ENSNMEP00000014908	ENSNMEG00000013276	Numida_meleagris
ENSCPRP00005006845	ENSCPRG00005004880	Crocodylus_porosus
ENSCABP00000026742	ENSCABG00000019626	Chelonoidis_abingdonii
ENSGAGP00000023835	ENSGAGG00000017444	Gopherus_agassizii
ENSCPBP00000032951	ENSCPBG00000023095	Chrysemys_picta_bellii
ENSPSIP00000020174	ENSPSIG00000017830	Pelodiscus_sinensis
ENSPVIP00000003627	ENSPVIG00000003017	Pogona_vitticeps
ENSACAP00000011980	ENSACAG00000012201	Anolis_carolinensis
ENSNSUP00000017218	ENSNSUG00000012613	Notechis_scutatus
ENSSMRP00000015629	ENSSMRG00000012157	Salvator_merianae
ENSSPUP00000020356	ENSSPUG00000015622	Sphenodon_punctatus
ENSMSIP00000016629	ENSMSIG00000014265	Mus_spicilegus
MGP_CAROLIEiJ_P0076845	MGP_CAROLIEiJ_G0029054	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000032427	ENSMUSG00000040250	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0080120	MGP_SPRETEiJ_G0030109	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0053201	MGP_PahariEiJ_G0022816	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000061847	ENSRNOG00000001808	Rattus_norvegicus
ENSMUGP00000024444	ENSMUGG00000020434	Meriones_unguiculatus
ENSCGRP00000015581	ENSCGRG00000011310	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015005256	ENSCGRG00015004076	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001017475	ENSCGRG00001017512	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000002772	ENSMAUG00000002411	Mesocricetus_auratus
ENSMOCP00000001564	ENSMOCG00000001190	Microtus_ochrogaster
ENSPEMP00000003654	ENSPEMG00000005292	Peromyscus_maniculatus_bairdii
ENSNGAP00000015047	ENSNGAG00000016180	Nannospalax_galili
ENSOCUP00000007198	ENSOCUG00000008328	Oryctolagus_cuniculus
ENSOPRP00000015288	ENSOPRG00000016736	Ochotona_princeps
ENSEEUP00000004557	ENSEEUG00000004971	Erinaceus_europaeus
ENSPPYP00000023796	ENSPPYG00000029635	Pongo_abelii
ENSPPYP00000023978	ENSPPYG00000029468	Pongo_abelii
ENSPTRP00000008162	ENSPTRG00000004782	Pan_troglodytes
ENSPPAP00000002873	ENSPPAG00000012301	Pan_paniscus
ENSP00000261191	ENSG00000064102	Homo_sapiens
ENSGGOP00000011546	ENSGGOG00000011827	Gorilla_gorilla
ENSNLEP00000006535	ENSNLEG00000005368	Nomascus_leucogenys
ENSCANP00000027277	ENSCANG00000037034	Colobus_angolensis_palliatus
ENSPTEP00000031492	ENSPTEG00000030408	Piliocolobus_tephrosceles
ENSRROP00000040224	ENSRROG00000043367	Rhinopithecus_roxellana
ENSRBIP00000029516	ENSRBIG00000038639	Rhinopithecus_bieti
ENSMMUP00000008522	ENSMMUG00000006466	Macaca_mulatta
ENSMFAP00000041429	ENSMFAG00000041404	Macaca_fascicularis
ENSMNEP00000045901	ENSMNEG00000045424	Macaca_nemestrina
ENSCATP00000022225	ENSCATG00000034727	Cercocebus_atys
ENSMLEP00000038500	ENSMLEG00000043300	Mandrillus_leucophaeus
ENSTGEP00000033875	ENSTGEG00000027037	Theropithecus_gelada
ENSPANP00000024505	ENSPANG00000001087	Papio_anubis
ENSCSAP00000003943	ENSCSAG00000007677	Chlorocebus_sabaeus
ENSCCAP00000013332	ENSCCAG00000024460	Cebus_capucinus_imitator
ENSCJAP00000062123	ENSCJAG00000044044	Callithrix_jacchus
ENSSBOP00000008110	ENSSBOG00000020959	Saimiri_boliviensis_boliviensis
ENSANAP00000008688	ENSANAG00000022317	Aotus_nancymaae
ENSTSYP00000010344	ENSTSYG00000011213	Carlito_syrichta
ENSMICP00000019651	ENSMICG00000037722	Microcebus_murinus
ENSPCOP00000003859	ENSPCOG00000011504	Propithecus_coquereli
ENSPSMP00000026025	ENSPSMG00000018258	Prolemur_simus
ENSOGAP00000008768	ENSOGAG00000009801	Otolemur_garnettii
ENSUPAP00010019640	ENSUPAG00010015517	Urocitellus_parryii
ENSMMMP00000020928	ENSMMMG00000018473	Marmota_marmota_marmota
ENSSDAP00000018263	ENSSDAG00000016678	Spermophilus_dauricus
ENSSTOP00000022453	ENSSTOG00000025972	Ictidomys_tridecemlineatus
ENSCLAP00000022974	ENSCLAG00000015765	Chinchilla_lanigera
ENSODEP00000014347	ENSODEG00000010618	Octodon_degus
ENSCPOP00000013516	ENSCPOG00000014999	Cavia_porcellus
ENSCAPP00000001330	ENSCAPG00000002452	Cavia_aperea
ENSHGLP00100008208	ENSHGLG00100006102	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000014241	ENSHGLG00000010176	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000002706	ENSFDAG00000012344	Fukomys_damarensis
ENSCCNP00000030722	ENSCCNG00000029355	Castor_canadensis
ENSTBEP00000009603	ENSTBEG00000011096	Tupaia_belangeri
ENSPVAP00000012590	ENSPVAG00000013350	Pteropus_vampyrus
ENSMLUP00000011272	ENSMLUG00000012374	Myotis_lucifugus
ENSUMAP00000004186	ENSUMAG00000003398	Ursus_maritimus
ENSUAMP00000002157	ENSUAMG00000001980	Ursus_americanus
ENSAMEP00000012354	ENSAMEG00000011715	Ailuropoda_melanoleuca
ENSNVIP00000001752	ENSNVIG00000001404	Neovison_vison
ENSMPUP00000010317	ENSMPUG00000010392	Mustela_putorius_furo
ENSCAFP00000016566	ENSCAFG00000011253	Canis_lupus_familiaris
ENSCAFP00020016143	ENSCAFG00020012960	Canis_lupus_dingo
ENSVVUP00000042654	ENSVVUG00000030299	Vulpes_vulpes
ENSPPRP00000001695	ENSPPRG00000023929	Panthera_pardus
ENSPTIP00000014486	ENSPTIG00000013897	Panthera_tigris_altaica
ENSFCAP00000003991	ENSFCAG00000004325	Felis_catus
ENSTTRP00000002549	ENSTTRG00000002720	Tursiops_truncatus
ENSSSCP00000035696	ENSSSCG00000030443	Sus_scrofa_strain_reference
ENSCHIP00000001381	ENSCHIG00000002599	Capra_hircus
ENSOARP00000021316	ENSOARG00000019852	Ovis_aries
ENSBIXP00000024160	ENSBIXG00000001470	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005000950	ENSBIXG00005029676	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000051597	ENSBTAG00000013515	Bos_taurus
ENSBMUP00000030309	ENSBMUG00000022679	Bos_mutus
ENSBBBP00000001409	ENSBBBG00000010504	Bison_bison_bison
ENSVPAP00000011311	ENSVPAG00000012162	Vicugna_pacos
ENSECAP00000007379	ENSECAG00000009087	Equus_caballus
ENSEASP00005009350	ENSEASG00005006681	Equus_asinus_asinus
ENSLAFP00000010423	ENSLAFG00000012475	Loxodonta_africana
ENSPCAP00000007705	ENSPCAG00000008225	Procavia_capensis
ENSCHOP00000003879	ENSCHOG00000004380	Choloepus_hoffmanni
ENSDNOP00000009353	ENSDNOG00000012051	Dasypus_novemcinctus
ENSDORP00000012136	ENSDORG00000012904	Dipodomys_ordii
ENSCCNP00000030746	ENSCCNG00000029380	Castor_canadensis
ENSJJAP00000009183	ENSJJAG00000013125	Jaculus_jaculus
ENSETEP00000016501	ENSETEG00000020311	Echinops_telfairi
ENSSARP00000010781	ENSSARG00000011933	Sorex_araneus
ENSOANP00000014524	ENSOANG00000009125	Ornithorhynchus_anatinus
ENSOANP00000025698	ENSOANG00000020224	Ornithorhynchus_anatinus
ENSVURP00010019942	ENSVURG00010015245	Vombatus_ursinus
ENSPCIP00000025557	ENSPCIG00000019233	Phascolarctos_cinereus
ENSMEUP00000007651	ENSMEUG00000008361	Notamacropus_eugenii
ENSSHAP00000011040	ENSSHAG00000009510	Sarcophilus_harrisii
ENSMODP00000020737	ENSMODG00000016614	Monodelphis_domestica
ENSLACP00000007591	ENSLACG00000006727	Latimeria_chalumnae
ENSCMIP00000028151	ENSCMIG00000012173	Callorhinchus_milii
ENSOANP00000032428	ENSOANG00000031035	Ornithorhynchus_anatinus
ENSPKIP00000000660	ENSPKIG00000019221	Paramormyrops_kingsleyae	ENSPKIT00000024558
ENSSFOP00015017772	ENSSFOG00015011412	Scleropages_formosus	ENSSFOT00015017973
ENSCHAP00000013707	ENSCHAG00000006399	Clupea_harengus	ENSCHAT00000015191
ENSDCDP00000039068	ENSDCDG00000025410	Denticeps_clupeoides	ENSDCDT00000049928
ENSAMXP00000003748	ENSAMXG00000003664	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000003748
ENSAMXP00005004197	ENSAMXG00005002541	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000009248	ENSPNAG00000014806	Pygocentrus_nattereri
ENSIPUP00000021618	ENSIPUG00000014623	Ictalurus_punctatus
ENSEEEP00000042801	ENSEEEG00000020146	Electrophorus_electricus
ENSDARP00000011401	ENSDARG00000011764	Danio_rerio
ENSORLP00020032955	ENSORLG00020018764	Oryzias_latipes_ASM223471v1
ENSORLP00015016199	ENSORLG00015017193	Oryzias_latipes_ASM223469v1
ENSORLP00000016785	ENSORLG00000013384	Oryzias_latipes_ASM223467v1
