ENSCCNP00000005553	ENSCCNG00000005899	Castor_canadensis
ENSDORP00000005645	ENSDORG00000006030	Dipodomys_ordii
ENSUPAP00010015476	ENSUPAG00010012375	Urocitellus_parryii
ENSMMMP00000009192	ENSMMMG00000008221	Marmota_marmota_marmota
ENSSTOP00000007409	ENSSTOG00000008278	Ictidomys_tridecemlineatus
ENSSDAP00000002055	ENSSDAG00000001971	Spermophilus_dauricus
ENSMUSP00000131386	ENSMUSG00000002014	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0095478	MGP_SPRETEiJ_G0034316	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0091726	MGP_CAROLIEiJ_G0033161	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0089352	MGP_PahariEiJ_G0031704	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000070206	ENSRNOG00000053172	Rattus_norvegicus
ENSMUGP00000020275	ENSMUGG00000017119	Meriones_unguiculatus
ENSCGRP00015006406	ENSCGRG00015004957	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001020122	ENSCGRG00001019369	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005665	ENSCGRG00000004145	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000015706	ENSMAUG00000015090	Mesocricetus_auratus
ENSMAUP00000009455	ENSMAUG00000010614	Mesocricetus_auratus
ENSMOCP00000000600	ENSMOCG00000000481	Microtus_ochrogaster
ENSPEMP00000006561	ENSPEMG00000008760	Peromyscus_maniculatus_bairdii
ENSNGAP00000014495	ENSNGAG00000015787	Nannospalax_galili
ENSNGAP00000016453	ENSNGAG00000017182	Nannospalax_galili
ENSJJAP00000015785	ENSJJAG00000017842	Jaculus_jaculus
ENSMICP00000046078	ENSMICG00000003476	Microcebus_murinus
ENSPCOP00000032166	ENSPCOG00000028866	Propithecus_coquereli
ENSPSMP00000033946	ENSPSMG00000023367	Prolemur_simus
ENSOGAP00000006029	ENSOGAG00000006738	Otolemur_garnettii
ENSSBOP00000010984	ENSSBOG00000022316	Saimiri_boliviensis_boliviensis
ENSCCAP00000005452	ENSCCAG00000020454	Cebus_capucinus_imitator
ENSCJAP00000020595	ENSCJAG00000011167	Callithrix_jacchus
ENSANAP00000034990	ENSANAG00000035059	Aotus_nancymaae
ENSPTRP00000092223	ENSPTRG00000022412	Pan_troglodytes
ENSPPAP00000036517	ENSPPAG00000041018	Pan_paniscus
ENSP00000317331	ENSG00000180879	Homo_sapiens
ENSGGOP00000050557	ENSGGOG00000024329	Gorilla_gorilla
ENSPPYP00000023341	ENSPPYG00000020856	Pongo_abelii
ENSNLEP00000016492	ENSNLEG00000013602	Nomascus_leucogenys
ENSMLEP00000003817	ENSMLEG00000016802	Mandrillus_leucophaeus
ENSCATP00000001350	ENSCATG00000006344	Cercocebus_atys
ENSTGEP00000013245	ENSTGEG00000010772	Theropithecus_gelada
ENSPANP00000005586	ENSPANG00000006591	Papio_anubis
ENSMMUP00000004497	ENSMMUG00000003375	Macaca_mulatta
ENSMFAP00000029295	ENSMFAG00000041921	Macaca_fascicularis
ENSMNEP00000039554	ENSMNEG00000042721	Macaca_nemestrina
ENSCSAP00000003163	ENSCSAG00000006874	Chlorocebus_sabaeus
ENSCANP00000002013	ENSCANG00000007453	Colobus_angolensis_palliatus
ENSPTEP00000012295	ENSPTEG00000013816	Piliocolobus_tephrosceles
ENSRBIP00000003308	ENSRBIG00000015579	Rhinopithecus_bieti
ENSRROP00000023595	ENSRROG00000035638	Rhinopithecus_roxellana
ENSTSYP00000026910	ENSTSYG00000030184	Carlito_syrichta
ENSOCUP00000023468	ENSOCUG00000027360	Oryctolagus_cuniculus
ENSPTEP00000008854	ENSPTEG00000010037	Piliocolobus_tephrosceles
