ENSTGEP00000030117	ENSTGEG00000024195	Theropithecus_gelada
ENSRROP00000013064	ENSRROG00000030819	Rhinopithecus_roxellana
ENSUAMP00000035141	ENSUAMG00000026688	Ursus_americanus
ENSAPLP00000020147	ENSAPLG00000017467	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000005750	ENSCPUG00000004210	Calidris_pugnax
ENSCAFP00000008523	ENSCAFG00000005699	Canis_lupus_familiaris
ENSCGRP00000023077	ENSCGRG00000016712	Cricetulus_griseus_CriGri_1.0
ENSLAFP00000008345	ENSLAFG00000009966	Loxodonta_africana
ENSPPRP00000029533	ENSPPRG00000022179	Panthera_pardus
ENSCAPP00000013747	ENSCAPG00000014303	Cavia_aperea
ENSCJPP00005013512	ENSCJPG00005011393	Coturnix_japonica
ENSCATP00000025061	ENSCATG00000036027	Cercocebus_atys
ENSZALP00000003546	ENSZALG00000003515	Zonotrichia_albicollis
ENSJJAP00000002890	ENSJJAG00000005322	Jaculus_jaculus
ENSCCNP00000021752	ENSCCNG00000021489	Castor_canadensis
MGP_SPRETEiJ_P0048278	MGP_SPRETEiJ_G0023026	Mus_spretus_strain_SPRET/EiJ
ENSPVAP00000014556	ENSPVAG00000015436	Pteropus_vampyrus
ENSLCOP00000007323	ENSLCOG00000005374	Lepidothrix_coronata
ENSMMUP00000074933	ENSMMUG00000018744	Macaca_mulatta
ENSFALP00000003101	ENSFALG00000002969	Ficedula_albicollis
ENSPTIP00000008590	ENSPTIG00000009915	Panthera_tigris_altaica
ENSNVIP00000018248	ENSNVIG00000014272	Neovison_vison
MGP_CAROLIEiJ_P0046351	MGP_CAROLIEiJ_G0022114	Mus_caroli_strain_CAROLI_EIJ
ENSSSCP00000054704	ENSSSCG00000014356	Sus_scrofa_strain_reference
ENSMLUP00000002758	ENSMLUG00000003038	Myotis_lucifugus
ENSMICP00000011404	ENSMICG00000012529	Microcebus_murinus
ENSOCUP00000026543	ENSOCUG00000006955	Oryctolagus_cuniculus
