ENSRROP00000037199	ENSRROG00000042037	Rhinopithecus_roxellana
ENSRBIP00000037233	ENSRBIG00000042213	Rhinopithecus_bieti
ENSCANP00000023759	ENSCANG00000035289	Colobus_angolensis_palliatus
ENSPTEP00000033471	ENSPTEG00000031959	Piliocolobus_tephrosceles
ENSCATP00000027872	ENSCATG00000037270	Cercocebus_atys
ENSMLEP00000018402	ENSMLEG00000033386	Mandrillus_leucophaeus
ENSMFAP00000032881	ENSMFAG00000002993	Macaca_fascicularis
ENSMNEP00000011962	ENSMNEG00000030307	Macaca_nemestrina
ENSPANP00000047272	ENSPANG00000032654	Papio_anubis
ENSNLEP00000026178	ENSNLEG00000028749	Nomascus_leucogenys
ENSCCAP00000021559	ENSCCAG00000028615	Cebus_capucinus_imitator
