ENSTGEP00000002188	ENSTGEG00000001931	Theropithecus_gelada
ENSDORP00000010654	ENSDORG00000011334	Dipodomys_ordii
ENSBIXP00005033308	ENSBIXG00005014046	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSAOWP00000027780	ENSAOWG00000018723	Apteryx_owenii
ENSFHEP00000025435	ENSFHEG00000007643	Fundulus_heteroclitus
ENSABRP00000007067	ENSABRG00000006504	Anser_brachyrhynchus
ENSSPAP00000008848	ENSSPAG00000006752	Stegastes_partitus
ENSSMAP00000026251	ENSSMAG00000016059	Scophthalmus_maximus
ENSDCDP00000033897	ENSDCDG00000023006	Denticeps_clupeoides	ENSDCDT00000043484
ENSETEP00000007921	ENSETEG00000009758	Echinops_telfairi
ENSPANP00000002523	ENSPANG00000014078	Papio_anubis
ENSSMRP00000020388	ENSSMRG00000015864	Salvator_merianae
ENSECRP00000001550	ENSECRG00000001088	Erpetoichthys_calabaricus
ENSLCRP00005001616	ENSLCRG00005000805	Larimichthys_crocea
ENSSBOP00000000372	ENSSBOG00000001609	Saimiri_boliviensis_boliviensis
ENSPEMP00000018765	ENSPEMG00000017261	Peromyscus_maniculatus_bairdii
ENSMVIP00005014172	ENSMVIG00005010237	Manacus_vitellinus
ENSPMJP00000012927	ENSPMJG00000009900	Parus_major
ENSAMEP00000015626	ENSAMEG00000014839	Ailuropoda_melanoleuca
ENSTTRP00000013752	ENSTTRG00000014505	Tursiops_truncatus
ENSPKIP00000029026	ENSPKIG00000010436	Paramormyrops_kingsleyae	ENSPKIT00000009817
ENSXETP00000000156	ENSXETG00000000628	Xenopus_tropicalis
ENSCLAP00000004235	ENSCLAG00000003020	Chinchilla_lanigera
ENSPVIP00000022496	ENSPVIG00000016973	Pogona_vitticeps
ENSIPUP00000009545	ENSIPUG00000006549	Ictalurus_punctatus	ENSIPUT00000009967
ENSPVIP00000022494	ENSPVIG00000016972	Pogona_vitticeps
ENSCANP00000010127	ENSCANG00000028477	Colobus_angolensis_palliatus
ENSPCIP00000032652	ENSPCIG00000024234	Phascolarctos_cinereus
ENSJJAP00000013852	ENSJJAG00000016470	Jaculus_jaculus
MGP_SPRETEiJ_P0060668	MGP_SPRETEiJ_G0026092	Mus_spretus_strain_SPRET/EiJ
ENSPSIP00000010340	ENSPSIG00000009383	Pelodiscus_sinensis
ENSTNIP00000015961	ENSTNIG00000012982	Tetraodon_nigroviridis
ENSCPOP00000016308	ENSCPOG00000012633	Cavia_porcellus
ENSAHAP00000000697	ENSAHAG00000000615	Apteryx_haastii
ENSAMXP00005027135	ENSAMXG00005013625	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCSAP00000015872	ENSCSAG00000002168	Chlorocebus_sabaeus
ENSMLUP00000009418	ENSMLUG00000010343	Myotis_lucifugus
ENSLBEP00000022642	ENSLBEG00000017366	Labrus_bergylta
ENSBIXP00000042468	ENSBIXG00000026502	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSJHYP00000015379	ENSJHYG00000011812	Junco_hyemalis
ENSMICP00000035906	ENSMICG00000028740	Microcebus_murinus
ENSCPBP00000037929	ENSCPBG00000026272	Chrysemys_picta_bellii
ENSCSEP00000015854	ENSCSEG00000010193	Cynoglossus_semilaevis
ENSMOCP00000014979	ENSMOCG00000014313	Microtus_ochrogaster
ENSLAFP00000007792	ENSLAFG00000009297	Loxodonta_africana
ENSLOCP00000009858	ENSLOCG00000008116	Lepisosteus_oculatus
ENSXMAP00000013284	ENSXMAG00000013252	Xiphophorus_maculatus
ENSCAFP00020006491	ENSCAFG00020005259	Canis_lupus_dingo
ENSAMXP00000047773	ENSAMXG00000037946	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSNVIP00000027144	ENSNVIG00000021004	Neovison_vison
ENSMLEP00000014828	ENSMLEG00000031581	Mandrillus_leucophaeus
ENSLBEP00000027814	ENSLBEG00000021073	Labrus_bergylta
ENSMNEP00000025502	ENSMNEG00000036233	Macaca_nemestrina
ENSCPRP00005011052	ENSCPRG00005007895	Crocodylus_porosus
ENSORLP00020031441	ENSORLG00020016462	Oryzias_latipes_ASM223471v1
ENSLCOP00000008392	ENSLCOG00000006151	Lepidothrix_coronata
ENSNBRP00000016115	ENSNBRG00000012455	Neolamprologus_brichardi
ENSMFAP00000035531	ENSMFAG00000036444	Macaca_fascicularis
ENSMPUP00000004097	ENSMPUG00000004131	Mustela_putorius_furo
ENSPLAP00000018090	ENSPLAG00000022688	Poecilia_latipinna
ENSGWIP00000037260	ENSGWIG00000019152	Gouania_willdenowi
ENSMMOP00000003374	ENSMMOG00000002708	Mola_mola
ENSCCNP00000024573	ENSCCNG00000024046	Castor_canadensis
ENSECAP00000036590	ENSECAG00000006632	Equus_caballus
ENSACIP00000008402	ENSACIG00000006603	Amphilophus_citrinellus
ENSPNAP00000027144	ENSPNAG00000012553	Pygocentrus_nattereri
ENSCAFP00000024675	ENSCAFG00000016781	Canis_lupus_familiaris
ENSHGLP00000004727	ENSHGLG00000003467	Heterocephalus_glaber_HetGla_female_1.0
ENSORLP00015035824	ENSORLG00015022661	Oryzias_latipes_ASM223469v1
ENSHHUP00000028404	ENSHHUG00000018086	Hucho_hucho
ENSMMUP00000063349	ENSMMUG00000060011	Macaca_mulatta
ENSGMOP00000004093	ENSGMOG00000003874	Gadus_morhua
ENSPTEP00000011699	ENSPTEG00000013175	Piliocolobus_tephrosceles
MGP_CAROLIEiJ_P0058338	MGP_CAROLIEiJ_G0025151	Mus_caroli_strain_CAROLI_EIJ
ENSPVAP00000007084	ENSPVAG00000007506	Pteropus_vampyrus
ENSARWP00000017974	ENSARWG00000012363	Apteryx_rowi
ENSP00000255039	ENSG00000132702	Homo_sapiens
ENSCGOP00000003240	ENSCGOG00000001743	Cottoperca_gobio
ENSPMGP00000002153	ENSPMGG00000001674	Periophthalmus_magnuspinnatus
ENSPFOP00000018332	ENSPFOG00000018224	Poecilia_formosa
ENSODEP00000012758	ENSODEG00000009442	Octodon_degus
ENSPSIP00000010233	ENSPSIG00000009263	Pelodiscus_sinensis
ENSCCAP00000004694	ENSCCAG00000019932	Cebus_capucinus_imitator
ENSSDUP00000020924	ENSSDUG00000015229	Seriola_dumerili
ENSOPRP00000005036	ENSOPRG00000005492	Ochotona_princeps
ENSMGAP00000008957	ENSMGAG00000008723	Meleagris_gallopavo
ENSCJAP00000011159	ENSCJAG00000006071	Callithrix_jacchus
ENSPTRP00000065196	ENSPTRG00000047574	Pan_troglodytes
ENSCHIP00000030786	ENSCHIG00000025407	Capra_hircus
ENSXCOP00000005853	ENSXCOG00000004539	Xiphophorus_couchianus
ENSEEEP00000030759	ENSEEEG00000014715	Electrophorus_electricus	ENSEEET00000031124
ENSATEP00000029616	ENSATEG00000020440	Anabas_testudineus
ENSUAMP00000016886	ENSUAMG00000013409	Ursus_americanus
ENSCCEP00000009289	ENSCCEG00000009441	Cyanistes_caeruleus
ENSVPAP00000002206	ENSVPAG00000002386	Vicugna_pacos
ENSMAUP00000016785	ENSMAUG00000015816	Mesocricetus_auratus
