ENSPMAP00000009820	ENSPMAG00000008920	Petromyzon_marinus	ENSPMAT00000009861
ENSPMAP00000008457	ENSPMAG00000007692	Petromyzon_marinus	ENSPMAT00000008495
ENSEBUP00000003842	ENSEBUG00000002689	Eptatretus_burgeri	ENSEBUT00000004238
ENSDORP00000016383	ENSDORG00000023702	Dipodomys_ordii
ENSJJAP00000019419	ENSJJAG00000020361	Jaculus_jaculus
ENSCPOP00000007543	ENSCPOG00000008390	Cavia_porcellus
ENSCAPP00000005843	ENSCAPG00000008051	Cavia_aperea
ENSCLAP00000000572	ENSCLAG00000000463	Chinchilla_lanigera
ENSODEP00000000184	ENSODEG00000000161	Octodon_degus
ENSHGLP00000011391	ENSHGLG00000008167	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025295	ENSHGLG00100018558	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017039	ENSFDAG00000005696	Fukomys_damarensis
ENSMUSP00000029738	ENSMUSG00000028096	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0061769	MGP_SPRETEiJ_G0026341	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000026015	ENSMSIG00000021948	Mus_spicilegus
MGP_CAROLIEiJ_P0059384	MGP_CAROLIEiJ_G0025394	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0070347	MGP_PahariEiJ_G0026839	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000000106	ENSRNOG00000000095	Rattus_norvegicus
ENSMUGP00000014596	ENSMUGG00000012649	Meriones_unguiculatus
ENSCGRP00001008485	ENSCGRG00001010733	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017204	ENSCGRG00000012507	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015032933	ENSCGRG00015024835	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000009461	ENSMAUG00000010582	Mesocricetus_auratus
ENSMOCP00000005790	ENSMOCG00000005315	Microtus_ochrogaster
ENSPEMP00000001317	ENSPEMG00000000972	Peromyscus_maniculatus_bairdii
ENSNGAP00000021289	ENSNGAG00000020501	Nannospalax_galili
ENSCCNP00000015997	ENSCCNG00000016337	Castor_canadensis
ENSEEUP00000006161	ENSEEUG00000006758	Erinaceus_europaeus
ENSP00000358233	ENSG00000188092	Homo_sapiens
ENSP00000319673	ENSG00000117262	Homo_sapiens
ENSPTRP00000002068	ENSPTRG00000001213	Pan_troglodytes
ENSPPAP00000010819	ENSPPAG00000028616	Pan_paniscus
ENSPPYP00000001093	ENSPPYG00000000940	Pongo_abelii
ENSNLEP00000006783	ENSNLEG00000005551	Nomascus_leucogenys
ENSRROP00000013973	ENSRROG00000031200	Rhinopithecus_roxellana
ENSRBIP00000019829	ENSRBIG00000033905	Rhinopithecus_bieti
ENSCANP00000036050	ENSCANG00000041707	Colobus_angolensis_palliatus
ENSMMUP00000025803	ENSMMUG00000019640	Macaca_mulatta
ENSMNEP00000011590	ENSMNEG00000030135	Macaca_nemestrina
ENSMFAP00000008805	ENSMFAG00000001098	Macaca_fascicularis
ENSCSAP00000016275	ENSCSAG00000001755	Chlorocebus_sabaeus
ENSTGEP00000011884	ENSTGEG00000009677	Theropithecus_gelada
ENSCATP00000025075	ENSCATG00000036016	Cercocebus_atys
ENSMLEP00000010039	ENSMLEG00000029169	Mandrillus_leucophaeus
ENSPANP00000010658	ENSPANG00000010866	Papio_anubis
ENSCCAP00000022381	ENSCCAG00000028988	Cebus_capucinus_imitator
ENSCJAP00000004258	ENSCJAG00000002362	Callithrix_jacchus
ENSANAP00000014513	ENSANAG00000025157	Aotus_nancymaae
ENSPTEP00000008359	ENSPTEG00000009481	Piliocolobus_tephrosceles
ENSSBOP00000025682	ENSSBOG00000029296	Saimiri_boliviensis_boliviensis
ENSPANP00000023037	ENSPANG00000030903	Papio_anubis
ENSMFAP00000041591	ENSMFAG00000041502	Macaca_fascicularis
ENSRROP00000027154	ENSRROG00000037353	Rhinopithecus_roxellana
ENSRBIP00000026864	ENSRBIG00000037296	Rhinopithecus_bieti
ENSPTEP00000040110	ENSPTEG00000037003	Piliocolobus_tephrosceles
ENSNLEP00000039398	ENSNLEG00000036333	Nomascus_leucogenys
ENSTSYP00000026842	ENSTSYG00000026694	Carlito_syrichta
ENSPSMP00000019122	ENSPSMG00000013481	Prolemur_simus
ENSPCOP00000028444	ENSPCOG00000026855	Propithecus_coquereli
ENSMICP00000032269	ENSMICG00000005562	Microcebus_murinus
ENSOGAP00000003209	ENSOGAG00000003605	Otolemur_garnettii
ENSTBEP00000008401	ENSTBEG00000009699	Tupaia_belangeri
ENSUAMP00000028926	ENSUAMG00000022105	Ursus_americanus
ENSCHOP00000010204	ENSCHOG00000011552	Choloepus_hoffmanni
ENSOCUP00000040473	ENSOCUG00000002960	Oryctolagus_cuniculus
ENSOPRP00000013257	ENSOPRG00000014521	Ochotona_princeps
ENSCHOP00000004160	ENSCHOG00000004698	Choloepus_hoffmanni
ENSDNOP00000002843	ENSDNOG00000003690	Dasypus_novemcinctus
ENSLAFP00000010243	ENSLAFG00000012258	Loxodonta_africana
ENSPCAP00000009574	ENSPCAG00000010238	Procavia_capensis
ENSBIXP00005021059	ENSBIXG00005024260	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000043069	ENSBTAG00000005809	Bos_taurus
ENSBMUP00000008520	ENSBMUG00000006661	Bos_mutus
ENSBIXP00000021444	ENSBIXG00000024530	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000011067	ENSBBBG00000004912	Bison_bison_bison
ENSCHIP00000018378	ENSCHIG00000017806	Capra_hircus
ENSOARP00000022091	ENSOARG00000020559	Ovis_aries
ENSTTRP00000008747	ENSTTRG00000009225	Tursiops_truncatus
ENSSSCP00000062804	ENSSSCG00000006694	Sus_scrofa_strain_reference
ENSAMEP00000018479	ENSAMEG00000017475	Ailuropoda_melanoleuca
ENSUMAP00000013709	ENSUMAG00000010086	Ursus_maritimus
ENSMPUP00000000620	ENSMPUG00000000626	Mustela_putorius_furo
ENSNVIP00000031429	ENSNVIG00000024160	Neovison_vison
ENSCAFP00000060432	ENSCAFG00000011110	Canis_lupus_familiaris
ENSVVUP00000009997	ENSVVUG00000007391	Vulpes_vulpes
ENSCAFP00020025491	ENSCAFG00020020088	Canis_lupus_dingo
ENSPTIP00000009002	ENSPTIG00000010170	Panthera_tigris_altaica
ENSPPRP00000017093	ENSPPRG00000009208	Panthera_pardus
ENSFCAP00000021115	ENSFCAG00000024477	Felis_catus
ENSEASP00005010399	ENSEASG00005007378	Equus_asinus_asinus
ENSECAP00000011738	ENSECAG00000013689	Equus_caballus
ENSSTOP00000024413	ENSSTOG00000010189	Ictidomys_tridecemlineatus
ENSUPAP00010030161	ENSUPAG00010023682	Urocitellus_parryii
ENSSDAP00000021788	ENSSDAG00000019810	Spermophilus_dauricus
ENSMMMP00000017058	ENSMMMG00000015172	Marmota_marmota_marmota
ENSPVAP00000013660	ENSPVAG00000014491	Pteropus_vampyrus
ENSMLUP00000003489	ENSMLUG00000003829	Myotis_lucifugus
ENSSARP00000007517	ENSSARG00000008301	Sorex_araneus
ENSETEP00000009461	ENSETEG00000011659	Echinops_telfairi
ENSETEP00000006469	ENSETEG00000007966	Echinops_telfairi
ENSVURP00010002658	ENSVURG00010002174	Vombatus_ursinus
ENSVURP00010001226	ENSVURG00010001054	Vombatus_ursinus
ENSPCIP00000036844	ENSPCIG00000027174	Phascolarctos_cinereus
ENSSHAP00000021748	ENSSHAG00000018415	Sarcophilus_harrisii
ENSMODP00000023368	ENSMODG00000018742	Monodelphis_domestica
ENSOANP00000015442	ENSOANG00000009733	Ornithorhynchus_anatinus
ENSTGUP00000013929	ENSTGUG00000013528	Taeniopygia_guttata
ENSTGUP00000018048	ENSTGUG00000018523	Taeniopygia_guttata
ENSLSDP00000025521	ENSLSDG00000017846	Lonchura_striata_domestica
ENSSCAP00000016550	ENSSCAG00000012082	Serinus_canaria
ENSZALP00000017553	ENSZALG00000014175	Zonotrichia_albicollis
ENSJHYP00000004523	ENSJHYG00000003721	Junco_hyemalis
ENSFALP00000001553	ENSFALG00000001490	Ficedula_albicollis
ENSCCEP00000021862	ENSCCEG00000019623	Cyanistes_caeruleus
ENSCCEP00000002317	ENSCCEG00000002300	Cyanistes_caeruleus
ENSCCEP00000001749	ENSCCEG00000002044	Cyanistes_caeruleus
ENSPMJP00000016150	ENSPMJG00000012230	Parus_major
ENSMVIP00005007135	ENSMVIG00005005370	Manacus_vitellinus
ENSLCOP00000012110	ENSLCOG00000008781	Lepidothrix_coronata
ENSMUNP00000009215	ENSMUNG00000007278	Melopsittacus_undulatus
ENSCPUP00000005384	ENSCPUG00000003946	Calidris_pugnax
ENSCPGP00000025274	ENSCPGG00000017371	Calidris_pygmaea
ENSCJPP00005003153	ENSCJPG00005003389	Coturnix_japonica
ENSMGAP00000015298	ENSMGAG00000014456	Meleagris_gallopavo
ENSGALP00000024938	ENSGALG00000015491	Gallus_gallus
ENSNMEP00000011070	ENSNMEG00000010428	Numida_meleagris
ENSAPLP00000008293	ENSAPLG00000008568	Anas_platyrhynchos_platyrhynchos
ENSABRP00000020017	ENSABRG00000017128	Anser_brachyrhynchus
ENSDNVP00000006153	ENSDNVG00000004395	Dromaius_novaehollandiae
ENSNPEP00000009031	ENSNPEG00000006780	Nothoprocta_perdicaria
ENSAOWP00000003808	ENSAOWG00000002692	Apteryx_owenii
ENSAHAP00000001900	ENSAHAG00000001103	Apteryx_haastii
ENSARWP00000003982	ENSARWG00000002949	Apteryx_rowi
ENSPVIP00000013780	ENSPVIG00000010664	Pogona_vitticeps
ENSNSUP00000022331	ENSNSUG00000016234	Notechis_scutatus
ENSACAP00000013738	ENSACAG00000013950	Anolis_carolinensis
ENSSMRP00000002197	ENSSMRG00000001890	Salvator_merianae
ENSGAGP00000024387	ENSGAGG00000017818	Gopherus_agassizii
ENSCABP00000015234	ENSCABG00000011181	Chelonoidis_abingdonii
ENSCPBP00000007945	ENSCPBG00000006238	Chrysemys_picta_bellii
ENSPSIP00000012665	ENSPSIG00000011278	Pelodiscus_sinensis
ENSCPRP00005016292	ENSCPRG00005011373	Crocodylus_porosus
ENSSPUP00000014783	ENSSPUG00000011404	Sphenodon_punctatus
ENSXETP00000009717	ENSXETG00000011275	Xenopus_tropicalis
ENSLACP00000006189	ENSLACG00000005488	Latimeria_chalumnae
ENSSDUP00000006498	ENSSDUG00000004781	Seriola_dumerili
ENSSLDP00000025625	ENSSLDG00000019904	Seriola_lalandi_dorsalis
ENSSMAP00000030149	ENSSMAG00000018493	Scophthalmus_maximus
ENSLCAP00010058395	ENSLCAG00010027227	Lates_calcarifer
