ENSAOWP00000001511	ENSAOWG00000001086	Apteryx_owenii
ENSDNVP00000023191	ENSDNVG00000016112	Dromaius_novaehollandiae
ENSNPEP00000005989	ENSNPEG00000004523	Nothoprocta_perdicaria
ENSLCOP00000000982	ENSLCOG00000000816	Lepidothrix_coronata
ENSMVIP00005005350	ENSMVIG00005004087	Manacus_vitellinus
ENSJHYP00000002101	ENSJHYG00000001783	Junco_hyemalis
ENSZALP00000015369	ENSZALG00000012608	Zonotrichia_albicollis
ENSSCAP00000021505	ENSSCAG00000015456	Serinus_canaria
ENSLSDP00000014082	ENSLSDG00000010173	Lonchura_striata_domestica
ENSTGUP00000009402	ENSTGUG00000009125	Taeniopygia_guttata
ENSFALP00000015884	ENSFALG00000015269	Ficedula_albicollis
ENSCCEP00000015666	ENSCCEG00000014785	Cyanistes_caeruleus
ENSMUNP00000012072	ENSMUNG00000009513	Melopsittacus_undulatus
ENSCPUP00000025435	ENSCPUG00000017203	Calidris_pugnax
ENSCPGP00000018763	ENSCPGG00000013111	Calidris_pygmaea
ENSGALP00000054026	ENSGALG00000046461	Gallus_gallus
ENSCJPP00005016374	ENSCJPG00005013465	Coturnix_japonica
ENSGAGP00000005122	ENSGAGG00000004164	Gopherus_agassizii
ENSCABP00000003778	ENSCABG00000002856	Chelonoidis_abingdonii
ENSCPBP00000022261	ENSCPBG00000015930	Chrysemys_picta_bellii
ENSPVIP00000022316	ENSPVIG00000016849	Pogona_vitticeps
ENSACAP00000019298	ENSACAG00000027193	Anolis_carolinensis
ENSNSUP00000026419	ENSNSUG00000018962	Notechis_scutatus
ENSSMRP00000020858	ENSSMRG00000016223	Salvator_merianae
ENSSARP00000008330	ENSSARG00000009225	Sorex_araneus
ENSEEUP00000011969	ENSEEUG00000013152	Erinaceus_europaeus
ENSPPAP00000011729	ENSPPAG00000029069	Pan_paniscus
ENSPTRP00000027103	ENSPTRG00000015755	Pan_troglodytes
ENSP00000413707	ENSG00000172061	Homo_sapiens
ENSGGOP00000007172	ENSGGOG00000007329	Gorilla_gorilla
ENSPPYP00000016131	ENSPPYG00000014421	Pongo_abelii
ENSNLEP00000010014	ENSNLEG00000008226	Nomascus_leucogenys
ENSPTEP00000005478	ENSPTEG00000006348	Piliocolobus_tephrosceles
ENSCANP00000026236	ENSCANG00000036547	Colobus_angolensis_palliatus
ENSRROP00000002114	ENSRROG00000008593	Rhinopithecus_roxellana
ENSRBIP00000029852	ENSRBIG00000038816	Rhinopithecus_bieti
ENSMMUP00000038248	ENSMMUG00000007866	Macaca_mulatta
ENSMFAP00000012847	ENSMFAG00000026569	Macaca_fascicularis
ENSMNEP00000023576	ENSMNEG00000035380	Macaca_nemestrina
ENSTGEP00000032674	ENSTGEG00000026113	Theropithecus_gelada
ENSPANP00000047237	ENSPANG00000011710	Papio_anubis
ENSCATP00000045902	ENSCATG00000045297	Cercocebus_atys
ENSMLEP00000035013	ENSMLEG00000041656	Mandrillus_leucophaeus
ENSCSAP00000018453	ENSCSAG00000018934	Chlorocebus_sabaeus
ENSSBOP00000030379	ENSSBOG00000031469	Saimiri_boliviensis_boliviensis
ENSCJAP00000025809	ENSCJAG00000014042	Callithrix_jacchus
ENSCCAP00000031361	ENSCCAG00000033743	Cebus_capucinus_imitator
ENSANAP00000021649	ENSANAG00000028624	Aotus_nancymaae
ENSTSYP00000004643	ENSTSYG00000005080	Carlito_syrichta
ENSPSMP00000014698	ENSPSMG00000010544	Prolemur_simus
ENSMICP00000051483	ENSMICG00000049528	Microcebus_murinus
ENSOGAP00000022170	ENSOGAG00000027454	Otolemur_garnettii
MGP_SPRETEiJ_P0043050	MGP_SPRETEiJ_G0021540	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000007504	ENSMSIG00000006684	Mus_spicilegus
ENSMUSP00000066777	ENSMUSG00000052316	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0041179	MGP_CAROLIEiJ_G0020644	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0028563	MGP_PahariEiJ_G0016348	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064155	ENSRNOG00000038539	Rattus_norvegicus
ENSMUGP00000025386	ENSMUGG00000021178	Meriones_unguiculatus
ENSMOCP00000011348	ENSMOCG00000011588	Microtus_ochrogaster
ENSPEMP00000001276	ENSPEMG00000000954	Peromyscus_maniculatus_bairdii
ENSMAUP00000006655	ENSMAUG00000008538	Mesocricetus_auratus
ENSMAUP00000021566	ENSMAUG00000019262	Mesocricetus_auratus
ENSCGRP00015030879	ENSCGRG00015023279	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001012035	ENSCGRG00001013543	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000008007	ENSCGRG00000005841	Cricetulus_griseus_CriGri_1.0
ENSNGAP00000010982	ENSNGAG00000013257	Nannospalax_galili
ENSJJAP00000015820	ENSJJAG00000017868	Jaculus_jaculus
ENSCAPP00000011193	ENSCAPG00000012310	Cavia_aperea
ENSCPOP00000017088	ENSCPOG00000005131	Cavia_porcellus
ENSCLAP00000025978	ENSCLAG00000018110	Chinchilla_lanigera
ENSODEP00000003803	ENSODEG00000002912	Octodon_degus
ENSHGLP00100024734	ENSHGLG00100018164	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000024447	ENSHGLG00000017428	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000010628	ENSFDAG00000018343	Fukomys_damarensis
ENSCCNP00000024159	ENSCCNG00000023685	Castor_canadensis
ENSDORP00000024806	ENSDORG00000015805	Dipodomys_ordii
ENSUPAP00010023628	ENSUPAG00010018721	Urocitellus_parryii
ENSMMMP00000011955	ENSMMMG00000010700	Marmota_marmota_marmota
ENSSDAP00000015651	ENSSDAG00000014133	Spermophilus_dauricus
ENSSDAP00000015642	ENSSDAG00000014125	Spermophilus_dauricus
ENSSDAP00000015667	ENSSDAG00000014143	Spermophilus_dauricus
ENSSTOP00000004414	ENSSTOG00000004934	Ictidomys_tridecemlineatus
ENSOCUP00000006985	ENSOCUG00000008086	Oryctolagus_cuniculus
ENSOPRP00000006128	ENSOPRG00000006700	Ochotona_princeps
ENSMLUP00000020321	ENSMLUG00000028059	Myotis_lucifugus
ENSPVAP00000005233	ENSPVAG00000005529	Pteropus_vampyrus
ENSUMAP00000000885	ENSUMAG00000000914	Ursus_maritimus
ENSUAMP00000013590	ENSUAMG00000010923	Ursus_americanus
ENSAMEP00000019968	ENSAMEG00000018901	Ailuropoda_melanoleuca
ENSNVIP00000011635	ENSNVIG00000009225	Neovison_vison
ENSMPUP00000018768	ENSMPUG00000018888	Mustela_putorius_furo
ENSCAFP00020002438	ENSCAFG00020002066	Canis_lupus_dingo
ENSVVUP00000012253	ENSVVUG00000009022	Vulpes_vulpes
ENSCAFP00000034956	ENSCAFG00000013466	Canis_lupus_familiaris
ENSPTIP00000010206	ENSPTIG00000011049	Panthera_tigris_altaica
ENSPPRP00000013369	ENSPPRG00000006593	Panthera_pardus
ENSFCAP00000021789	ENSFCAG00000031861	Felis_catus
ENSCHIP00000016124	ENSCHIG00000016500	Capra_hircus
ENSOARP00000002276	ENSOARG00000002159	Ovis_aries
ENSBIXP00000039289	ENSBIXG00000023244	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005024496	ENSBIXG00005027046	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000049967	ENSBTAG00000038600	Bos_taurus
ENSBMUP00000016145	ENSBMUG00000012274	Bos_mutus
ENSBBBP00000017675	ENSBBBG00000010214	Bison_bison_bison
ENSTTRP00000003427	ENSTTRG00000003658	Tursiops_truncatus
ENSSSCP00000021776	ENSSSCG00000026868	Sus_scrofa_strain_reference
ENSEASP00005000726	ENSEASG00005000645	Equus_asinus_asinus
ENSECAP00000003338	ENSECAG00000004894	Equus_caballus
ENSCHOP00000008345	ENSCHOG00000009435	Choloepus_hoffmanni
ENSDNOP00000026146	ENSDNOG00000034638	Dasypus_novemcinctus
ENSPCAP00000007750	ENSPCAG00000008335	Procavia_capensis
ENSTBEP00000007055	ENSTBEG00000008154	Tupaia_belangeri
ENSPCIP00000009786	ENSPCIG00000007980	Phascolarctos_cinereus
ENSVURP00010030752	ENSVURG00010023525	Vombatus_ursinus
ENSMODP00000027026	ENSMODG00000022647	Monodelphis_domestica
