ENSSHAP00000019695	ENSSHAG00000016720	Sarcophilus_harrisii
ENSSPUP00000020904	ENSSPUG00000016064	Sphenodon_punctatus
ENSMNEP00000037471	ENSMNEG00000041820	Macaca_nemestrina
ENSRROP00000007703	ENSRROG00000027924	Rhinopithecus_roxellana
ENSDARP00000133102	ENSDARG00000102501	Danio_rerio
ENSTNIP00000004114	ENSTNIG00000001756	Tetraodon_nigroviridis
ENSSBOP00000021144	ENSSBOG00000027127	Saimiri_boliviensis_boliviensis
ENSCPGP00000006678	ENSCPGG00000004782	Calidris_pygmaea
ENSSFOP00015021096	ENSSFOG00015013588	Scleropages_formosus
ENSOPRP00000009518	ENSOPRG00000010429	Ochotona_princeps
ENSPCIP00000017924	ENSPCIG00000013698	Phascolarctos_cinereus
ENSPVIP00000020076	ENSPVIG00000015321	Pogona_vitticeps
ENSELUP00000003827	ENSELUG00000005024	Esox_lucius
ENSPLAP00000030645	ENSPLAG00000021936	Poecilia_latipinna
ENSJJAP00000007321	ENSJJAG00000011757	Jaculus_jaculus
ENSONIP00000005786	ENSONIG00000004595	Oreochromis_niloticus
ENSAOCP00000029917	ENSAOCG00000020522	Amphiprion_ocellaris
ENSCVAP00000008250	ENSCVAG00000010032	Cyprinodon_variegatus
ENSCGRP00000013011	ENSCGRG00000009463	Cricetulus_griseus_CriGri_1.0
ENSPNAP00000001102	ENSPNAG00000007959	Pygocentrus_nattereri
ENSAMXP00005049186	ENSAMXG00005022440	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCJPP00005015085	ENSCJPG00005012529	Coturnix_japonica
ENSUAMP00000017942	ENSUAMG00000014242	Ursus_americanus
ENSMFAP00000028564	ENSMFAG00000045639	Macaca_fascicularis
ENSGAGP00000034815	ENSGAGG00000024731	Gopherus_agassizii
ENSPMGP00000006814	ENSPMGG00000005692	Periophthalmus_magnuspinnatus
ENSVVUP00000034317	ENSVVUG00000024796	Vulpes_vulpes
ENSXETP00000023304	ENSXETG00000005198	Xenopus_tropicalis
ENSSCAP00000020898	ENSSCAG00000015048	Serinus_canaria
ENSMALP00000000819	ENSMALG00000000641	Monopterus_albus
ENSOMEP00000032997	ENSOMEG00000018736	Oryzias_melastigma
ENSPPYP00000019843	ENSPPYG00000017703	Pongo_abelii
ENSCCAP00000023245	ENSCCAG00000029402	Cebus_capucinus_imitator
ENSEEUP00000009002	ENSEEUG00000009904	Erinaceus_europaeus
ENSPANP00000007073	ENSPANG00000009594	Papio_anubis
ENSHGLP00000023638	ENSHGLG00000016863	Heterocephalus_glaber_HetGla_female_1.0
ENSSLDP00000007590	ENSSLDG00000006039	Seriola_lalandi_dorsalis
ENSCLAP00000006973	ENSCLAG00000004908	Chinchilla_lanigera
ENSMICP00000042594	ENSMICG00000046770	Microcebus_murinus
ENSMODP00000000572	ENSMODG00000000483	Monodelphis_domestica
ENSMLUP00000021954	ENSMLUG00000028593	Myotis_lucifugus
ENSHBUP00000014879	ENSHBUG00000016757	Haplochromis_burtoni
ENSXMAP00000001039	ENSXMAG00000001054	Xiphophorus_maculatus
ENSATEP00000002539	ENSATEG00000001828	Anabas_testudineus
ENSBTAP00000016196	ENSBTAG00000012211	Bos_taurus
ENSANAP00000033922	ENSANAG00000034612	Aotus_nancymaae
ENSRBIP00000024899	ENSRBIG00000036351	Rhinopithecus_bieti
ENSLSDP00000001013	ENSLSDG00000000813	Lonchura_striata_domestica
ENSCHIP00000002375	ENSCHIG00000005534	Capra_hircus
ENSOCUP00000023435	ENSOCUG00000029580	Oryctolagus_cuniculus
ENSECAP00000000299	ENSECAG00000000461	Equus_caballus
ENSZALP00000013570	ENSZALG00000011301	Zonotrichia_albicollis
ENSSTOP00000010048	ENSSTOG00000011206	Ictidomys_tridecemlineatus
ENSAMXP00000036595	ENSAMXG00000037678	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMUSP00000039012	ENSMUSG00000038253	Mus_musculus_strain_reference_(CL57BL6)
ENSCJAP00000014883	ENSCJAG00000047690	Callithrix_jacchus
ENSNPEP00000003252	ENSNPEG00000002489	Nothoprocta_perdicaria
ENSCSEP00000022456	ENSCSEG00000014317	Cynoglossus_semilaevis
ENSBBBP00000012877	ENSBBBG00000020518	Bison_bison_bison
ENSCCEP00000005075	ENSCCEG00000005569	Cyanistes_caeruleus
ENSACAP00000010179	ENSACAG00000010364	Anolis_carolinensis
ENSGWIP00000014123	ENSGWIG00000007991	Gouania_willdenowi
ENSPMEP00000018049	ENSPMEG00000020945	Poecilia_mexicana
ENSCAFP00020004358	ENSCAFG00020003593	Canis_lupus_dingo
ENSCATP00000042552	ENSCATG00000043876	Cercocebus_atys
ENSODEP00000010518	ENSODEG00000007850	Octodon_degus
ENSTGEP00000026037	ENSTGEG00000020979	Theropithecus_gelada
ENSNSUP00000008811	ENSNSUG00000006781	Notechis_scutatus
ENSPNYP00000027641	ENSPNYG00000020824	Pundamilia_nyererei
ENSMVIP00005025127	ENSMVIG00005017597	Manacus_vitellinus
ENSCMIP00000013661	ENSCMIG00000006838	Callorhinchus_milii
ENSAOWP00000009184	ENSAOWG00000006302	Apteryx_owenii
ENSAPOP00000032958	ENSAPOG00000021214	Acanthochromis_polyacanthus
ENSCMIP00000029846	ENSCMIG00000012888	Callorhinchus_milii
ENSGAFP00000026441	ENSGAFG00000017857	Gambusia_affinis
ENSGALP00000064050	ENSGALG00000025929	Gallus_gallus
ENSTRUP00000046718	ENSTRUG00000018252	Takifugu_rubripes
ENSSMAP00000024825	ENSSMAG00000015188	Scophthalmus_maximus
ENSSDUP00000006438	ENSSDUG00000004737	Seriola_dumerili
ENSCABP00000026596	ENSCABG00000019535	Chelonoidis_abingdonii
ENSOANP00000014589	ENSOANG00000009167	Ornithorhynchus_anatinus
ENSACIP00000002925	ENSACIG00000002319	Amphilophus_citrinellus
ENSPCOP00000017129	ENSPCOG00000020367	Propithecus_coquereli
ENSPREP00000032058	ENSPREG00000021725	Poecilia_reticulata
ENSEEUP00000005036	ENSEEUG00000005567	Erinaceus_europaeus
ENSORLP00015015526	ENSORLG00015016435	Oryzias_latipes_ASM223469v1
ENSPVAP00000002351	ENSPVAG00000002490	Pteropus_vampyrus
ENSMMMP00000007281	ENSMMMG00000006523	Marmota_marmota_marmota
ENSDNVP00000016845	ENSDNVG00000011790	Dromaius_novaehollandiae
ENSCPUP00000015592	ENSCPUG00000010837	Calidris_pugnax
ENSORLP00020003480	ENSORLG00020004260	Oryzias_latipes_ASM223471v1
ENSFCAP00000049628	ENSFCAG00000045684	Felis_catus
ENSAPLP00000018933	ENSAPLG00000022394	Anas_platyrhynchos_platyrhynchos
ENSNBRP00000006085	ENSNBRG00000004795	Neolamprologus_brichardi
ENSORLP00000033948	ENSORLG00000026145	Oryzias_latipes_ASM223467v1
ENSGACP00000009414	ENSGACG00000007108	Gasterosteus_aculeatus
ENSSMRP00000003581	ENSSMRG00000003023	Salvator_merianae
ENSMLEP00000017367	ENSMLEG00000032881	Mandrillus_leucophaeus
ENSDORP00000018824	ENSDORG00000025053	Dipodomys_ordii
ENSHCOP00000026065	ENSHCOG00000000757	Hippocampus_comes
ENSCPRP00005023151	ENSCPRG00005016097	Crocodylus_porosus
ENSCPBP00000032047	ENSCPBG00000022498	Chrysemys_picta_bellii
ENSBIXP00000014545	ENSBIXG00000019197	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPPAP00000043009	ENSPPAG00000044047	Pan_paniscus
ENSBSLP00000023264	ENSBSLG00000011797	Betta_splendens
ENSFDAP00000000222	ENSFDAG00000010532	Fukomys_damarensis
ENSDNOP00000034873	ENSDNOG00000034242	Dasypus_novemcinctus
ENSSARP00000004997	ENSSARG00000005548	Sorex_araneus
ENSPTEP00000020327	ENSPTEG00000021574	Piliocolobus_tephrosceles
ENSLCRP00005021963	ENSLCRG00005008888	Larimichthys_crocea
ENSCSAP00000010416	ENSCSAG00000014278	Chlorocebus_sabaeus
ENSKMAP00000025636	ENSKMAG00000018990	Kryptolebias_marmoratus
ENSARWP00000015673	ENSARWG00000010817	Apteryx_rowi
ENSLOCP00000014530	ENSLOCG00000011819	Lepisosteus_oculatus
ENSVURP00010000274	ENSVURG00010000263	Vombatus_ursinus
ENSETEP00000004191	ENSETEG00000005152	Echinops_telfairi
ENSMPUP00000004732	ENSMPUG00000004770	Mustela_putorius_furo
ENSMUGP00000001074	ENSMUGG00000001002	Meriones_unguiculatus
ENSPFOP00000002479	ENSPFOG00000002629	Poecilia_formosa
ENSAPEP00000027607	ENSAPEG00000019578	Amphiprion_percula
ENSBIXP00005034429	ENSBIXG00005015377	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMAMP00000011710	ENSMAMG00000007924	Mastacembelus_armatus
ENSHGLP00100006400	ENSHGLG00100004794	Heterocephalus_glaber_HetGla_1.0
MGP_CAROLIEiJ_P0073846	MGP_CAROLIEiJ_G0028387	Mus_caroli_strain_CAROLI_EIJ
ENSCANP00000009520	ENSCANG00000028185	Colobus_angolensis_palliatus
ENSJHYP00000007162	ENSJHYG00000005748	Junco_hyemalis
ENSAMXP00005019913	ENSAMXG00005010331	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSFALP00000009869	ENSFALG00000009458	Ficedula_albicollis
ENSPEMP00000037125	ENSPEMG00000029029	Peromyscus_maniculatus_bairdii
ENSEBUP00000006494	ENSEBUG00000004299	Eptatretus_burgeri
ENSFHEP00000029234	ENSFHEG00000013822	Fundulus_heteroclitus
ENSAMEP00000006217	ENSAMEG00000005898	Ailuropoda_melanoleuca
ENSCGRP00001001792	ENSCGRG00001001687	Cricetulus_griseus_CHOK1GS_HDv1
ENSLCOP00000002137	ENSLCOG00000001691	Lepidothrix_coronata
ENSPRNP00000035428	ENSPRNG00000017752	Parambassis_ranga
ENSOGAP00000021337	ENSOGAG00000031153	Otolemur_garnettii
ENSCAFP00000004371	ENSCAFG00000002950	Canis_lupus_familiaris
ENSSSCP00000017693	ENSSSCG00000016703	Sus_scrofa_strain_reference
MGP_SPRETEiJ_P0076714	MGP_SPRETEiJ_G0029388	Mus_spretus_strain_SPRET/EiJ
ENSAOCP00000018817	ENSAOCG00000024007	Amphiprion_ocellaris	ENSAOCT00000028467
ENSPCAP00000014513	ENSPCAG00000015575	Procavia_capensis
ENSUPAP00010021871	ENSUPAG00010017397	Urocitellus_parryii
ENSPTRP00000032498	ENSPTRG00000019015	Pan_troglodytes
ENSMAUP00000002468	ENSMAUG00000002058	Mesocricetus_auratus
ENSVURP00010025716	ENSVURG00010019698	Vombatus_ursinus
ENSTSYP00000022373	ENSTSYG00000036293	Carlito_syrichta
ENSMEUP00000006489	ENSMEUG00000007118	Notamacropus_eugenii
ENSBMUP00000003313	ENSBMUG00000002631	Bos_mutus
ENSXCOP00000001740	ENSXCOG00000001403	Xiphophorus_couchianus
ENSPMJP00000001782	ENSPMJG00000001464	Parus_major
ENSMZEP00005013530	ENSMZEG00005010174	Maylandia_zebra
MGP_PahariEiJ_P0049936	MGP_PahariEiJ_G0022136	Mus_pahari_strain_PAHARI_EIJ
ENSPSIP00000002824	ENSPSIG00000002746	Pelodiscus_sinensis
ENSCPOP00000023485	ENSCPOG00000035800	Cavia_porcellus
ENSLAFP00000018166	ENSLAFG00000026981	Loxodonta_africana
ENSECRP00000032044	ENSECRG00000021709	Erpetoichthys_calabaricus
ENSCGRP00015027761	ENSCGRG00015021064	Cricetulus_griseus_CriGri-PICR
ENSMSIP00000011263	ENSMSIG00000009856	Mus_spicilegus
ENSNVIP00000015489	ENSNVIG00000012142	Neovison_vison
ENSPPRP00000018215	ENSPPRG00000009947	Panthera_pardus
ENSGGOP00000002183	ENSGGOG00000002217	Gorilla_gorilla
ENSNSUP00000015992	ENSNSUG00000011832	Notechis_scutatus
ENSP00000222726	ENSG00000106004	Homo_sapiens
ENSLBEP00000002264	ENSLBEG00000001723	Labrus_bergylta
ENSEASP00005032486	ENSEASG00005022167	Equus_asinus_asinus
ENSPSMP00000020746	ENSPSMG00000014678	Prolemur_simus
ENSTGUP00000002996	ENSTGUG00000002906	Taeniopygia_guttata
ENSRNOP00000064639	ENSRNOG00000047951	Rattus_norvegicus
ENSTTRP00000006408	ENSTTRG00000006777	Tursiops_truncatus
ENSCCNP00000011794	ENSCCNG00000012249	Castor_canadensis
ENSABRP00000011390	ENSABRG00000010228	Anser_brachyrhynchus
ENSOARP00000010420	ENSOARG00000009717	Ovis_aries
ENSEEEP00000002611	ENSEEEG00000001507	Electrophorus_electricus
ENSNGAP00000025069	ENSNGAG00000023140	Nannospalax_galili
ENSMOCP00000012397	ENSMOCG00000012515	Microtus_ochrogaster
ENSGMOP00000014785	ENSGMOG00000013854	Gadus_morhua
ENSNMEP00000007815	ENSNMEG00000007756	Numida_meleagris
ENSPKIP00000012541	ENSPKIG00000000291	Paramormyrops_kingsleyae
ENSACLP00000001679	ENSACLG00000001190	Astatotilapia_calliptera
ENSMMOP00000001035	ENSMMOG00000000893	Mola_mola
ENSRNOP00000008523	ENSRNOG00000006466	Rattus_norvegicus
ENSLACP00000019710	ENSLACG00000017330	Latimeria_chalumnae
ENSMMUP00000070749	ENSMMUG00000061471	Macaca_mulatta
ENSSPAP00000000202	ENSSPAG00000000186	Stegastes_partitus
ENSPTRP00000080279	ENSPTRG00000048699	Pan_troglodytes
ENSHHUP00000061229	ENSHHUG00000036281	Hucho_hucho
ENSMUNP00000009117	ENSMUNG00000007185	Melopsittacus_undulatus
ENSCGOP00000004654	ENSCGOG00000002402	Cottoperca_gobio
ENSAHAP00000027654	ENSAHAG00000019244	Apteryx_haastii
ENSLCAP00010035529	ENSLCAG00010016664	Lates_calcarifer
ENSRNOP00000073150	ENSRNOG00000052804	Rattus_norvegicus
